candidate_id,patient_id,device_id,local_date,window_start_local,window_end_local_exclusive,plugin_event_count,plugin_dominant_movement_evidence_class,raw_row_count,first_raw_time_local,last_raw_time_local,raw_data_available,preflight_status,error_message
002__717fb40c-9a84-4ce5-834a-ad48e5220a75__2025-06-07,002,717fb40c-9a84-4ce5-834a-ad48e5220a75,2025-06-07,2025-06-07T00:00:00+03:00,2025-06-08T00:00:00+03:00,4,still,2000,2025-06-07 16:15:19+0300,2025-06-07 16:17:36+0300,1,has_raw_rows,
002__60e31068-dd5d-4fab-8b27-13f1c90c8ec0__2025-06-23,002,60e31068-dd5d-4fab-8b27-13f1c90c8ec0,2025-06-23,2025-06-23T00:00:00+03:00,2025-06-24T00:00:00+03:00,9,still,0,,,0,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-06,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-06,2025-01-06T00:00:00+02:00,2025-01-07T00:00:00+02:00,137,still,2293092,2025-01-06 12:09:05+0200,2025-01-06 23:59:59+0200,1,has_raw_rows,
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-07,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-07,2025-01-07T00:00:00+02:00,2025-01-08T00:00:00+02:00,666,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-08,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-08,2025-01-08T00:00:00+02:00,2025-01-09T00:00:00+02:00,463,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-09,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-09,2025-01-09T00:00:00+02:00,2025-01-10T00:00:00+02:00,304,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-10,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-10,2025-01-10T00:00:00+02:00,2025-01-11T00:00:00+02:00,255,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-11,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-11,2025-01-11T00:00:00+02:00,2025-01-12T00:00:00+02:00,71,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-12,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-12,2025-01-12T00:00:00+02:00,2025-01-13T00:00:00+02:00,317,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-13,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-13,2025-01-13T00:00:00+02:00,2025-01-14T00:00:00+02:00,164,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-14,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-14,2025-01-14T00:00:00+02:00,2025-01-15T00:00:00+02:00,598,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-15,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-15,2025-01-15T00:00:00+02:00,2025-01-16T00:00:00+02:00,455,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-16,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-16,2025-01-16T00:00:00+02:00,2025-01-17T00:00:00+02:00,296,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-17,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-17,2025-01-17T00:00:00+02:00,2025-01-18T00:00:00+02:00,191,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-18,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-18,2025-01-18T00:00:00+02:00,2025-01-19T00:00:00+02:00,229,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-19,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-19,2025-01-19T00:00:00+02:00,2025-01-20T00:00:00+02:00,734,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-20,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-20,2025-01-20T00:00:00+02:00,2025-01-21T00:00:00+02:00,321,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-21,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-21,2025-01-21T00:00:00+02:00,2025-01-22T00:00:00+02:00,268,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-22,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-22,2025-01-22T00:00:00+02:00,2025-01-23T00:00:00+02:00,437,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-23,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-23,2025-01-23T00:00:00+02:00,2025-01-24T00:00:00+02:00,321,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-24,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-24,2025-01-24T00:00:00+02:00,2025-01-25T00:00:00+02:00,270,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-25,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-25,2025-01-25T00:00:00+02:00,2025-01-26T00:00:00+02:00,146,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-26,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-26,2025-01-26T00:00:00+02:00,2025-01-27T00:00:00+02:00,356,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-27,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-27,2025-01-27T00:00:00+02:00,2025-01-28T00:00:00+02:00,366,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-28,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-28,2025-01-28T00:00:00+02:00,2025-01-29T00:00:00+02:00,414,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-29,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-29,2025-01-29T00:00:00+02:00,2025-01-30T00:00:00+02:00,445,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-30,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-30,2025-01-30T00:00:00+02:00,2025-01-31T00:00:00+02:00,301,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-01-31,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-01-31,2025-01-31T00:00:00+02:00,2025-02-01T00:00:00+02:00,176,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-02-01,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-02-01,2025-02-01T00:00:00+02:00,2025-02-02T00:00:00+02:00,135,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-02-02,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-02-02,2025-02-02T00:00:00+02:00,2025-02-03T00:00:00+02:00,444,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-02-03,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-02-03,2025-02-03T00:00:00+02:00,2025-02-04T00:00:00+02:00,338,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-02-04,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-02-04,2025-02-04T00:00:00+02:00,2025-02-05T00:00:00+02:00,580,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
003__cc373e47-1b4b-4e15-a7e7-7882510d4949__2025-02-05,003,cc373e47-1b4b-4e15-a7e7-7882510d4949,2025-02-05,2025-02-05T00:00:00+02:00,2025-02-06T00:00:00+02:00,416,still,,,,,error,2013 (HY000): Lost connection to MySQL server during query
