feature_name,feature_group,feature_role,technical_variable,pairwise_n,pearson_correlation,spearman_correlation,pilot_flag_threshold,technical_confounding_flag
accelerometer_raw_row_count,quality,qc_only,accelerometer_raw_row_count,0,,,0.7,insufficient_pilot_n
accelerometer_raw_row_count,quality,qc_only,accelerometer_valid_signal_minutes,7,0.5401861301462849,0.5714285714285715,0.7,not_flagged
accelerometer_raw_row_count,quality,qc_only,accelerometer_calendar_coverage_fraction,7,0.5401861301462848,0.5714285714285715,0.7,not_flagged
accelerometer_raw_row_count,quality,qc_only,accelerometer_observed_span_hours,7,0.6686873277306432,0.5357142857142858,0.7,not_flagged
accelerometer_valid_numeric_row_count,quality,qc_only,accelerometer_raw_row_count,7,0.9999999999999999,1.0,0.7,review
accelerometer_valid_numeric_row_count,quality,qc_only,accelerometer_valid_signal_minutes,7,0.5401861301462849,0.5714285714285715,0.7,not_flagged
accelerometer_valid_numeric_row_count,quality,qc_only,accelerometer_calendar_coverage_fraction,7,0.5401861301462848,0.5714285714285715,0.7,not_flagged
accelerometer_valid_numeric_row_count,quality,qc_only,accelerometer_observed_span_hours,7,0.6686873277306432,0.5357142857142858,0.7,not_flagged
accelerometer_exact_duplicate_rows_removed,quality,qc_only,accelerometer_raw_row_count,7,,,0.7,not_flagged
accelerometer_exact_duplicate_rows_removed,quality,qc_only,accelerometer_valid_signal_minutes,7,,,0.7,not_flagged
accelerometer_exact_duplicate_rows_removed,quality,qc_only,accelerometer_calendar_coverage_fraction,7,,,0.7,not_flagged
accelerometer_exact_duplicate_rows_removed,quality,qc_only,accelerometer_observed_span_hours,7,,,0.7,not_flagged
accelerometer_valid_signal_minutes,quality,qc_only,accelerometer_raw_row_count,7,0.5401861301462849,0.5714285714285715,0.7,not_flagged
accelerometer_valid_signal_minutes,quality,qc_only,accelerometer_valid_signal_minutes,0,,,0.7,insufficient_pilot_n
accelerometer_valid_signal_minutes,quality,qc_only,accelerometer_calendar_coverage_fraction,7,1.0,1.0,0.7,review
accelerometer_valid_signal_minutes,quality,qc_only,accelerometer_observed_span_hours,7,0.8804610731798782,0.9642857142857145,0.7,review
accelerometer_calendar_coverage_fraction,quality,qc_only,accelerometer_raw_row_count,7,0.5401861301462848,0.5714285714285715,0.7,not_flagged
accelerometer_calendar_coverage_fraction,quality,qc_only,accelerometer_valid_signal_minutes,7,1.0,1.0,0.7,review
accelerometer_calendar_coverage_fraction,quality,qc_only,accelerometer_calendar_coverage_fraction,0,,,0.7,insufficient_pilot_n
accelerometer_calendar_coverage_fraction,quality,qc_only,accelerometer_observed_span_hours,7,0.8804610731798783,0.9642857142857145,0.7,review
accelerometer_observed_span_hours,quality,qc_only,accelerometer_raw_row_count,7,0.6686873277306432,0.5357142857142858,0.7,not_flagged
accelerometer_observed_span_hours,quality,qc_only,accelerometer_valid_signal_minutes,7,0.8804610731798782,0.9642857142857145,0.7,review
accelerometer_observed_span_hours,quality,qc_only,accelerometer_calendar_coverage_fraction,7,0.8804610731798784,0.9642857142857145,0.7,review
accelerometer_observed_span_hours,quality,qc_only,accelerometer_observed_span_hours,0,,,0.7,insufficient_pilot_n
accelerometer_median_sampling_interval_ms,quality,qc_only,accelerometer_raw_row_count,7,-0.02696412459167791,0.03603749850782236,0.7,not_flagged
accelerometer_median_sampling_interval_ms,quality,qc_only,accelerometer_valid_signal_minutes,7,-0.5301939484681564,-0.2702812388086677,0.7,not_flagged
accelerometer_median_sampling_interval_ms,quality,qc_only,accelerometer_calendar_coverage_fraction,7,-0.5301939484681565,-0.2702812388086677,0.7,not_flagged
accelerometer_median_sampling_interval_ms,quality,qc_only,accelerometer_observed_span_hours,7,-0.2807947696933245,-0.18018749253911182,0.7,not_flagged
accelerometer_p95_sampling_interval_ms,quality,qc_only,accelerometer_raw_row_count,7,0.7568692682596214,0.6306562238868914,0.7,not_flagged
accelerometer_p95_sampling_interval_ms,quality,qc_only,accelerometer_valid_signal_minutes,7,0.5096250380241396,0.6847124716486249,0.7,not_flagged
accelerometer_p95_sampling_interval_ms,quality,qc_only,accelerometer_calendar_coverage_fraction,7,0.5096250380241396,0.6847124716486249,0.7,not_flagged
