Subject_ID_N,Subject_ID_D,screen_early_event_count,screen_late_event_count,screen_delta_event_count,screen_pct_change_event_count,screen_delta_status,app_early_foreground_event_count,app_late_foreground_event_count,app_delta_foreground_event_count,app_pct_change_foreground_event_count,app_delta_status,aware_log_early_rows,aware_log_late_rows,aware_log_delta_rows,aware_log_delta_status
3,001,220.0,0.0,,,missing_early_or_late,1584.0,0.0,,,missing_early_or_late,6577.0,0.0,,missing_early_or_late
68,024,428.0,20.0,-408.0,-0.9532710280373832,ok,386.0,1.0,-385.0,-0.9974093264248705,ok,9375.0,68897.0,59522.0,ok
13,030,4725.0,0.0,,,missing_early_or_late,18975.0,0.0,,,missing_early_or_late,150201.0,0.0,,missing_early_or_late
44,044,0.0,12.0,,,missing_early_or_late,0.0,762.0,,,missing_early_or_late,0.0,0.0,,missing_early_or_late
40,062,610.0,0.0,,,missing_early_or_late,706.0,0.0,,,missing_early_or_late,8106.0,0.0,,missing_early_or_late
41,074,0.0,0.0,,,missing_early_or_late,0.0,0.0,,,missing_early_or_late,0.0,0.0,,missing_early_or_late
77,077,91.0,0.0,,,missing_early_or_late,67.0,0.0,,,missing_early_or_late,6697.0,6728.0,31.0,ok
72,087,875.0,0.0,,,missing_early_or_late,1340.0,0.0,,,missing_early_or_late,10201.0,0.0,,missing_early_or_late
82,093,211.0,0.0,,,missing_early_or_late,354.0,0.0,,,missing_early_or_late,25744.0,0.0,,missing_early_or_late
86,095,1368.0,0.0,,,missing_early_or_late,2698.0,0.0,,,missing_early_or_late,55556.0,0.0,,missing_early_or_late
