Subject_ID_N,Subject_ID_D,n_devices_for_subject,table_name,window_name,table_has_data,n_raw_rows,n_active_days,extraction_status,error_message,json_parse_errors,screen_event_count,active_screen_days,night_screen_event_count,screen_events_per_active_day,app_foreground_event_count,active_app_days,unique_foreground_apps,app_use_diversity,app_events_per_active_day,aware_log_rows,aware_log_active_days,data_logging_coverage_days,system_log_density
41,074,2,screen,early_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
41,074,2,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
41,074,2,applications_foreground,early_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
41,074,2,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
41,074,2,aware_log,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
41,074,2,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
44,044,3,screen,early_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
44,044,3,screen,late_window,True,12,3,ok_has_data,,0,12.0,3.0,0.0,4.0,,,,,,,,,
44,044,3,applications_foreground,early_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
44,044,3,applications_foreground,late_window,True,762,7,ok_has_data,,0,,,,,762.0,7.0,18.0,2.888542837481833,108.85714285714286,,,,
44,044,3,aware_log,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
44,044,3,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
82,093,1,screen,early_window,True,211,3,ok_has_data,,0,211.0,3.0,34.0,70.33333333333333,,,,,,,,,
82,093,1,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
82,093,1,applications_foreground,early_window,True,354,2,ok_has_data,,0,,,,,354.0,2.0,12.0,2.6778174805826787,177.0,,,,
82,093,1,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
82,093,1,aware_log,early_window,True,25744,7,ok_has_data,,0,,,,,,,,,,25744.0,7.0,7.0,3677.714285714286
82,093,1,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
40,062,3,screen,early_window,True,610,5,ok_has_data,,0,610.0,5.0,124.0,122.0,,,,,,,,,
40,062,3,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
40,062,3,applications_foreground,early_window,True,706,4,ok_has_data,,0,,,,,706.0,4.0,19.0,3.8052335226383915,176.5,,,,
40,062,3,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
40,062,3,aware_log,early_window,True,8106,7,ok_has_data,,0,,,,,,,,,,8106.0,7.0,7.0,1158.0
40,062,3,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
68,024,2,screen,early_window,True,428,3,ok_has_data,,0,428.0,3.0,50.0,142.66666666666666,,,,,,,,,
68,024,2,screen,late_window,True,20,1,ok_has_data,,0,20.0,1.0,20.0,20.0,,,,,,,,,
68,024,2,applications_foreground,early_window,True,386,3,ok_has_data,,0,,,,,386.0,3.0,13.0,2.842764305932299,128.66666666666666,,,,
68,024,2,applications_foreground,late_window,True,1,1,ok_has_data,,0,,,,,1.0,1.0,1.0,0.0,1.0,,,,
68,024,2,aware_log,early_window,True,9375,7,ok_has_data,,0,,,,,,,,,,9375.0,7.0,7.0,1339.2857142857142
68,024,2,aware_log,late_window,True,68897,7,ok_has_data,,0,,,,,,,,,,68897.0,7.0,7.0,9842.42857142857
72,087,3,screen,early_window,True,875,2,ok_has_data,,0,875.0,2.0,0.0,437.5,,,,,,,,,
72,087,3,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
72,087,3,applications_foreground,early_window,True,1340,2,ok_has_data,,0,,,,,1340.0,2.0,21.0,3.343838752190086,670.0,,,,
72,087,3,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
72,087,3,aware_log,early_window,True,10201,7,ok_has_data,,0,,,,,,,,,,10201.0,7.0,7.0,1457.2857142857142
72,087,3,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
77,077,2,screen,early_window,True,91,1,ok_has_data,,0,91.0,1.0,0.0,91.0,,,,,,,,,
77,077,2,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
77,077,2,applications_foreground,early_window,True,67,1,ok_has_data,,0,,,,,67.0,1.0,7.0,2.6218029034033887,67.0,,,,
77,077,2,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
77,077,2,aware_log,early_window,True,6697,7,ok_has_data,,0,,,,,,,,,,6697.0,7.0,7.0,956.7142857142857
77,077,2,aware_log,late_window,True,6728,7,ok_has_data,,0,,,,,,,,,,6728.0,7.0,7.0,961.1428571428571
13,030,3,screen,early_window,True,4725,1,ok_has_data,,0,4725.0,1.0,0.0,4725.0,,,,,,,,,
13,030,3,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
13,030,3,applications_foreground,early_window,True,18975,1,ok_has_data,,0,,,,,18975.0,1.0,25.0,3.3721805715325384,18975.0,,,,
13,030,3,applications_foreground,late_window,False,0,0,ok_no_data,,0,,,,,0.0,0.0,,,,,,,
13,030,3,aware_log,early_window,True,150201,7,ok_has_data,,0,,,,,,,,,,150201.0,7.0,7.0,21457.285714285714
13,030,3,aware_log,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,0.0,0.0,0.0,
3,001,1,screen,early_window,True,220,1,ok_has_data,,0,220.0,1.0,0.0,220.0,,,,,,,,,
3,001,1,screen,late_window,False,0,0,ok_no_data,,0,0.0,0.0,0.0,,,,,,,,,,
3,001,1,applications_foreground,early_window,True,1584,1,ok_has_data,,0,,,,,1584.0,1.0,16.0,2.7347265393460574,1584.0,,,,
