Subject_ID_N,Subject_ID_D,n_devices_for_subject,table_name,window_name,table_has_data,n_raw_rows,n_active_days,extraction_status,error_message,json_parse_errors,keyboard_event_count,active_keyboard_days,keyboard_events_per_active_day,touch_event_count,active_touch_days,touch_events_per_active_day,activity_event_count,active_activity_days,still_event_count,walking_event_count,in_vehicle_event_count,activity_diversity,high_confidence_activity_event_count,mean_activity_confidence
41,074,2,keyboard,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
41,074,2,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
41,074,2,touch,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
41,074,2,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
41,074,2,plugin_google_activity_recognition,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
41,074,2,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
44,044,3,keyboard,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
44,044,3,keyboard,late_window,True,50,3,ok_has_data,,0,50.0,3.0,16.666666666666668,,,,,,,,,,,
44,044,3,touch,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
44,044,3,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
44,044,3,plugin_google_activity_recognition,early_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
44,044,3,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
82,093,1,keyboard,early_window,True,81,2,ok_has_data,,0,81.0,2.0,40.5,,,,,,,,,,,
82,093,1,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
82,093,1,touch,early_window,True,953,2,ok_has_data,,0,,,,953.0,2.0,476.5,,,,,,,,
82,093,1,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
82,093,1,plugin_google_activity_recognition,early_window,True,1404,7,ok_has_data,,0,,,,,,,1404.0,7.0,690.0,0.0,80.0,1.8369175362228676,975.0,79.7094017094017
82,093,1,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
40,062,3,keyboard,early_window,True,2948,1,ok_has_data,,0,2948.0,1.0,2948.0,,,,,,,,,,,
40,062,3,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
40,062,3,touch,early_window,True,2334,3,ok_has_data,,0,,,,2334.0,3.0,778.0,,,,,,,,
40,062,3,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
40,062,3,plugin_google_activity_recognition,early_window,True,2443,7,ok_has_data,,0,,,,,,,2443.0,7.0,1006.0,0.0,316.0,2.103988154755752,1805.0,81.39787146950471
40,062,3,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
68,024,2,keyboard,early_window,True,205,2,ok_has_data,,0,205.0,2.0,102.5,,,,,,,,,,,
68,024,2,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
68,024,2,touch,early_window,True,1521,3,ok_has_data,,0,,,,1521.0,3.0,507.0,,,,,,,,
68,024,2,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
68,024,2,plugin_google_activity_recognition,early_window,True,597,7,ok_has_data,,0,,,,,,,597.0,7.0,320.0,0.0,9.0,1.6734602328520332,461.0,84.21608040201005
68,024,2,plugin_google_activity_recognition,late_window,True,476,6,ok_has_data,,0,,,,,,,476.0,6.0,264.0,0.0,21.0,1.6531609468693407,368.0,84.03781512605042
72,087,3,keyboard,early_window,True,261,2,ok_has_data,,0,261.0,2.0,130.5,,,,,,,,,,,
72,087,3,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
72,087,3,touch,early_window,True,1160,2,ok_has_data,,0,,,,1160.0,2.0,580.0,,,,,,,,
72,087,3,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
72,087,3,plugin_google_activity_recognition,early_window,True,878,7,ok_has_data,,0,,,,,,,878.0,7.0,576.0,0.0,29.0,1.5187599783324914,742.0,89.19248291571753
72,087,3,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
77,077,2,keyboard,early_window,True,221,1,ok_has_data,,0,221.0,1.0,221.0,,,,,,,,,,,
77,077,2,keyboard,late_window,True,1,1,ok_has_data,,0,1.0,1.0,1.0,,,,,,,,,,,
77,077,2,touch,early_window,True,2613,1,ok_has_data,,0,,,,2613.0,1.0,2613.0,,,,,,,,
77,077,2,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
77,077,2,plugin_google_activity_recognition,early_window,True,1835,7,ok_has_data,,0,,,,,,,1835.0,7.0,1091.0,0.0,147.0,1.766656902642128,1570.0,86.99128065395095
77,077,2,plugin_google_activity_recognition,late_window,True,1697,7,ok_has_data,,0,,,,,,,1697.0,7.0,949.0,0.0,219.0,1.8132072894696225,1401.0,85.76900412492634
13,030,3,keyboard,early_window,True,1950,1,ok_has_data,,0,1950.0,1.0,1950.0,,,,,,,,,,,
13,030,3,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
13,030,3,touch,early_window,True,33675,1,ok_has_data,,0,,,,33675.0,1.0,33675.0,,,,,,,,
13,030,3,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
13,030,3,plugin_google_activity_recognition,early_window,True,1508,7,ok_has_data,,0,,,,,,,1508.0,7.0,769.0,0.0,47.0,1.8003146564090031,1033.0,79.27718832891247
13,030,3,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
3,001,1,keyboard,early_window,True,8569,1,ok_has_data,,0,8569.0,1.0,8569.0,,,,,,,,,,,
3,001,1,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
3,001,1,touch,early_window,True,2970,1,ok_has_data,,0,,,,2970.0,1.0,2970.0,,,,,,,,
3,001,1,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
3,001,1,plugin_google_activity_recognition,early_window,True,284,4,ok_has_data,,0,,,,,,,284.0,4.0,209.0,0.0,2.0,1.1897504833498074,223.0,82.45070422535211
3,001,1,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
86,095,2,keyboard,early_window,True,418,1,ok_has_data,,0,418.0,1.0,418.0,,,,,,,,,,,
86,095,2,keyboard,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
86,095,2,touch,early_window,True,2394,1,ok_has_data,,0,,,,2394.0,1.0,2394.0,,,,,,,,
86,095,2,touch,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
86,095,2,plugin_google_activity_recognition,early_window,True,1379,7,ok_has_data,,0,,,,,,,1379.0,7.0,668.0,0.0,125.0,1.924276302888419,1042.0,83.70340826686004
86,095,2,plugin_google_activity_recognition,late_window,False,0,0,ok_no_data,,0,,,,,,,,,,,,,,
