Subject_ID_D,global_delta,screen_early_event_count,screen_late_event_count,app_early_foreground_event_count,app_late_foreground_event_count,aware_log_early_rows,aware_log_late_rows,usable_phase1a_baseline,usable_phase1a_change,aware_log_early_support,aware_log_late_support,aware_log_change_support
001,-3.7999999999999967,220.0,0.0,1584.0,0.0,6577.0,0.0,True,False,True,False,False
024,-6.5,428.0,20.0,386.0,1.0,9375.0,68897.0,True,True,True,True,True
030,-4.299999999999997,4725.0,0.0,18975.0,0.0,150201.0,0.0,True,False,True,False,False
044,-8.399999999999991,0.0,12.0,0.0,762.0,0.0,0.0,False,False,False,False,False
062,-6.700000000000003,610.0,0.0,706.0,0.0,8106.0,0.0,True,False,True,False,False
074,-10.200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
077,-5.099999999999994,91.0,0.0,67.0,0.0,6697.0,6728.0,True,False,True,True,True
087,-5.700000000000003,875.0,0.0,1340.0,0.0,10201.0,0.0,True,False,True,False,False
093,-7.299999999999997,211.0,0.0,354.0,0.0,25744.0,0.0,True,False,True,False,False
095,-3.7000000000000033,1368.0,0.0,2698.0,0.0,55556.0,0.0,True,False,True,False,False
