table_name,window_name,extraction_status,n_rows,section,column,non_missing_count,min,median,mean,max,n_zeros,n_negative,metric,value
keyboard,early_window,ok_no_data,14.0,device_rows_by_table_window_status,,,,,,,,,,
keyboard,early_window,ok_has_data,8.0,device_rows_by_table_window_status,,,,,,,,,,
keyboard,late_window,ok_no_data,20.0,device_rows_by_table_window_status,,,,,,,,,,
keyboard,late_window,ok_has_data,2.0,device_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,early_window,ok_no_data,14.0,device_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,early_window,ok_has_data,8.0,device_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,late_window,ok_no_data,20.0,device_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,late_window,ok_has_data,2.0,device_rows_by_table_window_status,,,,,,,,,,
touch,early_window,ok_no_data,14.0,device_rows_by_table_window_status,,,,,,,,,,
touch,early_window,ok_has_data,8.0,device_rows_by_table_window_status,,,,,,,,,,
touch,late_window,ok_no_data,22.0,device_rows_by_table_window_status,,,,,,,,,,
keyboard,early_window,ok_has_data,8.0,subject_window_rows_by_table_window_status,,,,,,,,,,
keyboard,early_window,ok_no_data,2.0,subject_window_rows_by_table_window_status,,,,,,,,,,
keyboard,late_window,ok_no_data,8.0,subject_window_rows_by_table_window_status,,,,,,,,,,
keyboard,late_window,ok_has_data,2.0,subject_window_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,early_window,ok_has_data,8.0,subject_window_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,early_window,ok_no_data,2.0,subject_window_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,late_window,ok_no_data,8.0,subject_window_rows_by_table_window_status,,,,,,,,,,
plugin_google_activity_recognition,late_window,ok_has_data,2.0,subject_window_rows_by_table_window_status,,,,,,,,,,
touch,early_window,ok_has_data,8.0,subject_window_rows_by_table_window_status,,,,,,,,,,
touch,early_window,ok_no_data,2.0,subject_window_rows_by_table_window_status,,,,,,,,,,
touch,late_window,ok_no_data,10.0,subject_window_rows_by_table_window_status,,,,,,,,,,
,,,,wide_numeric_feature_summary,keyboard_early_event_count,8.0,81.0,339.5,1831.625,8569.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,keyboard_late_event_count,2.0,1.0,25.5,25.5,50.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,keyboard_delta_event_count,1.0,-220.0,-220.0,-220.0,-220.0,0.0,1.0,,
,,,,wide_numeric_feature_summary,keyboard_pct_change_event_count,1.0,-0.995475113122172,-0.995475113122172,-0.995475113122172,-0.995475113122172,0.0,1.0,,
,,,,wide_numeric_feature_summary,keyboard_delta_status,0.0,,,,,0.0,0.0,,
,,,,wide_numeric_feature_summary,touch_early_event_count,8.0,953.0,2364.0,5952.5,33675.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,touch_late_event_count,0.0,,,,,0.0,0.0,,
,,,,wide_numeric_feature_summary,touch_delta_event_count,0.0,,,,,0.0,0.0,,
,,,,wide_numeric_feature_summary,touch_pct_change_event_count,0.0,,,,,0.0,0.0,,
,,,,wide_numeric_feature_summary,touch_delta_status,0.0,,,,,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_early_event_count,8.0,284.0,1391.5,1291.0,2443.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_late_event_count,2.0,476.0,1086.5,1086.5,1697.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_early_still_event_count,8.0,209.0,679.0,666.125,1091.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_late_still_event_count,2.0,264.0,606.5,606.5,949.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_early_walking_event_count,8.0,0.0,0.0,0.0,0.0,8.0,0.0,,
,,,,wide_numeric_feature_summary,activity_late_walking_event_count,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,
,,,,wide_numeric_feature_summary,activity_early_in_vehicle_event_count,8.0,2.0,63.5,94.375,316.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_late_in_vehicle_event_count,2.0,21.0,120.0,120.0,219.0,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_early_mean_confidence,8.0,79.27718832891247,83.07705624610608,83.3673022464637,89.19248291571753,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_late_mean_confidence,2.0,84.03781512605042,84.90340962548838,84.90340962548838,85.76900412492634,0.0,0.0,,
,,,,wide_numeric_feature_summary,activity_delta_event_count,2.0,-138.0,-129.5,-129.5,-121.0,0.0,2.0,,
,,,,wide_numeric_feature_summary,activity_pct_change_event_count,2.0,-0.202680067001675,-0.13894221333734974,-0.13894221333734974,-0.0752043596730245,0.0,2.0,,
,,,,wide_numeric_feature_summary,activity_delta_status,0.0,,,,,0.0,0.0,,
,,,,meta,,,,,,,,,expected_subjects,10.0
,,,,meta,,,,,,,,,actual_subjects_in_wide,10.0
,,,,meta,,,,,,,,,n_qc_issues,0.0
,,,,meta,,,,,,,,,privacy_forbidden_columns_found,0.0
,,,,meta,,,,,,,,,no_data_windows_with_primary_value,0.0
