sample_index,_id,timestamp,local_datetime,device_id,Subject_ID_D,window_rule,delta_from_previous_ms,accel_magnitude,label,accuracy,double_values_0,double_values_1,double_values_2
1,15297751,1736320047852,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,,10.026092585510611,,3,-0.441596120595932,4.16648530960083,9.108673095703123
2,15297752,1736320047961,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,109,9.87954109587037,,3,-0.25021323561668396,4.1129608154296875,8.97921371459961
3,15297753,1736320048161,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.528527257667589,,3,-0.22931663691997528,4.207618236541748,8.546121597290039
4,15297754,1736320048363,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,202,9.898764912898834,,3,-0.27223989367485046,4.076837062835693,9.016142845153809
5,15297755,1736320048568,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,205,9.833715733585791,,3,-0.08782889693975449,4.135399341583252,8.921475410461426
6,15297756,1736320048762,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,194,9.876015125239935,,3,-0.11932700872421265,4.171063423156738,8.95118236541748
7,15297757,1736320048962,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.917793819624684,,3,-0.19401653110980988,4.174472808837891,8.99437427520752
8,15297758,1736320049161,2025-01-08 09:07:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,199,9.826656081910146,,3,-0.14346057176589966,4.16524076461792,8.899065017700195
9,15297759,1736320049362,2025-01-08 09:07:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,201,9.835993539328298,,3,-0.08659349381923676,4.218459129333496,8.88503646850586
10,15297760,1736320049562,2025-01-08 09:07:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.82217891248337,,3,-0.17647181451320648,4.232316493988037,8.86180305480957
11,15297761,1736320049769,2025-01-08 09:07:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,207,9.721109102368663,,3,-0.03224511072039604,4.151373386383057,8.79005241394043
12,15297762,1736320049962,2025-01-08 09:07:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,193,9.752124393214709,,3,-0.1490725725889206,4.220920085906982,8.790081977844238
13,15297763,1736320050162,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.757522068497105,,3,-0.13926592469215393,4.195321083068848,8.80846881866455
14,15297764,1736320050362,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.785804549291848,,3,-0.13714943826198578,4.1537580490112305,8.859427452087402
15,15297765,1736320050562,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,200,9.847370969803599,,3,-0.16373465955257416,4.209514141082764,8.90078067779541
16,15297766,1736320050627,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,65,9.66501865439344,,3,-0.1400512307882309,4.259524345397949,8.674642562866211
17,15297767,1736320050638,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,11,9.723053844619397,,3,-0.07907569408416748,4.246959686279297,8.746133804321289
18,15297768,1736320050658,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,20,9.84801414805532,,3,-0.08055052161216736,4.228591442108154,8.893588066101074
19,15297769,1736320050678,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,20,9.94332825591359,,3,-0.01523669995367527,4.205013275146484,9.010405540466309
20,15297770,1736320050698,2025-01-08 09:07:30+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,041,targeted_around_sensor_accelerometer_metadata_10min,20,9.89234310938823,,3,-0.12972743809223175,4.195800304412842,8.957504272460938
