chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,rows_written,cumulative_rows_written,status,error_message
1736320047852,1736320347852,2025-01-08 09:07:27+0200,2025-01-08 09:12:27+0200,3202,3202,ok,
1736320347852,1736320647852,2025-01-08 09:12:27+0200,2025-01-08 09:17:27+0200,2739,5941,ok,
1736320647852,1736320947852,2025-01-08 09:17:27+0200,2025-01-08 09:22:27+0200,1500,7441,ok,
1736320947852,1736321247852,2025-01-08 09:22:27+0200,2025-01-08 09:27:27+0200,1500,8941,ok,
1736321247852,1736321547852,2025-01-08 09:27:27+0200,2025-01-08 09:32:27+0200,1500,10441,ok,
1736321547852,1736321847852,2025-01-08 09:32:27+0200,2025-01-08 09:37:27+0200,1500,11941,ok,
1736321847852,1736322147852,2025-01-08 09:37:27+0200,2025-01-08 09:42:27+0200,1500,13441,ok,
1736322147852,1736322447852,2025-01-08 09:42:27+0200,2025-01-08 09:47:27+0200,1500,14941,ok,
1736322447852,1736322747852,2025-01-08 09:47:27+0200,2025-01-08 09:52:27+0200,1500,16441,ok,
1736322747852,1736323047852,2025-01-08 09:52:27+0200,2025-01-08 09:57:27+0200,1500,17941,ok,
1736323047852,1736323347852,2025-01-08 09:57:27+0200,2025-01-08 10:02:27+0200,1500,19441,ok,
1736323347852,1736323647852,2025-01-08 10:02:27+0200,2025-01-08 10:07:27+0200,1500,20941,ok,
1736323647852,1736323947852,2025-01-08 10:07:27+0200,2025-01-08 10:12:27+0200,2427,23368,ok,
1736323947852,1736324247852,2025-01-08 10:12:27+0200,2025-01-08 10:17:27+0200,3204,26572,ok,
1736324247852,1736324547852,2025-01-08 10:17:27+0200,2025-01-08 10:22:27+0200,17331,43903,ok,
1736324547852,1736324847852,2025-01-08 10:22:27+0200,2025-01-08 10:27:27+0200,13711,57614,ok,
1736324847852,1736325147852,2025-01-08 10:27:27+0200,2025-01-08 10:32:27+0200,3054,60668,ok,
1736325147852,1736325447852,2025-01-08 10:32:27+0200,2025-01-08 10:37:27+0200,3435,64103,ok,
1736325447852,1736325747852,2025-01-08 10:37:27+0200,2025-01-08 10:42:27+0200,1802,65905,ok,
1736325747852,1736326047852,2025-01-08 10:42:27+0200,2025-01-08 10:47:27+0200,3353,69258,ok,
1736326047852,1736326347852,2025-01-08 10:47:27+0200,2025-01-08 10:52:27+0200,3202,72460,ok,
1736326347852,1736326647852,2025-01-08 10:52:27+0200,2025-01-08 10:57:27+0200,3046,75506,ok,
1736326647852,1736326947852,2025-01-08 10:57:27+0200,2025-01-08 11:02:27+0200,3044,78550,ok,
1736326947852,1736327247852,2025-01-08 11:02:27+0200,2025-01-08 11:07:27+0200,2927,81477,ok,
1736327247852,1736327547852,2025-01-08 11:07:27+0200,2025-01-08 11:12:27+0200,2737,84214,ok,
1736327547852,1736327847852,2025-01-08 11:12:27+0200,2025-01-08 11:17:27+0200,1500,85714,ok,
1736327847852,1736328147852,2025-01-08 11:17:27+0200,2025-01-08 11:22:27+0200,1500,87214,ok,
1736328147852,1736328447852,2025-01-08 11:22:27+0200,2025-01-08 11:27:27+0200,1500,88714,ok,
1736328447852,1736328747852,2025-01-08 11:27:27+0200,2025-01-08 11:32:27+0200,1500,90214,ok,
