chunk_index,chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,local_hour,is_night_22_06,valid_sample_count,status,observed_span_seconds,median_interval_ms,p95_interval_ms,max_gap_seconds,gap_count_gt_1s,gap_burden_fraction,gravity_baseline_median,magnitude_mean,magnitude_sd,dynamic_magnitude_mean,dynamic_magnitude_median,dynamic_magnitude_sd,high_motion_fraction,effective_sampling_hz_from_median_interval,effective_nyquist_hz_from_median_interval,dominant_frequency_hz,total_power,very_low_lt_0_3hz_power,very_low_lt_0_3hz_power_ratio,handling_0_3_1hz_power,handling_0_3_1hz_power_ratio,walking_like_1_3hz_power,walking_like_1_3hz_power_ratio,vigorous_2_5_4hz_power,vigorous_2_5_4hz_power_ratio,shaking_like_3_8hz_power,shaking_like_3_8hz_power_ratio,high_freq_8_12hz_power,high_freq_8_12hz_power_ratio,walking_like_power_ratio,shaking_like_power_ratio,chunk_state_candidate,Subject_ID_D,device_id,raw_rows_downloaded
0,1736320047000,1736320347000,2025-01-08 09:07:27+0200,2025-01-08 09:12:27+0200,9,False,3198,ok,299.032,20.0,200.0,0.209,0,0.0,9.907332950801273,9.906014397445121,0.3139099847714061,0.08289193500574436,0.022253046332195048,0.3027707783673003,0.019699812382739212,50.0,25.0,0.08333333333333333,0.017051481861006208,0.005773373501939377,0.3385848543253056,0.005332075576521286,0.3127045273827386,0.005312722112640272,0.31156952550790024,0.0008815566282587036,0.05169970771130873,0.0005872671061696964,0.03444082519963704,,,0.31156952550790024,0.03444082519963704,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,3198
1,1736320347000,1736320647000,2025-01-08 09:12:27+0200,2025-01-08 09:17:27+0200,9,False,2739,ok,299.8,44.0,201.0,0.203,0,0.0,9.903140316794481,9.904206537924653,0.06442164231378221,0.028551337445948777,0.015082646178765202,0.057759033544120875,0.0018254837531945967,22.727272727272727,11.363636363636363,0.21666666666666667,0.0037851431418380226,0.0014726480640948367,0.3890600722116246,0.0010356750610330308,0.27361582434901494,0.0012253763207354222,0.3237331521735776,0.00020883970007893967,0.055173527724906454,8.292648931703649e-05,0.021908415668731706,,,0.3237331521735776,0.021908415668731706,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,2739
2,1736320647000,1736320947000,2025-01-08 09:17:27+0200,2025-01-08 09:22:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.204,0,0.0,9.903522480961444,9.904124460747099,0.06010099255150987,0.019086160089861547,0.0103322242700159,0.056993071318916996,0.0013333333333333333,5.0,2.5,0.03333333333333333,0.001513312970806617,0.00038014355692055123,0.25119956298129753,0.0005505087279207354,0.36377718194492614,0.0005308106965623685,0.35076068652173054,6.252183777322898e-05,0.04131454562231365,3.6143359897969136e-05,0.02388359882933153,,,0.35076068652173054,0.02388359882933153,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
3,1736320947000,1736321247000,2025-01-08 09:22:27+0200,2025-01-08 09:27:27+0200,9,False,1500,ok,299.799,200.0,201.0,0.213,0,0.0,9.904835433997714,9.905180277337829,0.033385632955791396,0.01608251666183747,0.009744303471505233,0.029258709175385134,0.0,5.0,2.5,0.16666666666666666,0.0007466437943121801,0.00020023119271427774,0.2681749908585711,0.0002824757331544249,0.3783273032017174,0.0002428905590806347,0.32530982100291783,2.95842429538836e-05,0.039622967711312816,1.3331157522759095e-05,0.017854775763642375,,,0.32530982100291783,0.017854775763642375,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
4,1736321247000,1736321547000,2025-01-08 09:27:27+0200,2025-01-08 09:32:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.211,0,0.0,9.90246669049247,9.898267434100516,0.0805009157191205,0.025139075133425386,0.01303502652939148,0.07659019576485172,0.0006666666666666666,5.0,2.5,0.06666666666666667,0.006168382533170007,0.0013604152070409998,0.22054650465101194,0.0023355473264003194,0.37863205043479253,0.002306372231040189,0.37390226994481096,0.00034049034614791593,0.055199291599857016,0.00014246767399687507,0.023096439501079254,,,0.37390226994481096,0.023096439501079254,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
5,1736321547000,1736321847000,2025-01-08 09:32:27+0200,2025-01-08 09:37:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.211,0,0.0,9.905324055318362,9.906846509390965,0.03658678060007093,0.017570477583183277,0.009463689589469304,0.03212769363928521,0.0,5.0,2.5,0.08333333333333333,0.0008891477088381435,0.00022772752315596085,0.2561188887879318,0.0002927005425289614,0.3291922586309484,0.0003409606009449629,0.3834690204516175,5.201166212753979e-05,0.0584960874448002,1.8967435048783826e-05,0.021332153094752643,,,0.3834690204516175,0.021332153094752643,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
6,1736321847000,1736322147000,2025-01-08 09:37:27+0200,2025-01-08 09:42:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.229,0,0.0,9.904496101434747,9.90633784597999,0.14785740112585782,0.04877614591722638,0.012661178920255978,0.13959258819910247,0.007333333333333333,5.0,2.5,0.03333333333333333,0.015378961631789954,0.005662427260853602,0.3681930806790467,0.005625057890279343,0.36576317861745283,0.004139434029734413,0.26916212738171874,0.0008210112585634553,0.05338535059911571,0.00026350784172941025,0.017134306466095307,,,0.26916212738171874,0.017134306466095307,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
7,1736322147000,1736322447000,2025-01-08 09:42:27+0200,2025-01-08 09:47:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.203,0,0.0,9.905709949965548,9.908905358091458,0.14407819007623582,0.036999659368742534,0.011468142055348629,0.13928302371549842,0.006666666666666667,5.0,2.5,0.2,0.021863051787490855,0.006144661651747902,0.2810523302727402,0.007847447213347588,0.3589364965890799,0.00708754034436026,0.3241789121322697,0.0010765117085081758,0.04923885827888455,0.0004055778723095822,0.018550835274590408,,,0.3241789121322697,0.018550835274590408,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
8,1736322447000,1736322747000,2025-01-08 09:47:27+0200,2025-01-08 09:52:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.203,0,0.0,9.905783551723502,9.904510588228488,0.03384552318633671,0.016856022902353055,0.010132166559220224,0.02937710618375887,0.0,5.0,2.5,0.06666666666666667,0.0004911873117461391,0.00012251145699476693,0.2494190180915843,0.00016630574932782695,0.33857908246167995,0.00019229745151265291,0.3914951524888701,2.8320749045226093e-05,0.057657737421082114,1.134877841936466e-05,0.023104787416068397,,,0.3914951524888701,0.023104787416068397,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
9,1736322747000,1736323047000,2025-01-08 09:52:27+0200,2025-01-08 09:57:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.211,0,0.0,9.902375979757256,9.899375816598114,0.04000330993678862,0.022840026879132006,0.014063772684191456,0.032978765244332124,0.0,5.0,2.5,0.016666666666666666,0.0009364896093155762,0.0002379194364780485,0.25405453953934365,0.00028584300774262065,0.30522816793613555,0.0003874618862784281,0.41373858548372006,5.9605761603956024e-05,0.06364807576190651,2.512446112866107e-05,0.026828339448446228,,,0.41373858548372006,0.026828339448446228,still_phone_candidate,041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1500
