Subject_ID_D,device_id,chunk_index,chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,raw_rows_downloaded,cumulative_raw_rows_downloaded,status,error_message
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,0,1736320047000,1736320347000,2025-01-08 09:07:27+0200,2025-01-08 09:12:27+0200,3198,3198,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1,1736320347000,1736320647000,2025-01-08 09:12:27+0200,2025-01-08 09:17:27+0200,2739,5937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,2,1736320647000,1736320947000,2025-01-08 09:17:27+0200,2025-01-08 09:22:27+0200,1500,7437,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,3,1736320947000,1736321247000,2025-01-08 09:22:27+0200,2025-01-08 09:27:27+0200,1500,8937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,4,1736321247000,1736321547000,2025-01-08 09:27:27+0200,2025-01-08 09:32:27+0200,1500,10437,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,5,1736321547000,1736321847000,2025-01-08 09:32:27+0200,2025-01-08 09:37:27+0200,1500,11937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,6,1736321847000,1736322147000,2025-01-08 09:37:27+0200,2025-01-08 09:42:27+0200,1500,13437,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,7,1736322147000,1736322447000,2025-01-08 09:42:27+0200,2025-01-08 09:47:27+0200,1500,14937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,8,1736322447000,1736322747000,2025-01-08 09:47:27+0200,2025-01-08 09:52:27+0200,1500,16437,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,9,1736322747000,1736323047000,2025-01-08 09:52:27+0200,2025-01-08 09:57:27+0200,1500,17937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,10,1736323047000,1736323347000,2025-01-08 09:57:27+0200,2025-01-08 10:02:27+0200,1500,19437,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,11,1736323347000,1736323647000,2025-01-08 10:02:27+0200,2025-01-08 10:07:27+0200,1500,20937,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,12,1736323647000,1736323947000,2025-01-08 10:07:27+0200,2025-01-08 10:12:27+0200,2427,23364,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,13,1736323947000,1736324247000,2025-01-08 10:12:27+0200,2025-01-08 10:17:27+0200,3203,26567,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,14,1736324247000,1736324547000,2025-01-08 10:17:27+0200,2025-01-08 10:22:27+0200,17251,43818,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,15,1736324547000,1736324847000,2025-01-08 10:22:27+0200,2025-01-08 10:27:27+0200,13792,57610,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,16,1736324847000,1736325147000,2025-01-08 10:27:27+0200,2025-01-08 10:32:27+0200,3016,60626,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,17,1736325147000,1736325447000,2025-01-08 10:32:27+0200,2025-01-08 10:37:27+0200,3473,64099,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,18,1736325447000,1736325747000,2025-01-08 10:37:27+0200,2025-01-08 10:42:27+0200,1802,65901,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,19,1736325747000,1736326047000,2025-01-08 10:42:27+0200,2025-01-08 10:47:27+0200,3353,69254,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,20,1736326047000,1736326347000,2025-01-08 10:47:27+0200,2025-01-08 10:52:27+0200,3202,72456,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,21,1736326347000,1736326647000,2025-01-08 10:52:27+0200,2025-01-08 10:57:27+0200,3045,75501,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,22,1736326647000,1736326947000,2025-01-08 10:57:27+0200,2025-01-08 11:02:27+0200,3044,78545,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,23,1736326947000,1736327247000,2025-01-08 11:02:27+0200,2025-01-08 11:07:27+0200,2928,81473,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,24,1736327247000,1736327547000,2025-01-08 11:07:27+0200,2025-01-08 11:12:27+0200,2737,84210,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,25,1736327547000,1736327847000,2025-01-08 11:12:27+0200,2025-01-08 11:17:27+0200,1500,85710,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,26,1736327847000,1736328147000,2025-01-08 11:17:27+0200,2025-01-08 11:22:27+0200,1500,87210,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,27,1736328147000,1736328447000,2025-01-08 11:22:27+0200,2025-01-08 11:27:27+0200,1500,88710,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,28,1736328447000,1736328747000,2025-01-08 11:27:27+0200,2025-01-08 11:32:27+0200,1500,90210,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,29,1736328747000,1736329047000,2025-01-08 11:32:27+0200,2025-01-08 11:37:27+0200,3789,93999,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,30,1736329047000,1736329347000,2025-01-08 11:37:27+0200,2025-01-08 11:42:27+0200,7885,101884,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,31,1736329347000,1736329647000,2025-01-08 11:42:27+0200,2025-01-08 11:47:27+0200,2254,104138,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,32,1736329647000,1736329947000,2025-01-08 11:47:27+0200,2025-01-08 11:52:27+0200,3200,107338,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,33,1736329947000,1736330247000,2025-01-08 11:52:27+0200,2025-01-08 11:57:27+0200,3351,110689,ok,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,34,1736330247000,1736330547000,2025-01-08 11:57:27+0200,2025-01-08 12:02:27+0200,1504,112193,ok,
