device_id,n_rows,Subject_ID_D
8551b6d6-e487-47f8-a69a-fa2cfb34230b,83378,020
1b799d79-1303-44c4-97a7-ad56a19add13,74965,026
6faf770c-e0bf-4100-9b63-c6167630c854,63119,044
8a4d57f0-37b4-4de3-b342-ea3217c195a6,62524,020
72e21d84-c3cb-401a-8beb-4532f39f0688,61950,039
c7fce041-6004-4299-b7d5-8947b4cb54cb,58205,032
937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64,57893,018
f62d0a34-6c00-4699-b800-c51adc63376b,57789,NOT_MAPPED
dffdd7f7-4fad-4c26-b499-70586d6d0d09,56505,004
45790f16-2b97-414d-b9e7-cb942ef830c3,54421,035
360f2200-3070-4959-8581-487fcd7befb9,50566,036
8f544bd0-3f15-4222-9fae-48cbf5237cd6,47597,023
3826f2e3-e373-434d-9dc2-05e6f2c73ae4,46369,082
cc373e47-1b4b-4e15-a7e7-7882510d4949,46100,003
230c55a2-f8a2-4e71-9df8-722abfa6f906,45804,021
305217c2-52e2-4864-af74-dfa4b7334f89,44246,028
ed3860d6-8c63-4db3-a74f-263067f0a88f,43410,029
bbba8ec0-3c8c-48e1-9128-8d079abc21aa,42324,NOT_MAPPED
c02ea95d-0ca1-4e80-9d6e-d5df5de07991,39617,NOT_MAPPED
3da896f5-a563-44f7-b546-35ed578491af,36682,005
cc310b2b-5603-4c33-9c13-e5bde80a71d7,35976,NOT_MAPPED
fdce7e53-e549-45b0-a477-8c300329c656,35330,045
c11000fb-a64c-4122-a73a-f929697c66cb,34780,015
1abb2d18-29ea-492a-808b-b01e865ebaa5,34249,007
25072c2a-5b82-4dfc-a8f5-154266b3328b,30628,055
877c14a8-9ab8-48d4-8fe3-ad3df98c3750,30439,001
69ac287b-07c5-434c-ab0f-be657e970722,30196,NOT_MAPPED
6417d786-cd43-47c2-9379-ff1cf358cd2c,26246,012
62ff0abd-a9a5-4174-84fa-9825f83079dc,25903,023
b79ed5ec-35c2-4d3b-9017-d312a390cd44,24915,035
70e227e6-1b1e-4455-ba75-b0c0cf0789a3,24357,045
b8230289-312f-4583-9e72-b7078e493e71,23381,NOT_MAPPED
b9efc1b2-cc84-4b53-90f4-88ff9ed9068e,22876,075
0bee8c4e-dfed-40a1-8955-5784a5a4d1aa,22496,015
5bfa065e-3922-4e33-ae12-890a438ef2e3,22097,032
3b301a33-0640-4ca1-b5da-f92ce279a860,21824,012
