sample_index,_id,timestamp,local_datetime,device_id,sample_context,battery_level,battery_scale,battery_health,battery_status,battery_adaptor,battery_voltage,battery_technology,battery_temperature
1,1007,1752132164226,2025-07-10 10:22:44+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,83,100,2,3,0,4044,Li-ion,35
2,1008,1752132979119,2025-07-10 10:36:19+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,81,100,2,3,0,3913,Li-ion,31
3,1009,1752132989274,2025-07-10 10:36:29+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,81,100,2,-3,0,3913,Li-ion,31
4,1010,1752133009247,2025-07-10 10:36:49+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,81,100,2,3,0,3889,Li-ion,33
5,1011,1752133039498,2025-07-10 10:37:19+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,80,100,2,3,0,3884,Li-ion,34
6,1012,1752133099741,2025-07-10 10:38:19+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,79,100,2,3,0,3935,Li-ion,35
7,1013,1752156095512,2025-07-10 17:01:35+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,85,100,2,3,0,4035,Li-ion,35
8,1014,1752156125100,2025-07-10 17:02:05+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,85,100,2,2,1,4063,Li-ion,35
9,1015,1752156167734,2025-07-10 17:02:47+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,86,100,2,2,1,4280,Li-ion,37
10,1016,1752156259377,2025-07-10 17:04:19+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,87,100,2,2,1,4243,Li-ion,37
11,1017,1752156340882,2025-07-10 17:05:40+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,88,100,2,2,1,4356,Li-ion,37
12,1018,1752156391857,2025-07-10 17:06:31+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,89,100,2,2,1,4353,Li-ion,37
13,1019,1752156442811,2025-07-10 17:07:22+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,90,100,2,2,1,4349,Li-ion,37
14,1020,1752156514247,2025-07-10 17:08:34+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,91,100,2,2,1,4352,Li-ion,37
15,1021,1752156575468,2025-07-10 17:09:35+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,92,100,2,2,1,4354,Li-ion,37
16,1022,1752156646857,2025-07-10 17:10:46+0300,fdce7e53-e549-45b0-a477-8c300329c656,general_raw_sanity_sample_not_clinically_anchored,93,100,2,2,1,4352,Li-ion,37
