raw_pool_index,_id,timestamp,local_datetime,device_id,label,bt_name,bt_rssi,bt_address,distinct_observation_index,dedup_key
1,327,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62,1,timestamp+device_id+bt_address+bt_rssi
25,328,1741076773139,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-61,46:72:FB:B5:B2:63,2,timestamp+device_id+bt_address+bt_rssi
49,329,1741076773475,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-83,1F:99:85:6B:BA:2F,3,timestamp+device_id+bt_address+bt_rssi
73,330,1741076773872,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-90,44:53:09:46:93:64,4,timestamp+device_id+bt_address+bt_rssi
97,331,1741076776983,2025-03-04 10:26:16+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-82,5D:82:D7:8E:C7:C0,5,timestamp+device_id+bt_address+bt_rssi
121,332,1741076778152,2025-03-04 10:26:18+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,Y13,-71,41:42:7E:EA:6B:89,6,timestamp+device_id+bt_address+bt_rssi
145,333,1741076778541,2025-03-04 10:26:18+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-85,0B:27:AE:17:12:30,7,timestamp+device_id+bt_address+bt_rssi
169,334,1741076879964,2025-03-04 10:27:59+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,,-60,46:72:FB:B5:B2:63,8,timestamp+device_id+bt_address+bt_rssi
193,335,1741076880750,2025-03-04 10:28:00+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,,-85,31:73:5A:F7:82:4B,9,timestamp+device_id+bt_address+bt_rssi
217,336,1741076881534,2025-03-04 10:28:01+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,,-74,7F:72:B9:A1:92:62,10,timestamp+device_id+bt_address+bt_rssi
241,337,1741076881921,2025-03-04 10:28:01+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,,-79,0B:27:AE:17:12:30,11,timestamp+device_id+bt_address+bt_rssi
265,338,1741076883853,2025-03-04 10:28:03+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,,-92,5D:82:D7:8E:C7:C0,12,timestamp+device_id+bt_address+bt_rssi
289,339,1741076889308,2025-03-04 10:28:09+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076879566,Y13,-75,41:42:7E:EA:6B:89,13,timestamp+device_id+bt_address+bt_rssi
313,340,1741077053620,2025-03-04 10:30:53+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,,-87,C6:D8:D1:24:69:A7,14,timestamp+device_id+bt_address+bt_rssi
337,341,1741077053676,2025-03-04 10:30:53+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,,-76,54:E5:9E:B0:4E:05,15,timestamp+device_id+bt_address+bt_rssi
361,342,1741077055177,2025-03-04 10:30:55+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,,-59,46:72:FB:B5:B2:63,16,timestamp+device_id+bt_address+bt_rssi
385,343,1741077055229,2025-03-04 10:30:55+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,Mi Smart Band 5,-86,CC:62:82:90:17:BF,17,timestamp+device_id+bt_address+bt_rssi
409,344,1741077055558,2025-03-04 10:30:55+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,,-71,7F:72:B9:A1:92:62,18,timestamp+device_id+bt_address+bt_rssi
433,345,1741077055951,2025-03-04 10:30:55+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,,-86,5D:82:D7:8E:C7:C0,19,timestamp+device_id+bt_address+bt_rssi
457,346,1741077057507,2025-03-04 10:30:57+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741077053242,Y13,-82,41:42:7E:EA:6B:89,20,timestamp+device_id+bt_address+bt_rssi
