sample_index,_id,timestamp,local_datetime,device_id,label,bt_name,bt_rssi,bt_address
1,582827,1752590148707,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-89,48:2B:29:86:34:02
2,582828,1752590148758,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-84,0D:6A:DE:BD:2E:79
3,582829,1752590148829,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-91,56:F8:1B:26:AB:5A
4,582830,1752590148845,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-92,42:83:94:7B:3A:9F
5,582831,1752590148874,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-87,31:F3:32:D4:0B:75
6,582832,1752590148893,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-99,48:9C:F8:18:9B:06
7,582833,1752590148918,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-90,46:85:1B:B2:06:4F
8,582834,1752590148955,2025-07-15 17:35:48+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-91,3A:22:E2:D5:CA:73
9,582835,1752590150214,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-80,03:CB:FF:49:F1:ED
10,582836,1752590150265,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-92,6B:7F:53:51:57:C1
11,582837,1752590150284,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-93,5E:47:33:12:FC:E6
12,582838,1752590150304,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-95,64:6A:80:A2:FF:5E
13,582839,1752590150356,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-83,2E:5E:73:0A:81:A5
14,582840,1752590150474,2025-07-15 17:35:50+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-97,40:DF:BB:FE:AD:EB
15,582841,1752590151492,2025-07-15 17:35:51+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,CAR-KIT,-82,CD:45:68:6F:9A:8B
16,582842,1752590153098,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-90,7A:AD:E9:CF:DE:0E
17,582843,1752590153124,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,Amazfit Band 5,-66,EB:E3:05:7B:6D:F4
18,582844,1752590153142,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,BYD BLE3,-95,E4:BA:5D:D3:15:8B
19,582845,1752590153158,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-99,6A:B7:B4:BE:47:77
20,582846,1752590153171,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-82,00:51:76:A0:18:C5
21,582847,1752590153736,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-92,15:E1:10:BC:79:1C
22,582848,1752590153997,2025-07-15 17:35:53+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-94,59:69:7F:70:C2:D7
23,582849,1752590155360,2025-07-15 17:35:55+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-89,62:16:AA:44:EF:4C
24,582850,1752590155398,2025-07-15 17:35:55+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-91,7A:6C:1C:3C:DC:8C
25,582851,1752590155459,2025-07-15 17:35:55+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-103,6C:69:13:5C:F8:C5
26,582852,1752590155527,2025-07-15 17:35:55+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-88,68:D2:33:00:8C:F0
27,582853,1752590157134,2025-07-15 17:35:57+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-98,5B:6E:71:CD:C2:EC
28,582854,1752590158569,2025-07-15 17:35:58+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-84,7E:D2:FF:C0:C2:20
29,582855,1752590158589,2025-07-15 17:35:58+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-89,7E:35:E5:FB:F2:73
30,582856,1752590158665,2025-07-15 17:35:58+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590148549,,-92,4F:6C:57:13:22:7E
31,582857,1752590186096,2025-07-15 17:36:26+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590186021,,-98,2E:5E:73:0A:81:A5
32,582858,1752590186117,2025-07-15 17:36:26+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590186021,,-78,03:CB:FF:49:F1:ED
33,582859,1752590186149,2025-07-15 17:36:26+0300,1abb2d18-29ea-492a-808b-b01e865ebaa5,1752590186021,,-92,3B:83:49:DD:06:C2
