device_id,n_rows,Subject_ID_D
c7fce041-6004-4299-b7d5-8947b4cb54cb,50009,032
937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64,37921,018
305217c2-52e2-4864-af74-dfa4b7334f89,34654,028
fdce7e53-e549-45b0-a477-8c300329c656,30943,045
dffdd7f7-4fad-4c26-b499-70586d6d0d09,25560,004
45790f16-2b97-414d-b9e7-cb942ef830c3,25365,035
1b799d79-1303-44c4-97a7-ad56a19add13,24787,026
b06fd13f-c1f7-47f4-811d-d29f52818e35,24216,061
e2569598-0fd8-4d72-a20e-378428f477a0,23449,044
62ff0abd-a9a5-4174-84fa-9825f83079dc,22478,023
8b477eaf-009e-476d-b7c9-d8ac27800d9a,22317,068
70e227e6-1b1e-4455-ba75-b0c0cf0789a3,21358,045
bbba8ec0-3c8c-48e1-9128-8d079abc21aa,20961,NOT_MAPPED
7f550bdd-1e0f-4a62-b6aa-b619967e221d,20783,091
877c14a8-9ab8-48d4-8fe3-ad3df98c3750,19772,001
8f544bd0-3f15-4222-9fae-48cbf5237cd6,19743,023
ee015026-b5e6-4b16-b1ba-eca95bedb94c,17280,081
72e21d84-c3cb-401a-8beb-4532f39f0688,17126,039
a5d47655-23f4-40cd-bcb9-fc8e1a0a823a,16785,057
c33dd240-956e-4ab5-a321-1deb5186038f,16748,014
7dbb6700-04f4-4492-a0fe-23253c23ff39,16565,093
6faf770c-e0bf-4100-9b63-c6167630c854,16074,044
7ad2f17f-8c64-4a0e-9fb5-ddf1db3eec34,15212,014
6b52c7ac-43ac-4ce8-9c40-8b3479519f82,13538,069
b79ed5ec-35c2-4d3b-9017-d312a390cd44,13500,035
b9efc1b2-cc84-4b53-90f4-88ff9ed9068e,13285,075
0bb4dfdb-1a7a-471c-bde4-1688a9a6b3e3,13060,051
360f2200-3070-4959-8581-487fcd7befb9,12705,036
ed3860d6-8c63-4db3-a74f-263067f0a88f,12674,029
1f17227b-a259-4caa-bf40-4eccf742447e,11989,002
86994e75-0c10-40f6-9c55-1cfc9d05856e,11680,044
25072c2a-5b82-4dfc-a8f5-154266b3328b,11453,055
210ce4c5-219c-4d74-8e34-35d8e190ff8e,11313,064
e361ed72-5d8b-48b9-b2eb-c5eeb03da274,10562,089
230c55a2-f8a2-4e71-9df8-722abfa6f906,10141,021
a509253e-6fa3-4f0c-8ed4-3fd4c88a9ee8,10090,040
c9cc92f6-be86-4916-b1f6-d940e6d6d6ac,9918,060
87beff6c-301b-44de-9347-19a13b4178bc,9780,022
b8230289-312f-4583-9e72-b7078e493e71,9499,NOT_MAPPED
c11000fb-a64c-4122-a73a-f929697c66cb,8997,015
86db0ce4-51a9-4151-8fa9-dd7486f467be,8927,087
f62d0a34-6c00-4699-b800-c51adc63376b,8551,NOT_MAPPED
c02ea95d-0ca1-4e80-9d6e-d5df5de07991,8235,NOT_MAPPED
35b5221b-88c2-463e-a891-40f38f79768d,8057,072
3da896f5-a563-44f7-b546-35ed578491af,7983,005
5bfa065e-3922-4e33-ae12-890a438ef2e3,7851,032
b89546ef-9f57-4fd0-ad48-638a4a783d19,7511,085
71a5a99f-71a0-41a7-8893-3a100b37adc3,7468,057
6417d786-cd43-47c2-9379-ff1cf358cd2c,7145,012
f4be3bd3-21f6-4b83-9728-ad22dd496a0a,7054,006
