sample_index,_id,timestamp,local_datetime,device_id,sample_context,cid,lac,psc,bit_error_rate,signal_strength
1,1761,1736377132680,2025-01-09 00:58:52+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
2,1765,1736384050276,2025-01-09 02:54:10+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
3,1772,1736394396942,2025-01-09 05:46:36+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
4,1775,1736396282495,2025-01-09 06:18:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
5,1780,1736398081620,2025-01-09 06:48:01+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
6,1781,1736398833710,2025-01-09 07:00:33+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120001,15311,0,2147483647,2147483647
7,1782,1736398900185,2025-01-09 07:01:40+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120001,15311,0,2147483647,2147483647
8,1796,1736399882012,2025-01-09 07:18:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120001,15311,0,2147483647,2147483647
9,1797,1736401682245,2025-01-09 07:48:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120001,15311,0,2147483647,2147483647
10,1798,1736402084700,2025-01-09 07:54:44+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527042,15311,0,2147483647,2147483647
11,1799,1736402086877,2025-01-09 07:54:46+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527050,15311,0,2147483647,2147483647
12,1800,1736402105776,2025-01-09 07:55:05+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527042,15311,0,2147483647,2147483647
13,1801,1736402105959,2025-01-09 07:55:05+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527042,15311,0,2147483647,2147483647
14,1802,1736402106216,2025-01-09 07:55:06+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120002,15311,0,2147483647,2147483647
15,1804,1736402896466,2025-01-09 08:08:16+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120002,15311,0,2147483647,2147483647
16,1805,1736403198174,2025-01-09 08:13:18+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120002,15311,0,2147483647,2147483647
17,1806,1736403198284,2025-01-09 08:13:18+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527042,15311,0,2147483647,2147483647
18,1807,1736403199151,2025-01-09 08:13:19+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13527042,15311,0,2147483647,2147483647
19,1808,1736403199273,2025-01-09 08:13:19+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120002,15311,0,2147483647,2147483647
20,1809,1736403204863,2025-01-09 08:13:24+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,13120002,15311,0,2147483647,2147483647
