sample_index,_id,timestamp,local_datetime,device_id,sample_context,cid,lac,psc,signal_strength
1,163851,1738060024903,2025-01-28 12:27:04+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
2,183344,1738060024903,2025-01-28 12:27:04+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
3,203017,1738060024903,2025-01-28 12:27:04+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
4,163852,1738060100689,2025-01-28 12:28:20+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,1034295,10153,245,96
5,183345,1738060100689,2025-01-28 12:28:20+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,1034295,10153,245,96
6,203018,1738060100689,2025-01-28 12:28:20+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,1034295,10153,245,96
7,163853,1738060490709,2025-01-28 12:34:50+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
8,183346,1738060490709,2025-01-28 12:34:50+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
9,203019,1738060490709,2025-01-28 12:34:50+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
10,163854,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
11,163855,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
12,163856,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
13,163857,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,-1,0
14,183347,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
15,183348,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
16,183349,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
17,183350,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,-1,0
18,203020,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,3835955,7101,184,96
19,203021,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
20,203022,1738062340851,2025-01-28 13:05:40+0200,d7e2b2ca-098b-4c70-ae74-ef074e95af83,phase2a_t1_ranked_24h_t1_week_review_sample,-1,-1,184,96
