device_id,n_rows,Subject_ID_D
937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64,448238,018
72e21d84-c3cb-401a-8beb-4532f39f0688,210170,039
8551b6d6-e487-47f8-a69a-fa2cfb34230b,200726,020
c9cc92f6-be86-4916-b1f6-d940e6d6d6ac,138222,060
c11000fb-a64c-4122-a73a-f929697c66cb,106762,015
1abb2d18-29ea-492a-808b-b01e865ebaa5,100293,007
bbba8ec0-3c8c-48e1-9128-8d079abc21aa,92420,NOT_MAPPED
1b799d79-1303-44c4-97a7-ad56a19add13,90769,026
cc373e47-1b4b-4e15-a7e7-7882510d4949,84150,003
c02ea95d-0ca1-4e80-9d6e-d5df5de07991,82666,NOT_MAPPED
ed3860d6-8c63-4db3-a74f-263067f0a88f,81883,029
45790f16-2b97-414d-b9e7-cb942ef830c3,80963,035
dffdd7f7-4fad-4c26-b499-70586d6d0d09,79156,004
cc310b2b-5603-4c33-9c13-e5bde80a71d7,76374,NOT_MAPPED
2b92bd8b-f27e-4ce7-9b0f-85745f8897b0,67450,018
e2cbb029-ed91-4120-ad5d-4bda56bdcb33,61279,083
305217c2-52e2-4864-af74-dfa4b7334f89,58506,028
c7fce041-6004-4299-b7d5-8947b4cb54cb,55100,032
4a85b9dc-2d18-42b2-b98d-f228dd3b3085,49654,048
f62d0a34-6c00-4699-b800-c51adc63376b,47423,NOT_MAPPED
4e225d42-68d9-4721-aab4-cf8355c071c9,46055,p001
210ce4c5-219c-4d74-8e34-35d8e190ff8e,46020,064
62ff0abd-a9a5-4174-84fa-9825f83079dc,44544,023
230c55a2-f8a2-4e71-9df8-722abfa6f906,37367,021
5bfa065e-3922-4e33-ae12-890a438ef2e3,36320,032
dda728dc-feee-4444-8237-70f41c97d1c6,36051,078
ca1d9d28-454f-4e58-aba1-61a3c93f5cb5,35664,029
1f17227b-a259-4caa-bf40-4eccf742447e,33299,002
d3933de9-24b5-4b1d-910e-a4b479b1931a,32920,062
b8230289-312f-4583-9e72-b7078e493e71,32172,NOT_MAPPED
69ac287b-07c5-434c-ab0f-be657e970722,31549,NOT_MAPPED
fdce7e53-e549-45b0-a477-8c300329c656,30942,045
5de41172-2692-4407-b096-72f06e4c22a7,28229,NOT_MAPPED
