_id,timestamp,device_id,data,sample_index,local_datetime
1287389,1736373600109.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373600109, ""double_light_lux"": 0}",1,2025-01-09 00:00:00+0200
1287390,1736373600409.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373600409, ""double_light_lux"": 0}",2,2025-01-09 00:00:00+0200
1287391,1736373600702.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373600702, ""double_light_lux"": 0}",3,2025-01-09 00:00:00+0200
1287392,1736373600989.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373600989, ""double_light_lux"": 0}",4,2025-01-09 00:00:00+0200
1287393,1736373601289.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373601289, ""double_light_lux"": 0}",5,2025-01-09 00:00:01+0200
1287394,1736373601584.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373601584, ""double_light_lux"": 0}",6,2025-01-09 00:00:01+0200
1287395,1736373601883.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373601883, ""double_light_lux"": 0}",7,2025-01-09 00:00:01+0200
1287396,1736373602169.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373602169, ""double_light_lux"": 0}",8,2025-01-09 00:00:02+0200
1287397,1736373602462.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373602462, ""double_light_lux"": 0}",9,2025-01-09 00:00:02+0200
1287398,1736373602749.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373602749, ""double_light_lux"": 0}",10,2025-01-09 00:00:02+0200
1287399,1736373603041.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373603041, ""double_light_lux"": 0}",11,2025-01-09 00:00:03+0200
1287400,1736373603329.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373603329, ""double_light_lux"": 0}",12,2025-01-09 00:00:03+0200
1287401,1736373603629.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""label"": """", ""accuracy"": ""3"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736373603629, ""double_light_lux"": 0}",13,2025-01-09 00:00:03+0200
