device_id,n_rows,Subject_ID_D
bbba8ec0-3c8c-48e1-9128-8d079abc21aa,45280,NOT_MAPPED
62ff0abd-a9a5-4174-84fa-9825f83079dc,33701,023
b89546ef-9f57-4fd0-ad48-638a4a783d19,30710,085
fdce7e53-e549-45b0-a477-8c300329c656,29849,045
4a85b9dc-2d18-42b2-b98d-f228dd3b3085,21535,048
d3933de9-24b5-4b1d-910e-a4b479b1931a,18715,062
45790f16-2b97-414d-b9e7-cb942ef830c3,17324,035
d9413e58-1910-4485-9dd4-43f188b3f155,17051,089
ba371144-2edb-4839-9fd5-1d0466e41510,15488,085
df5229e7-99c0-420f-aa89-fc90c888f194,15250,038
c33dd240-956e-4ab5-a321-1deb5186038f,9508,014
33fab45f-5d44-4384-998a-d3e77228849f,8693,037
f62d0a34-6c00-4699-b800-c51adc63376b,7192,NOT_MAPPED
5bfa065e-3922-4e33-ae12-890a438ef2e3,6763,032
f93829cd-a27a-4fa8-a698-0b567c733252,6465,073
7ad2f17f-8c64-4a0e-9fb5-ddf1db3eec34,6218,014
937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64,6014,018
064fd2b6-f0ed-4a58-bb0e-b9d82367e72c,4452,060
4e11d6b1-417c-413e-809b-b7646557cbd0,4362,046
ea530d49-d351-4456-8892-510264486b17,4283,024
c02ea95d-0ca1-4e80-9d6e-d5df5de07991,4174,NOT_MAPPED
80aa7075-c1e6-494d-980c-141c09cf13d3,4039,095
8ba0268b-1951-49e3-8fea-692d77fdd7bc,3852,NOT_MAPPED
ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,2921,006
35b5221b-88c2-463e-a891-40f38f79768d,2130,072
dda728dc-feee-4444-8237-70f41c97d1c6,2106,078
4e225d42-68d9-4721-aab4-cf8355c071c9,2066,p001
c11000fb-a64c-4122-a73a-f929697c66cb,2032,015
a19eb3b2-6e8c-455f-a551-7231f62080da,1762,NOT_MAPPED
204448d3-4767-44ba-b7f6-3d2c1cb48247,1707,049
b06fd13f-c1f7-47f4-811d-d29f52818e35,1465,061
71a5a99f-71a0-41a7-8893-3a100b37adc3,1420,057
1f17227b-a259-4caa-bf40-4eccf742447e,1137,002
87beff6c-301b-44de-9347-19a13b4178bc,1029,022
a9563005-6158-48e7-bb5b-298d03aa42a0,1015,031
4084251f-4b8f-404e-bacb-7cb73892dc53,1004,021
b8632b38-8389-4863-8f7a-44e4e0f78b26,858,NOT_MAPPED
05cc9d77-d2b0-4aeb-afae-b084e7098aea,826,052
69ac287b-07c5-434c-ab0f-be657e970722,681,NOT_MAPPED
911357f0-0c89-4fe2-babb-75000476002f,680,015
cc310b2b-5603-4c33-9c13-e5bde80a71d7,671,NOT_MAPPED
536902cf-31b5-4ac7-ac7a-f50783d635c9,606,066
8551b6d6-e487-47f8-a69a-fa2cfb34230b,593,020
3b301a33-0640-4ca1-b5da-f92ce279a860,541,012
ca1d9d28-454f-4e58-aba1-61a3c93f5cb5,446,029
b9efc1b2-cc84-4b53-90f4-88ff9ed9068e,431,075
1abb2d18-29ea-492a-808b-b01e865ebaa5,364,007
49f7d20c-3314-4821-96e1-cb7b35970dc9,231,NOT_MAPPED
6faf770c-e0bf-4100-9b63-c6167630c854,202,044
bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b,158,041
7bb3b27a-40b3-4b3d-957c-f266a3ca0906,143,p003
4c6c7d6e-921b-4288-9f06-67cc96a37d1f,129,031
0d83bc9c-1884-4a60-8883-2e7a6a887a9f,123,p002
ca067fc5-febc-4f06-a504-5688ff17b5a0,105,NOT_MAPPED
f8d3d913-d10d-45b9-b7e4-8f4fd61b146c,97,NOT_MAPPED
dba6b322-c24d-4f1e-a6f3-f9556c60535f,82,039
9aa9b24a-4980-475a-91a1-fc141647d394,50,039
5278bdbc-c56d-43c8-b543-ad75bab7aca8,30,052
8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,24,010
64a130a6-6b77-4bd1-9bc1-3822f765f538,19,070
13594c10-ce08-4b81-8b17-e941b69ac95e,17,NOT_MAPPED
07a4783eddec27ab,16,realme RMX2063
3b3f73c4-f675-40fa-ba96-268da25d4534,5,086
dbe9b835-d172-49ab-a554-c65a0bfadf77,4,076
444ce4c5-7ef7-4be0-a6f6-58e98a35ca12,3,077
