_id,timestamp,device_id,data,sample_index,local_datetime
2,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",1,2025-03-04 10:26:12+0200
473,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",2,2025-03-04 10:26:12+0200
917,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",3,2025-03-04 10:26:12+0200
1346,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",4,2025-03-04 10:26:12+0200
1844,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",5,2025-03-04 10:26:12+0200
2308,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",6,2025-03-04 10:26:12+0200
2737,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",7,2025-03-04 10:26:12+0200
3166,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",8,2025-03-04 10:26:12+0200
3595,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",9,2025-03-04 10:26:12+0200
4024,1741076772219.0,b89546ef-9f57-4fd0-ad48-638a4a783d19,"{""label"": """", ""accuracy"": ""10.293"", ""provider"": ""network"", ""device_id"": ""b89546ef-9f57-4fd0-ad48-638a4a783d19"", ""timestamp"": 1741076772219, ""double_speed"": 0, ""double_bearing"": 0, ""double_altitude"": 332.1000061035156, ""double_latitude"": 31.3639209, ""double_longitude"": 34.8161057}",10,2025-03-04 10:26:12+0200
