sample_index,_id,timestamp,local_datetime,device_id,sample_context,label,accuracy,provider,double_speed,double_bearing,double_altitude,double_latitude,double_longitude
1,2,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
2,3,1741076773186,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.212,network,0,0,332.1000061035156,31.3639256,34.8161075
3,4,1741077158284,2025-03-04 10:32:38+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.212,network,0,0,332.1000061035156,31.3639256,34.8161075
4,5,1741077159090,2025-03-04 10:32:39+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.448,network,0,0,332.20001220703125,31.3639077,34.8160906
5,6,1741077518221,2025-03-04 10:38:38+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.448,network,0,0,332.20001220703125,31.3639077,34.8160906
6,7,1741077519177,2025-03-04 10:38:39+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.473,network,0,0,332.1000061035156,31.3639277,34.8161187
7,8,1741077711152,2025-03-04 10:41:51+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,250,gps,0,0,116.71315628253224,31.362445589514987,34.81555076486313
8,9,1741077711238,2025-03-04 10:41:51+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.473,network,0,0,332.1000061035156,31.3639277,34.8161187
9,10,1741077712174,2025-03-04 10:41:52+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.359,network,0,0,332.20001220703125,31.3639187,34.816111
10,27,1741077933380,2025-03-04 10:45:33+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,128,gps,0,0,342.08816080677013,31.363918541254147,34.81582373190688
11,28,1741077933451,2025-03-04 10:45:33+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.359,network,0,0,332.20001220703125,31.3639187,34.816111
12,29,1741077934397,2025-03-04 10:45:34+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.477,network,0,0,332.20001220703125,31.3639229,34.8160991
13,30,1741078188380,2025-03-04 10:49:48+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.477,network,0,0,332.20001220703125,31.3639229,34.8160991
14,31,1741078189339,2025-03-04 10:49:49+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,9.986,network,0,0,332.20001220703125,31.3639166,34.8161125
15,32,1741078478299,2025-03-04 10:54:38+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,9.986,network,0,0,332.20001220703125,31.3639166,34.8161125
16,33,1741078479278,2025-03-04 10:54:39+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.446,network,0,0,332.20001220703125,31.3639141,34.816094
17,34,1741078838278,2025-03-04 11:00:38+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,11.446,network,0,0,332.20001220703125,31.3639141,34.816094
18,35,1741078839221,2025-03-04 11:00:39+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.355,network,0,0,332.20001220703125,31.363918,34.8160996
19,36,1741079159363,2025-03-04 11:05:59+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,128,gps,0,0,229.81399267198472,31.363518473444035,34.8158339349839
20,37,1741079160296,2025-03-04 11:06:00+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_distinct_observation_review_sample,,10.737,network,0,0,332.20001220703125,31.3639228,34.8161033
