sample_index,_id,timestamp,local_datetime,device_id,sample_context,label,accuracy,provider,double_speed,double_bearing,double_altitude,double_latitude,double_longitude
1,2,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
2,473,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
3,917,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
4,1346,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
5,1844,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
6,2308,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
7,2737,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
8,3166,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
9,3595,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
10,4024,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
11,4453,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
12,4882,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
13,5383,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
14,5640,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
15,6193,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
16,6746,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
17,7299,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
18,7852,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
19,8405,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
20,8958,1741076772219,2025-03-04 10:26:12+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,phase2a_t1_ranked_24h_t1_week_review_sample,,10.293,network,0,0,332.1000061035156,31.3639209,34.8161057
