device_id,n_rows,Subject_ID_D
1b799d79-1303-44c4-97a7-ad56a19add13,2235,026
b06fd13f-c1f7-47f4-811d-d29f52818e35,1868,061
dffdd7f7-4fad-4c26-b499-70586d6d0d09,1319,004
72e21d84-c3cb-401a-8beb-4532f39f0688,1226,039
c33dd240-956e-4ab5-a321-1deb5186038f,1215,014
a64054ee-fd2c-4597-95c2-8a3c520f1d32,1180,080
305217c2-52e2-4864-af74-dfa4b7334f89,1071,028
230c55a2-f8a2-4e71-9df8-722abfa6f906,1070,021
8f544bd0-3f15-4222-9fae-48cbf5237cd6,952,023
360f2200-3070-4959-8581-487fcd7befb9,948,036
7f550bdd-1e0f-4a62-b6aa-b619967e221d,760,091
5ffd6309-7ec3-408e-85dc-3d31c7d665d7,742,058
15473e07-1dee-4682-8129-68f4c5d38cfe,736,061
b9efc1b2-cc84-4b53-90f4-88ff9ed9068e,700,075
e361ed72-5d8b-48b9-b2eb-c5eeb03da274,679,089
6417d786-cd43-47c2-9379-ff1cf358cd2c,661,012
91ca65aa-efbb-4d7a-a8ad-b4ae1df3682c,590,078
ed3860d6-8c63-4db3-a74f-263067f0a88f,578,029
7dbb6700-04f4-4492-a0fe-23253c23ff39,566,093
8a4d57f0-37b4-4de3-b342-ea3217c195a6,559,020
8551b6d6-e487-47f8-a69a-fa2cfb34230b,519,020
210ce4c5-219c-4d74-8e34-35d8e190ff8e,518,064
c84399c2-6bc9-44ad-9b46-81ba47b5c14b,515,002
877c14a8-9ab8-48d4-8fe3-ad3df98c3750,506,001
70e227e6-1b1e-4455-ba75-b0c0cf0789a3,504,045
2b92bd8b-f27e-4ce7-9b0f-85745f8897b0,498,018
b8230289-312f-4583-9e72-b7078e493e71,493,NOT_MAPPED
7ad2f17f-8c64-4a0e-9fb5-ddf1db3eec34,493,014
cc373e47-1b4b-4e15-a7e7-7882510d4949,481,003
e2cbb029-ed91-4120-ad5d-4bda56bdcb33,479,083
c9cc92f6-be86-4916-b1f6-d940e6d6d6ac,477,060
a509253e-6fa3-4f0c-8ed4-3fd4c88a9ee8,460,040
d7e2b2ca-098b-4c70-ae74-ef074e95af83,458,076
8b477eaf-009e-476d-b7c9-d8ac27800d9a,447,068
25072c2a-5b82-4dfc-a8f5-154266b3328b,446,055
7f0e6ddf-c0aa-44f4-ba8c-ab9cfbf3da68,432,019
b86bda1a-3f22-4644-b470-ba599a20de89,417,037
d9413e58-1910-4485-9dd4-43f188b3f155,405,089
3da896f5-a563-44f7-b546-35ed578491af,400,005
9ca889b9-737b-431b-ac18-12a8f56d3af3,384,042
ca84570a-e1e9-4afd-9b2e-97169f4fb7f4,372,067
333d33c5-8033-4cc0-9425-e0fad00f3613,370,012
b89546ef-9f57-4fd0-ad48-638a4a783d19,355,085
b79ed5ec-35c2-4d3b-9017-d312a390cd44,341,035
aee8c46c-ca38-4d68-8c6c-18340cb53649,340,015
ee015026-b5e6-4b16-b1ba-eca95bedb94c,323,081
f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,290,024
0948b131-dcfe-4482-a223-d9e4561ce019,281,022
4084251f-4b8f-404e-bacb-7cb73892dc53,269,021
358c4427-b62c-4a51-8a8f-748e7cc05ced,265,062
f4be3bd3-21f6-4b83-9728-ad22dd496a0a,264,006
95a0d327-70b6-43eb-b34e-885c91d75380,261,010
fdce7e53-e549-45b0-a477-8c300329c656,261,045
e2c73e09-d5c7-40b4-a8ea-eb3ac246fce4,255,084
ea530d49-d351-4456-8892-510264486b17,255,024
1abb2d18-29ea-492a-808b-b01e865ebaa5,249,007
a5d47655-23f4-40cd-bcb9-fc8e1a0a823a,244,057
3826f2e3-e373-434d-9dc2-05e6f2c73ae4,243,082
d74f7acf-f82f-491d-90b9-d7321e6d4bcf,238,041
93fac996-2c64-403a-a7d6-02932cb988ba,235,011
cc310b2b-5603-4c33-9c13-e5bde80a71d7,232,NOT_MAPPED
0bb4dfdb-1a7a-471c-bde4-1688a9a6b3e3,218,051
23d13a76-7c5a-4ac4-a7eb-5de4025645e7,217,013
4870fb6a-a6a6-458d-aba8-56ed070c200e,214,074
6b52c7ac-43ac-4ce8-9c40-8b3479519f82,191,069
edb42356-1b11-4ba0-a74d-2edd1df30d16,182,053
9fba07c0-12f9-4300-a9d2-b204be6da705,176,031
1d4afe7c-015b-4dc7-b690-a0cfb138024f,173,079
c3b613d0-daa4-4d16-b116-1dcf30024a39,171,077
c7fce041-6004-4299-b7d5-8947b4cb54cb,168,032
0ec2a84f-e2e1-4744-98ae-5c4b34fe876f,159,072
86db0ce4-51a9-4151-8fa9-dd7486f467be,158,087
35b5221b-88c2-463e-a891-40f38f79768d,155,072
86994e75-0c10-40f6-9c55-1cfc9d05856e,154,044
45790f16-2b97-414d-b9e7-cb942ef830c3,153,035
df5229e7-99c0-420f-aa89-fc90c888f194,151,038
3d5fb677-247b-4290-8fde-63e8c9bc3d2e,150,049
c219c7c9-afca-41d7-8693-332ea5222d08,140,043
7c226a0a-f3a4-4f01-9d49-fda590305078,123,071
e543fafa-f97a-414d-8fb4-91a2f135e48d,123,022
64e8691a-103c-4d2b-bb54-dfd977d1fa6a,111,038
5bfa065e-3922-4e33-ae12-890a438ef2e3,110,032
a3971f73-22b8-4ede-af92-3a0c1f9b537f,108,NOT_MAPPED
71a5a99f-71a0-41a7-8893-3a100b37adc3,103,057
536902cf-31b5-4ac7-ac7a-f50783d635c9,96,066
b266b238-3e48-4914-b45d-a3913c84d3dc,93,073
64a130a6-6b77-4bd1-9bc1-3822f765f538,90,070
22f3ff7b-8376-44ed-b215-1e7324cd0354,87,050
3b85c91a-849e-45ec-9dcd-313c8c6e931b,83,096
ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,82,006
b8632b38-8389-4863-8f7a-44e4e0f78b26,81,NOT_MAPPED
bbba8ec0-3c8c-48e1-9128-8d079abc21aa,79,NOT_MAPPED
064fd2b6-f0ed-4a58-bb0e-b9d82367e72c,78,060
7905f32b-1a85-4a2a-a742-220485f6d29c,71,028
d209c58f-f8da-40af-8688-27f5acb3fca3,66,046
778441d9-a8ef-49f0-bee6-35bf069a741e,65,034
80aa7075-c1e6-494d-980c-141c09cf13d3,65,095
dba6b322-c24d-4f1e-a6f3-f9556c60535f,56,039
2a809985-edc7-453b-9e2c-0c0cbeccf9a0,55,030
