sample_index,_id,timestamp,local_datetime,device_id,sample_context,trace,message_type
1,1661,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
2,1823,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
3,1951,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
4,2166,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
5,2352,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
6,2582,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
7,2773,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
8,2947,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
9,3098,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
10,3286,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
11,3492,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
12,3693,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
13,3882,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
14,4091,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
15,4270,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
16,4431,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
17,4630,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
18,4840,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
19,5059,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
20,5299,1737629476993,2025-01-23 12:51:16+0200,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,phase2a_t1_ranked_24h_t1_week_review_sample,e321ad373e57ee78d6a16402bdb4c6a832128ec7,1
