device_id,Subject_ID_D,n_rows,first_local,last_local
fdce7e53-e549-45b0-a477-8c300329c656,045,105150,2025-07-10 10:22:25+0300,2025-10-21 08:05:49+0300
1abb2d18-29ea-492a-808b-b01e865ebaa5,007,37535,2025-07-13 12:02:16+0300,2026-01-25 20:43:51+0200
a9563005-6158-48e7-bb5b-298d03aa42a0,031,16989,2025-07-30 11:41:28+0300,2025-10-20 23:36:58+0300
dba6b322-c24d-4f1e-a6f3-f9556c60535f,039,700,2025-07-08 14:01:26+0300,2025-07-25 07:38:04+0300
07a4783eddec27ab,001,52,2025-06-05 15:28:57+0300,2025-06-05 21:14:01+0300
a182f886-53f6-4d1f-a535-ae20e5a2060e,NOT_MAPPED,25,2025-05-23 13:23:15+0300,2025-05-23 14:42:26+0300
40244c82-0b7d-41a1-804d-6f3279efe348,NOT_MAPPED,21,2025-05-23 15:02:14+0300,2025-05-23 15:39:06+0300
93d26d20-4c81-41d8-bea1-3efc67589a25,NOT_MAPPED,14,2025-05-24 22:05:42+0300,2025-05-24 22:10:39+0300
13594c10-ce08-4b81-8b17-e941b69ac95e,NOT_MAPPED,8,2025-05-23 16:03:38+0300,2025-05-25 15:34:51+0300
afed394e-f4e2-4372-89b9-df56506976b3,NOT_MAPPED,5,2025-05-23 12:50:44+0300,2025-05-23 12:52:16+0300
bef06ae4-95f8-4350-9c3b-e0178039913c,NOT_MAPPED,2,2025-05-23 16:11:36+0300,2025-05-23 16:11:36+0300
951bb999-c210-4700-b6bf-2660c8f7ea20,NOT_MAPPED,2,2025-05-23 17:07:09+0300,2025-05-23 17:07:09+0300
99e3dd94-abc5-46cd-ac3f-636c1f72f8e0,NOT_MAPPED,2,2025-05-23 18:32:28+0300,2025-05-23 18:32:28+0300
