device_id,n_rows,Subject_ID_D
fdce7e53-e549-45b0-a477-8c300329c656,105150,045
1abb2d18-29ea-492a-808b-b01e865ebaa5,37535,007
a9563005-6158-48e7-bb5b-298d03aa42a0,16989,031
dba6b322-c24d-4f1e-a6f3-f9556c60535f,700,039
07a4783eddec27ab,52,realme RMX2063
a182f886-53f6-4d1f-a535-ae20e5a2060e,25,NOT_MAPPED
40244c82-0b7d-41a1-804d-6f3279efe348,21,NOT_MAPPED
93d26d20-4c81-41d8-bea1-3efc67589a25,14,NOT_MAPPED
13594c10-ce08-4b81-8b17-e941b69ac95e,8,NOT_MAPPED
afed394e-f4e2-4372-89b9-df56506976b3,5,NOT_MAPPED
bef06ae4-95f8-4350-9c3b-e0178039913c,2,NOT_MAPPED
951bb999-c210-4700-b6bf-2660c8f7ea20,2,NOT_MAPPED
99e3dd94-abc5-46cd-ac3f-636c1f72f8e0,2,NOT_MAPPED
