_id,timestamp,device_id,data,sample_index,local_datetime
5873,1736377138718.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736377138718, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",1,2025-01-09 00:58:58+0200
5882,1736384056628.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736384056628, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",2,2025-01-09 02:54:16+0200
5909,1736394405795.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736394405795, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",3,2025-01-09 05:46:45+0200
5956,1736397097546.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397097546, ""activities"": ""[{\""activity\"":\""unknown\"",\""confidence\"":40},{\""activity\"":\""in_vehicle\"",\""confidence\"":10},{\""activity\"":\""on_bicycle\"",\""confidence\"":10},{\""activity\"":\""on_foot\"",\""confidence\"":10},{\""activity\"":\""walking\"",\""confidence\"":10},{\""activity\"":\""running\"",\""confidence\"":10},{\""activity\"":\""still\"",\""confidence\"":10}]"", ""confidence"": ""40"", ""activity_name"": ""unknown"", ""activity_type"": ""4""}",4,2025-01-09 06:31:37+0200
5957,1736397168345.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397168345, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",5,2025-01-09 06:32:48+0200
5958,1736397235698.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397235698, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",6,2025-01-09 06:33:55+0200
5959,1736397303020.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397303020, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",7,2025-01-09 06:35:03+0200
5960,1736397370313.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397370313, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",8,2025-01-09 06:36:10+0200
5961,1736397437627.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397437627, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",9,2025-01-09 06:37:17+0200
5962,1736397504963.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736397504963, ""activities"": ""[{\""activity\"":\""still\"",\""confidence\"":100}]"", ""confidence"": ""100"", ""activity_name"": ""still"", ""activity_type"": ""3""}",10,2025-01-09 06:38:24+0200
