sample_index,_id,timestamp,local_datetime,device_id,sample_context,activities,confidence,activity_name,activity_type
1,5873,1736377138718,2025-01-09 00:58:58+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
2,5882,1736384056628,2025-01-09 02:54:16+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
3,5909,1736394405795,2025-01-09 05:46:45+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
4,5956,1736397097546,2025-01-09 06:31:37+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""unknown"",""confidence"":40},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""on_bicycle"",""confidence"":10},{""activity"":""on_foot"",""confidence"":10},{""activity"":""walking"",""confidence"":10},{""activity"":""running"",""confidence"":10},{""activity"":""still"",""confidence"":10}]",40,unknown,4
5,5957,1736397168345,2025-01-09 06:32:48+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
6,5958,1736397235698,2025-01-09 06:33:55+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
7,5959,1736397303020,2025-01-09 06:35:03+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
8,5960,1736397370313,2025-01-09 06:36:10+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
9,5961,1736397437627,2025-01-09 06:37:17+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
10,5962,1736397504963,2025-01-09 06:38:24+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
11,5963,1736397572219,2025-01-09 06:39:32+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
12,5964,1736397639476,2025-01-09 06:40:39+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
13,5998,1736397710556,2025-01-09 06:41:50+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
14,5999,1736397900080,2025-01-09 06:45:00+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
15,6000,1736398071070,2025-01-09 06:47:51+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
16,6001,1736398071100,2025-01-09 06:47:51+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":100}]",100,still,3
17,6002,1736398753827,2025-01-09 06:59:13+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""still"",""confidence"":46},{""activity"":""in_vehicle"",""confidence"":25},{""activity"":""on_foot"",""confidence"":18},{""activity"":""walking"",""confidence"":18},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""unknown"",""confidence"":3}]",46,still,3
18,6003,1736398829640,2025-01-09 07:00:29+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""on_foot"",""confidence"":87},{""activity"":""walking"",""confidence"":87},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""running"",""confidence"":2},{""activity"":""still"",""confidence"":1},{""activity"":""unknown"",""confidence"":1}]",87,on_foot,2
19,6004,1736398900513,2025-01-09 07:01:40+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""tilting"",""confidence"":100}]",100,tilting,5
20,6005,1736398900529,2025-01-09 07:01:40+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,"[{""activity"":""unknown"",""confidence"":40},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""on_bicycle"",""confidence"":10},{""activity"":""on_foot"",""confidence"":10},{""activity"":""walking"",""confidence"":10},{""activity"":""running"",""confidence"":10},{""activity"":""still"",""confidence"":10}]",40,unknown,4
