_id,timestamp,device_id,data,sample_index,local_datetime
19,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",1,2025-01-08 09:07:27+0200
34,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",2,2025-01-08 09:07:27+0200
587,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",3,2025-01-08 09:07:27+0200
643,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",4,2025-01-08 09:07:27+0200
692,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",5,2025-01-08 09:07:27+0200
742,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",6,2025-01-08 09:07:27+0200
794,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",7,2025-01-08 09:07:27+0200
845,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",8,2025-01-08 09:07:27+0200
900,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",9,2025-01-08 09:07:27+0200
951,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",10,2025-01-08 09:07:27+0200
1011,1736320047789.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320047789, ""sensor_name"": ""accelerometer-lsm6dsm"", ""sensor_type"": ""1"", ""sensor_vendor"": ""st"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.2300000041723251, ""double_sensor_resolution"": 9.576806405675596e-06, ""double_sensor_maximum_range"": 78.45320129394531, ""double_sensor_minimum_delay"": 2000}",11,2025-01-08 09:07:27+0200
