sample_index,_id,timestamp,local_datetime,device_id,sample_context,sensor_name,sensor_type,sensor_vendor,sensor_version,double_sensor_power_ma,double_sensor_resolution,double_sensor_maximum_range,double_sensor_minimum_delay
1,19,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
2,34,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
3,587,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
4,643,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
5,692,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
6,742,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
7,794,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
8,845,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
9,900,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
10,951,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
11,1011,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
12,1067,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
13,1122,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
14,1173,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
15,1234,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
16,1292,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
17,1347,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
18,1405,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
19,1467,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
20,1527,1736320047789,2025-01-08 09:07:27+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,accelerometer-lsm6dsm,1,st,1,0.2300000041723251,9.576806405675596e-06,78.45320129394531,2000
