_id,timestamp,device_id,data,sample_index,local_datetime
16,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",1,2025-01-08 09:07:28+0200
29,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",2,2025-01-08 09:07:28+0200
542,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",3,2025-01-08 09:07:28+0200
594,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",4,2025-01-08 09:07:28+0200
638,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",5,2025-01-08 09:07:28+0200
686,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",6,2025-01-08 09:07:28+0200
732,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",7,2025-01-08 09:07:28+0200
779,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",8,2025-01-08 09:07:28+0200
827,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",9,2025-01-08 09:07:28+0200
872,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",10,2025-01-08 09:07:28+0200
928,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",11,2025-01-08 09:07:28+0200
979,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",12,2025-01-08 09:07:28+0200
1028,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",13,2025-01-08 09:07:28+0200
1078,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",14,2025-01-08 09:07:28+0200
1132,1736320048090.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048090, ""sensor_name"": ""gravity"", ""sensor_type"": ""9"", ""sensor_vendor"": ""huawei"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.20000000298023224, ""double_sensor_resolution"": 0.15328125655651093, ""double_sensor_maximum_range"": 9.806650161743164, ""double_sensor_minimum_delay"": 10000}",15,2025-01-08 09:07:28+0200
