_id,timestamp,device_id,data,sample_index,local_datetime
17,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",1,2025-01-08 09:07:28+0200
31,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",2,2025-01-08 09:07:28+0200
558,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",3,2025-01-08 09:07:28+0200
611,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",4,2025-01-08 09:07:28+0200
657,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",5,2025-01-08 09:07:28+0200
706,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",6,2025-01-08 09:07:28+0200
755,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",7,2025-01-08 09:07:28+0200
803,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",8,2025-01-08 09:07:28+0200
855,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",9,2025-01-08 09:07:28+0200
908,1736320048012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048012, ""sensor_name"": ""als-tcs3701"", ""sensor_type"": ""5"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 1, ""double_sensor_maximum_range"": 10000, ""double_sensor_minimum_delay"": 0}",10,2025-01-08 09:07:28+0200
