sample_index,_id,timestamp,local_datetime,device_id,sample_context,sensor_name,sensor_type,sensor_vendor,sensor_version,double_sensor_power_ma,double_sensor_resolution,double_sensor_maximum_range,double_sensor_minimum_delay
1,17,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
2,31,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
3,558,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
4,611,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
5,657,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
6,706,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
7,755,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
8,803,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
9,855,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
10,908,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
11,962,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
12,1012,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
13,1064,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
14,1125,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
15,1173,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
16,1225,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
17,1287,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
18,1337,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
19,1393,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
20,1448,1736320048012,2025-01-08 09:07:28+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,als-tcs3701,5,ams,1,0.75,1,10000,0
