sample_index,_id,timestamp,local_datetime,device_id,sample_context,sensor_name,sensor_type,sensor_vendor,sensor_version,double_sensor_power_ma,double_sensor_resolution,double_sensor_maximum_range,double_sensor_minimum_delay
1,655,1752135770714,2025-07-10 11:22:50+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
2,660,1752135790835,2025-07-10 11:23:10+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
3,664,1752151448816,2025-07-10 15:44:08+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
4,672,1752153641675,2025-07-10 16:20:41+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
5,677,1752185814043,2025-07-11 01:16:54+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
6,684,1752229436693,2025-07-11 13:23:56+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
7,686,1752269490683,2025-07-12 00:31:30+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
8,689,1752274581893,2025-07-12 01:56:21+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
9,696,1752320244069,2025-07-12 14:37:24+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
10,717,1752390180829,2025-07-13 10:03:00+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
11,725,1752454738111,2025-07-14 03:58:58+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
12,726,1752456995010,2025-07-14 04:36:35+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
13,730,1752472336513,2025-07-14 08:52:16+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
14,731,1752475478648,2025-07-14 09:44:38+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
15,732,1752477473069,2025-07-14 10:17:53+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
16,739,1752485622773,2025-07-14 12:33:42+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
17,746,1752558539079,2025-07-15 08:48:59+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
18,751,1752575737741,2025-07-15 13:35:37+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
19,754,1752584711391,2025-07-15 16:05:11+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
20,759,1752594635933,2025-07-15 18:50:35+0300,6faf770c-e0bf-4100-9b63-c6167630c854,adjusted_first_available_7d_manual_review_sample_not_T1_baseline,linear_acceleration,10,qualcomm,1,0.5149999856948853,0.009999999776482582,156.91000366210938,5000
