_id,timestamp,device_id,data,sample_index,local_datetime
19,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",1,2025-01-08 09:07:28+0200
34,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",2,2025-01-08 09:07:28+0200
587,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",3,2025-01-08 09:07:28+0200
643,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",4,2025-01-08 09:07:28+0200
692,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",5,2025-01-08 09:07:28+0200
742,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",6,2025-01-08 09:07:28+0200
795,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",7,2025-01-08 09:07:28+0200
851,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",8,2025-01-08 09:07:28+0200
905,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",9,2025-01-08 09:07:28+0200
958,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",10,2025-01-08 09:07:28+0200
1015,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",11,2025-01-08 09:07:28+0200
1069,1736320048052.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736320048052, ""sensor_name"": ""proximity-tcs3701"", ""sensor_type"": ""8"", ""sensor_vendor"": ""ams"", ""sensor_version"": ""1"", ""double_sensor_power_ma"": 0.75, ""double_sensor_resolution"": 5, ""double_sensor_maximum_range"": 5, ""double_sensor_minimum_delay"": 0}",12,2025-01-08 09:07:28+0200
