table_name,Subject_ID_D,rows,devices,first row,last row
applications_foreground,020,145902,2,2025-01-08,2025-08-31
applications_foreground,032,80302,2,2025-01-23,2025-09-09
applications_foreground,035,79336,2,2025-01-21,2025-09-04
applications_foreground,018,79269,2,2025-03-02,2026-02-17
applications_foreground,026,74965,1,2025-02-12,2026-06-22
applications_foreground,044,74141,3,2025-02-04,2025-11-02
applications_foreground,023,73500,2,2025-01-09,2025-09-07
applications_foreground,039,64529,3,2025-01-13,2025-09-05
applications_foreground,015,60397,4,2025-01-06,2025-10-28
applications_foreground,045,59687,2,2025-01-22,2025-10-21
applications_foreground,021,57422,2,2025-01-08,2025-08-11
applications_foreground,012,57300,3,2025-01-06,2025-08-17
applications_foreground,001,57043,97,2025-01-08,2025-08-04
applications_foreground,004,56505,1,2025-01-06,2025-06-06
applications_foreground,029,51959,2,2025-03-02,2025-08-01
applications_foreground,036,50566,1,2025-01-16,2025-07-07
applications_foreground,028,48280,2,2025-01-20,2026-03-10
applications_foreground,082,46369,1,2025-01-28,2025-03-05
applications_foreground,003,46100,1,2025-01-06,2025-01-07
applications_foreground,007,37433,2,2025-01-23,2026-01-25
applications_foreground,005,36682,1,2025-01-06,2025-06-01
applications_foreground,078,34602,2,2025-03-06,2025-09-15
applications_foreground,022,33874,3,2025-01-21,2025-09-16
applications_foreground,055,30628,1,2025-01-14,2025-06-30
applications_foreground,043,27586,2,2025-01-21,2025-06-06
applications_foreground,087,27065,3,2025-02-04,2025-07-09
applications_foreground,030,26247,2,2025-01-08,2025-05-13
applications_foreground,060,25988,2,2025-01-13,2025-08-01
applications_foreground,002,24861,4,2025-01-27,2025-09-11
applications_foreground,014,23818,2,2025-01-20,2025-08-28
applications_foreground,075,22876,1,2025-01-23,2025-07-30
applications_foreground,085,22678,2,2025-03-04,2025-08-28
applications_foreground,006,22304,2,2025-01-06,2025-09-15
applications_foreground,067,19100,1,2025-01-13,2025-07-04
applications_foreground,038,18962,2,2025-07-10,2025-10-15
applications_foreground,019,17151,1,2025-01-21,2025-03-20
applications_foreground,064,16192,1,2025-02-12,2025-05-01
applications_foreground,079,15535,1,2025-01-20,2025-05-15
applications_foreground,031,15082,3,2025-01-28,2025-10-20
applications_foreground,074,14936,2,2025-01-23,2025-03-30
applications_foreground,073,14776,3,2025-01-14,2025-07-28
applications_foreground,011,14766,1,2025-02-04,2025-03-28
applications_foreground,062,14602,2,2025-01-17,2025-09-07
applications_foreground,037,14084,2,2025-01-20,2025-08-05
applications_foreground,046,13982,2,2025-01-28,2025-08-23
applications_foreground,048,12899,3,2025-02-12,2025-09-11
applications_foreground,041,12840,3,2025-01-08,2025-07-22
applications_foreground,089,12139,1,2025-08-11,2025-09-02
applications_foreground,068,11574,1,2025-01-21,2025-04-01
applications_foreground,069,11543,1,2025-01-20,2025-04-11
applications_foreground,013,11141,1,2025-01-27,2025-05-15
applications_foreground,040,10157,1,2025-01-27,2025-06-29
applications_foreground,076,9576,1,2025-01-28,2025-04-07
applications_foreground,024,8682,2,2025-01-28,2025-09-13
applications_foreground,071,8391,1,2025-01-14,2025-03-11
applications_foreground,057,8167,2,2025-01-14,2025-07-21
applications_foreground,061,7724,1,2025-01-23,2025-07-08
applications_foreground,095,6633,2,2025-03-16,2025-09-12
applications_foreground,083,6207,1,2025-01-14,2025-02-12
applications_foreground,049,6065,2,2025-03-06,2025-07-15
applications_foreground,093,5897,1,2025-03-06,2025-05-29
applications_foreground,010,5836,2,2025-01-14,2025-07-13
applications_foreground,081,4219,1,2025-01-21,2025-03-09
applications_foreground,072,4189,1,2025-03-06,2025-07-01
applications_foreground,066,4134,1,2025-01-20,2025-06-22
applications_foreground,p001,3670,1,2025-06-25,2025-06-28
applications_foreground,053,3194,1,2025-01-14,2025-05-17
applications_foreground,p003,3067,1,2025-06-25,2025-06-28
applications_foreground,050,2965,2,2025-01-16,2025-07-09
applications_foreground,052,2943,3,2025-01-09,2025-07-14
applications_foreground,086,2814,2,2025-02-12,2025-07-30
applications_foreground,096,2158,1,2025-03-30,2025-03-30
applications_foreground,077,2119,2,2025-02-25,2025-10-22
applications_foreground,051,1921,1,2025-01-06,2025-05-08
applications_foreground,p002,1791,1,2025-06-28,2025-06-29
applications_foreground,034,998,1,2025-02-04,2025-03-09
applications_foreground,070,791,2,2025-01-13,2025-09-04
applications_foreground,084,226,1,2025-01-21,2025-03-05
applications_foreground,056,59,2,2025-02-25,2025-07-10
applications_foreground,091,16,4,2025-01-23,2025-07-09
applications_foreground,042,15,1,2025-07-08,2025-07-08
applications_foreground,115,7,1,2025-06-19,2025-06-19
applications_foreground,025,3,1,2025-03-06,2025-03-06
applications_foreground,090,1,1,2025-07-10,2025-07-10
applications_foreground,samsung SM-A115F,1,1,2025-07-09,2025-07-09
aware_device,061,3548,2,2025-01-23,2026-07-03
aware_device,007,1432,2,2025-01-23,2026-01-25
