table_name,status,estimated_rows,data_gb,error_message
accelerometer,skipped_above_200gb,3899894130,1209.66,
applications_foreground,ok,2171452,0.63,
aware_device,ok,17281,0.01,
aware_log,error,55291877,12.47,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
aware_studies,ok,18,0.0,
barometer,error,25763375,5.65,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
battery,ok,40896,0.02,
battery_charges,ok,639,0.0,
battery_discharges,ok,573,0.0,
bluetooth,ok,539084,0.15,
calls,ok,26163,0.01,
gravity,skipped_above_200gb,3753710868,1164.62,
gsm,ok,1058407,0.28,
gsm_neighbor,ok,3578683,0.88,
gyroscope,skipped_above_200gb,3758319628,1166.17,
keyboard,ok,3731637,1.45,
light,error,813603017,183.39,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
linear_accelerometer,error,539755483,158.43,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
locations,ok,339409,0.12,
magnetometer,error,346894235,99.93,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
messages,ok,39764,0.01,
network,ok,158491,0.04,
network_traffic,ok,454134,0.14,
plugin_google_activity_recognition,ok,2497482,0.94,
proximity,error,106477139,21.56,"3024 (HY000): Query execution was interrupted, maximum statement execution time exceeded"
rotation,skipped_above_200gb,3833338250,1268.84,
screen,ok,1133084,0.19,
sensor_accelerometer,ok,14997,0.01,
sensor_barometer,ok,36,0.0,
sensor_bluetooth,ok,1693,0.0,
sensor_gravity,ok,13825,0.01,
sensor_gyroscope,ok,15221,0.01,
sensor_light,ok,13120,0.01,
sensor_linear_accelerometer,ok,2836,0.0,
sensor_magnetometer,ok,2790,0.0,
sensor_proximity,ok,14896,0.01,
sensor_rotation,ok,15427,0.01,
sensor_temperature,ok,0,0.0,
sensor_wifi,ok,262810,0.06,
significant,ok,140551,0.02,
telephony,ok,998713,0.59,
timezone,ok,534,0.0,
touch,ok,4222006,1.57,
wifi,ok,3507726,1.1,
