sample_index,_id,timestamp,local_datetime,device_id,sample_context,sim_state,phone_type,sim_serial,line_number,data_enabled,network_type,imei_meid_esn,subscriber_id,software_version,sim_operator_code,sim_operator_name,network_operator_code,network_operator_name,network_country_iso_mcc
1,1758,1736377132703,2025-01-09 00:58:52+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
2,1762,1736384050305,2025-01-09 02:54:10+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
3,1769,1736394396965,2025-01-09 05:46:36+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
4,1772,1736396282528,2025-01-09 06:18:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
5,1776,1736398081633,2025-01-09 06:48:01+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
6,1777,1736398833745,2025-01-09 07:00:33+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],2,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
7,1778,1736398900207,2025-01-09 07:01:40+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
8,1792,1736399882034,2025-01-09 07:18:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
9,1793,1736401682276,2025-01-09 07:48:02+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
10,1794,1736402084732,2025-01-09 07:54:44+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,5,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],0,13,[REDACTED_SENSITIVE_FIELD],[REDACTED_SENSITIVE_FIELD],60,42507,[REDACTED_SENSITIVE_FIELD],42507,[REDACTED_SENSITIVE_FIELD],il
