sample_index,_id,timestamp,local_datetime,device_id,sample_context,touch_app,scroll_items,touch_action,scroll_to_index,scroll_from_index,touch_action_text
1,13513,1736398653795,2025-01-09 06:57:33+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.android.systemui,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
2,294408,1736398653795,2025-01-09 06:57:33+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.android.systemui,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
3,13514,1736398657586,2025-01-09 06:57:37+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.huawei.android.launcher,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
4,294409,1736398657586,2025-01-09 06:57:37+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.huawei.android.launcher,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
5,13515,1736398659398,2025-01-09 06:57:39+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
6,294410,1736398659398,2025-01-09 06:57:39+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
7,13516,1736398663976,2025-01-09 06:57:43+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
8,294411,1736398663976,2025-01-09 06:57:43+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,-1,ACTION_AWARE_TOUCH_CLICKED,-1,-1,[REDACTED_SENSITIVE_FIELD]
9,13517,1736398664340,2025-01-09 06:57:44+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,36,ACTION_AWARE_TOUCH_SCROLLED_DOWN,35,34,[REDACTED_SENSITIVE_FIELD]
10,294412,1736398664340,2025-01-09 06:57:44+0200,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,phase2a_t1_ranked_24h_t1_week_review_sample,com.whatsapp,36,ACTION_AWARE_TOUCH_SCROLLED_DOWN,35,34,[REDACTED_SENSITIVE_FIELD]
