table_name,Subject_ID_D,Subject_ID_N,window_name,window_start_local,window_end_local,n_devices_mapped,n_devices_checked_until_result,has_data,first_row_date,last_row_date,status,error_message
accelerometer,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
accelerometer,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
accelerometer,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,,,t1_day_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,,,t1_week_after,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,,,t2_day_before,,,,,,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
