table_name,window_name,patients_checked,patients_with_data,percentage_with_data,status,note
accelerometer,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
accelerometer,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
accelerometer,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
aware_log,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
barometer,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gravity,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
gyroscope,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
light,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
linear_accelerometer,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
magnetometer,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
proximity,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,t1_day_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,t1_week_after,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
rotation,t2_day_before,0,,,skipped_metadata_only_large_raw_stream,bounded patient availability intentionally skipped for large raw/quality-log stream
