table_name,Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
accelerometer,accelerometer,0,PRIMARY,1,_id,A,3899894016,,,,BTREE,,,YES,
accelerometer,accelerometer,1,timestamp_device,1,timestamp,A,1662450560,,,,BTREE,,,YES,
accelerometer,accelerometer,1,timestamp_device,2,device_id,A,1516674048,,,,BTREE,,,YES,
aware_log,aware_log,0,PRIMARY,1,_id,A,52576760,,,,BTREE,,,YES,
aware_log,aware_log,1,timestamp_device,1,timestamp,A,53297844,,,,BTREE,,,YES,
aware_log,aware_log,1,timestamp_device,2,device_id,A,55294232,,,,BTREE,,,YES,
barometer,barometer,0,PRIMARY,1,_id,A,25763200,,,,BTREE,,,YES,
barometer,barometer,1,timestamp_device,1,timestamp,A,16539570,,,,BTREE,,,YES,
barometer,barometer,1,timestamp_device,2,device_id,A,16073289,,,,BTREE,,,YES,
gravity,gravity,0,PRIMARY,1,_id,A,3744403968,,,,BTREE,,,YES,
gravity,gravity,1,timestamp_device,1,timestamp,A,1485358336,,,,BTREE,,,YES,
gravity,gravity,1,timestamp_device,2,device_id,A,1507245696,,,,BTREE,,,YES,
gyroscope,gyroscope,0,PRIMARY,1,_id,A,3758319104,,,,BTREE,,,YES,
gyroscope,gyroscope,1,timestamp_device,1,timestamp,A,1160963072,,,,BTREE,,,YES,
gyroscope,gyroscope,1,timestamp_device,2,device_id,A,1288966656,,,,BTREE,,,YES,
light,light,0,PRIMARY,1,_id,A,796162752,,,,BTREE,,,YES,
light,light,1,timestamp_device,1,timestamp,A,637785920,,,,BTREE,,,YES,
light,light,1,timestamp_device,2,device_id,A,569437120,,,,BTREE,,,YES,
linear_accelerometer,linear_accelerometer,0,PRIMARY,1,_id,A,534284960,,,,BTREE,,,YES,
linear_accelerometer,linear_accelerometer,1,timestamp_device,1,timestamp,A,460768512,,,,BTREE,,,YES,
linear_accelerometer,linear_accelerometer,1,timestamp_device,2,device_id,A,516568992,,,,BTREE,,,YES,
magnetometer,magnetometer,0,PRIMARY,1,_id,A,346038528,,,,BTREE,,,YES,
magnetometer,magnetometer,1,timestamp_device,1,timestamp,A,313661728,,,,BTREE,,,YES,
magnetometer,magnetometer,1,timestamp_device,2,device_id,A,321192512,,,,BTREE,,,YES,
proximity,proximity,0,PRIMARY,1,_id,A,101597760,,,,BTREE,,,YES,
proximity,proximity,1,timestamp_device,1,timestamp,A,98897928,,,,BTREE,,,YES,
proximity,proximity,1,timestamp_device,2,device_id,A,87203208,,,,BTREE,,,YES,
rotation,rotation,0,PRIMARY,1,_id,A,3823759104,,,,BTREE,,,YES,
rotation,rotation,1,timestamp_device,1,timestamp,A,1552996352,,,,BTREE,,,YES,
rotation,rotation,1,timestamp_device,2,device_id,A,1280279808,,,,BTREE,,,YES,
