table_name,has_device_id,has_timestamp,sampled_rows,sampled_from_window,sampled_subjects,status,error_message
applications_foreground,True,True,10,early,093,sampled,
aware_device,True,True,10,early,093,sampled,
aware_log,True,True,10,early,093,sampled,
aware_studies,True,True,0,,,no_rows_in_top10_early_or_late_windows,
barometer,True,True,0,,,no_rows_in_top10_early_or_late_windows,
battery,True,True,0,,,no_rows_in_top10_early_or_late_windows,
battery_charges,True,True,0,,,no_rows_in_top10_early_or_late_windows,
battery_discharges,True,True,0,,,no_rows_in_top10_early_or_late_windows,
bluetooth,True,True,0,,,no_rows_in_top10_early_or_late_windows,
calls,True,True,0,,,no_rows_in_top10_early_or_late_windows,
gsm,True,True,10,early,093,sampled,
gsm_neighbor,True,True,10,early,093,sampled,
keyboard,True,True,10,early,093,sampled,
