database_name,table_name
sensordata,accelerometer
sensordata,applications_foreground
sensordata,aware_device
sensordata,aware_log
sensordata,aware_studies
sensordata,barometer
sensordata,battery
sensordata,battery_charges
sensordata,battery_discharges
sensordata,bluetooth
sensordata,calls
sensordata,gravity
sensordata,gsm
sensordata,gsm_neighbor
sensordata,gyroscope
sensordata,keyboard
sensordata,light
sensordata,linear_accelerometer
sensordata,locations
sensordata,magnetometer
sensordata,messages
sensordata,network
sensordata,network_traffic
sensordata,plugin_google_activity_recognition
sensordata,proximity
sensordata,rotation
sensordata,screen
sensordata,sensor_accelerometer
sensordata,sensor_barometer
sensordata,sensor_bluetooth
sensordata,sensor_gravity
sensordata,sensor_gyroscope
sensordata,sensor_light
sensordata,sensor_linear_accelerometer
sensordata,sensor_magnetometer
sensordata,sensor_proximity
sensordata,sensor_rotation
sensordata,sensor_temperature
sensordata,sensor_wifi
sensordata,significant
sensordata,telephony
sensordata,timezone
sensordata,touch
sensordata,wifi
