cluster_k,cluster_label,n_patients,feature_name,feature_mean,feature_median,feature_missing_percent
2,0,73,app_foreground_event_count,3504.169491525424,1340.0,19.17808219178082
2,0,73,app_use_diversity,2.9509641330415493,3.0567196416153126,19.17808219178082
2,0,73,unique_foreground_apps,18.06779661016949,17.0,19.17808219178082
2,0,73,gsm_cell_transition_count,106.03174603174604,20.0,13.698630136986301
2,0,73,unique_gsm_cell_count,16.349206349206348,6.0,13.698630136986301
2,0,73,unique_gsm_lac_count,3.2857142857142856,2.0,13.698630136986301
2,0,73,keyboard_deletion_event_count,38.795918367346935,17.0,32.87671232876712
2,0,73,keyboard_inter_event_interval_iqr_ms,696.5663265306123,544.0,32.87671232876712
2,0,73,keyboard_long_pause_count_2s,41.183673469387756,19.0,32.87671232876712
2,0,73,keyboard_median_inter_event_interval_ms,719.2755102040817,718.0,32.87671232876712
2,0,73,keyboard_typing_burst_count,15.326530612244898,7.0,32.87671232876712
2,0,73,message_distinct_event_count,10.8,8.0,31.506849315068493
2,0,73,outgoing_message_count,0.2,0.0,31.506849315068493
2,0,73,activity_active_hour_count,129.25396825396825,142.0,13.698630136986301
2,0,73,activity_state_diversity,1.8216765405687694,1.8500788104091588,13.698630136986301
2,0,73,activity_still_fraction,0.498929219747152,0.502454991816694,13.698630136986301
2,0,73,activity_transition_count,915.031746031746,824.0,13.698630136986301
2,0,73,activity_unknown_fraction,0.20099918185621465,0.2059585492227979,13.698630136986301
2,0,73,median_unlocked_session_duration_seconds,188.71158064516126,138.60275,15.068493150684931
2,0,73,night_screen_event_count,64.25,0.0,12.32876712328767
2,0,73,screen_active_hour_count,21.890625,13.0,12.32876712328767
2,0,73,screen_event_count,1168.4375,754.5,12.32876712328767
2,0,73,screen_off_event_count,263.375,168.0,12.32876712328767
2,0,73,screen_on_event_count,332.765625,216.5,12.32876712328767
2,0,73,screen_transition_count,262.421875,144.0,12.32876712328767
2,0,73,screen_unlock_event_count,213.796875,115.5,12.32876712328767
2,0,73,telephony_event_count,909.2698412698413,502.0,13.698630136986301
2,0,73,telephony_mobile_data_enabled_fraction,0.7164251143626345,0.8333333333333334,13.698630136986301
2,0,73,telephony_network_type_diversity,0.49703072269152404,0.2713895875081111,13.698630136986301
2,0,73,touch_active_hour_count,12.596491228070175,8.0,21.91780821917808
2,0,73,touch_app_diversity,2.0452952309994195,2.093667754721337,21.91780821917808
2,0,73,touch_click_event_count,287.1578947368421,171.0,21.91780821917808
2,0,73,touch_distinct_event_count,818.3508771929825,449.0,21.91780821917808
2,0,73,touch_scroll_direction_change_count,104.01818181818182,51.0,24.65753424657534
2,0,73,touch_scroll_event_count,517.3333333333334,273.0,21.91780821917808
2,0,73,touch_scroll_index_change_median,5.3545454545454545,5.0,24.65753424657534
2,0,73,touch_unique_app_count,13.385964912280702,13.0,21.91780821917808
2,1,8,app_foreground_event_count,3505.25,3245.5,0.0
2,1,8,app_use_diversity,3.605334855163712,3.430207894348528,0.0
2,1,8,unique_foreground_apps,47.75,42.5,0.0
2,1,8,gsm_cell_transition_count,897.5,976.5,0.0
2,1,8,unique_gsm_cell_count,194.75,176.5,0.0
2,1,8,unique_gsm_lac_count,16.875,13.5,0.0
2,1,8,keyboard_deletion_event_count,617.25,430.5,0.0
2,1,8,keyboard_inter_event_interval_iqr_ms,656.71875,605.75,0.0
2,1,8,keyboard_long_pause_count_2s,615.875,319.0,0.0
2,1,8,keyboard_median_inter_event_interval_ms,719.75,672.0,0.0
2,1,8,keyboard_typing_burst_count,212.25,177.0,0.0
2,1,8,message_distinct_event_count,52.625,52.5,0.0
2,1,8,outgoing_message_count,0.375,0.0,0.0
2,1,8,activity_active_hour_count,113.625,117.5,0.0
2,1,8,activity_state_diversity,1.6054319092126748,1.7284646120362792,0.0
2,1,8,activity_still_fraction,0.5675407602940001,0.5523616094050876,0.0
2,1,8,activity_transition_count,1090.0,680.0,0.0
2,1,8,activity_unknown_fraction,0.2021961282330524,0.22711933735555778,0.0
2,1,8,median_unlocked_session_duration_seconds,249.2994375,251.89499999999998,0.0
2,1,8,night_screen_event_count,119.25,101.5,0.0
2,1,8,screen_active_hour_count,118.875,120.5,0.0
2,1,8,screen_event_count,1760.375,1374.5,0.0
2,1,8,screen_off_event_count,444.625,332.0,0.0
2,1,8,screen_on_event_count,465.75,348.0,0.0
2,1,8,screen_transition_count,1527.125,1177.5,0.0
2,1,8,screen_unlock_event_count,304.625,239.0,0.0
2,1,8,telephony_event_count,1866.375,1567.0,0.0
2,1,8,telephony_mobile_data_enabled_fraction,0.6537426031334638,0.7167682203467165,0.0
2,1,8,telephony_network_type_diversity,0.6303748669440892,0.42935580109626326,0.0
2,1,8,touch_active_hour_count,108.375,115.0,0.0
2,1,8,touch_app_diversity,2.7588883870711713,2.5576130629268112,0.0
2,1,8,touch_click_event_count,3862.75,3066.5,0.0
2,1,8,touch_distinct_event_count,9353.25,7694.0,0.0
2,1,8,touch_scroll_direction_change_count,1183.875,1130.0,0.0
2,1,8,touch_scroll_event_count,5380.125,4657.0,0.0
2,1,8,touch_scroll_index_change_median,4.75,5.0,0.0
2,1,8,touch_unique_app_count,33.125,30.5,0.0
