analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,all_direction_constrained_ridge,81,8.63409747415327,6.925412884696669,-0.024404049339858958
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,all_direction_constrained_ridge,81,9.368956034948452,7.438314143647348,-0.2062013046363873
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,all_direction_constrained_ridge,81,9.051699658763132,7.347000985454935,-0.12589440932366713
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,all_direction_constrained_ridge,81,8.961491816643964,7.1697461703341405,-0.10356525108033177
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,all_direction_constrained_ridge,81,8.612348596165178,6.891350406756212,-0.019249699837815326
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,all_direction_constrained_ridge,81,9.1398894658054,7.307146556480266,-0.1479402377309622
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,all_direction_constrained_ridge,81,9.530641588764809,7.3694096427384155,-0.24819278336177808
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,all_direction_constrained_ridge,81,8.696962555590531,6.923787748123406,-0.03937577983968543
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,all_direction_constrained_ridge,81,10.0303727412286,7.938581973373932,-0.3825203621166573
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,all_direction_constrained_ridge,81,8.910889523282815,7.227519387746122,-0.09113757244679332
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,all_direction_constrained_ridge,81,8.9104910463659,7.191543262318297,-0.09103998770777721
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,all_direction_constrained_ridge,81,9.247791842935978,7.4726134371506845,-0.17520460180320674
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,all_direction_constrained_ridge,81,8.858058984305893,7.093151120032105,-0.07823773724478555
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,all_direction_constrained_ridge,81,8.907496788160739,7.15047714719776,-0.09030685043721354
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,all_direction_constrained_ridge,81,8.88265479983402,7.015009656680405,-0.0842338488590979
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,all_direction_constrained_ridge,81,8.700016947315383,7.004844542223712,-0.04010597000308169
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,all_direction_constrained_ridge,81,9.407322998789201,7.466651713320814,-0.21610060166329337
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,all_direction_constrained_ridge,81,8.67986577410836,7.011350117566329,-0.035293316782134765
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,all_direction_constrained_ridge,81,9.554211043855295,7.569961897329832,-0.25437402533231146
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,all_direction_constrained_ridge,81,8.744614279089948,6.9015479180418255,-0.050796717224515175
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,all_direction_constrained_ridge,1620,8.899498365975724,7.0254463756777605,-0.0883496632839329
