analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,elastic_net,81,8.701255059851833,6.9544878223024815,-0.04040202916724578
repeat,1,pls,81,9.286028501079558,7.279767944850814,-0.18494288206399068
repeat,1,spline_ridge,81,8.536880136573167,6.819940403859577,-0.0014649618886835025
repeat,2,elastic_net,81,9.203115980732152,7.335645206239919,-0.16387725821762356
repeat,2,pls,81,9.533135861597872,7.566094298286986,-0.2488462001790217
repeat,2,spline_ridge,81,9.028858437705987,7.18638993120217,-0.12021937437159247
repeat,3,elastic_net,81,8.896127853770341,7.0699135852741355,-0.0875254367882159
repeat,3,pls,81,9.080651737913985,7.203910166555854,-0.1331083285662349
repeat,3,spline_ridge,81,8.911750769837441,7.122673681925618,-0.09134850175655052
repeat,4,elastic_net,81,8.764734028730478,6.988375012682172,-0.05563765997105774
repeat,4,pls,81,9.334174145277276,7.438924074686211,-0.19726197685888547
repeat,4,spline_ridge,81,8.801634413168628,6.949008743163776,-0.064545045918464
repeat,5,elastic_net,81,8.724689502849596,7.061967501950402,-0.04601365047293804
repeat,5,pls,81,9.074036122826588,7.19449930079574,-0.13145790123398737
repeat,5,spline_ridge,81,8.662693709266184,6.931362061822819,-0.031200963629581357
repeat,6,elastic_net,81,8.700546873195721,6.962009636439887,-0.04023268144779357
repeat,6,pls,81,9.682703419946339,7.545826315621533,-0.28834047588337275
repeat,6,spline_ridge,81,9.084853733849771,7.418867916134104,-0.13415724407553653
repeat,7,elastic_net,81,8.681253900548077,6.893668485393529,-0.035624481567109845
repeat,7,pls,81,9.182877019543021,7.187511704636692,-0.15876382368602604
repeat,7,spline_ridge,81,8.80022071913469,7.012144507423495,-0.06420310485390357
repeat,8,elastic_net,81,8.721179548787722,6.9267259812926945,-0.045172194431782886
repeat,8,pls,81,9.048205998669541,7.3308316530924555,-0.12502546019455507
repeat,8,spline_ridge,81,8.896397088867495,7.070030846328886,-0.08759126418011864
repeat,9,elastic_net,81,9.010928716474199,7.186238158541692,-0.11577467554612153
repeat,9,pls,81,9.544936638450377,7.4676923416700065,-0.25193993072180554
repeat,9,spline_ridge,81,8.827540639157164,7.167417477507217,-0.07082091003572555
repeat,10,elastic_net,81,8.93693421153142,7.083414378425401,-0.09752523291554027
repeat,10,pls,81,9.613683647327944,7.61642814606648,-0.2700389661053024
repeat,10,spline_ridge,81,8.980138019150647,7.169343110869223,-0.10816241173128183
repeat,11,elastic_net,81,8.736538797536065,6.920848896421575,-0.0488568326163783
repeat,11,pls,81,9.014320740971659,7.254560256499753,-0.11661486583163727
repeat,11,spline_ridge,81,8.75998652237944,7.010866028258594,-0.05449437617617825
repeat,12,elastic_net,81,9.194843989702267,7.53151556913586,-0.16178595446701438
repeat,12,pls,81,9.515123176307293,7.576455108557426,-0.24413131477467065
repeat,12,spline_ridge,81,9.021449127152556,7.204507235565392,-0.1183815678154958
repeat,13,elastic_net,81,8.804368129216629,7.045736051821656,-0.06520642667477072
repeat,13,pls,81,9.512010807597699,7.415041526606608,-0.24331754452468957
repeat,13,spline_ridge,81,8.815796971496756,7.127786496359165,-0.0679736843761718
repeat,14,elastic_net,81,8.649699830293635,6.831822475998672,-0.02810971935459472
repeat,14,pls,81,9.324703968831974,7.372010403640398,-0.19483379622861263
repeat,14,spline_ridge,81,8.649021721897508,6.818071886924525,-0.027948524742392067
repeat,15,elastic_net,81,8.993872461187847,7.28713273919041,-0.11155470509982135
repeat,15,pls,81,9.254201433345232,7.426906027937048,-0.17683422121208103
repeat,15,spline_ridge,81,8.677130159554899,6.891889942266286,-0.034640837300363714
repeat,16,elastic_net,81,8.78178760292669,7.000407965736394,-0.05974957226907618
repeat,16,pls,81,9.460204608430773,7.519160599371875,-0.22981122033218626
repeat,16,spline_ridge,81,8.58458727580041,6.971304539936097,-0.012689326097154785
repeat,17,elastic_net,81,9.294744910480313,7.552365755162462,-0.18716843946297823
repeat,17,pls,81,9.399092002354912,7.3474617063303596,-0.21397346290475405
repeat,17,spline_ridge,81,8.851667689230997,7.1467747125431735,-0.07668235148305502
repeat,18,elastic_net,81,8.957252659665283,7.193257335798162,-0.10252143383578272
repeat,18,pls,81,9.118475666904812,7.150683465947685,-0.14256753267739475
repeat,18,spline_ridge,81,8.699471976711967,6.980174383461864,-0.03997566923965956
repeat,19,elastic_net,81,8.800612701329692,7.140767947810339,-0.064297911103125
