analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,1,Memory,mean_baseline,81,13.831338996400355,11.018256172839505,-0.009007055696499622
repeat,1,Memory,domain_group_ridge,81,13.841615767323878,11.024718507790384,-0.010507009766642206
repeat,2,Memory,mean_baseline,81,14.155130204669247,11.219759615384616,-0.056801664917154326
repeat,2,Memory,domain_group_ridge,81,14.17938709378299,11.237096771938791,-0.06042673722023251
repeat,3,Memory,mean_baseline,81,13.884472662388035,11.130913461538462,-0.016774231488621005
repeat,3,Memory,domain_group_ridge,81,13.966042013784993,11.15597490039909,-0.02875613963799495
repeat,4,Memory,mean_baseline,81,13.829417767534396,11.007338853276353,-0.00872676485165802
repeat,4,Memory,domain_group_ridge,81,14.964028445230316,12.049009177020972,-0.18103509181384636
repeat,5,Memory,mean_baseline,81,13.91091405544687,11.101185897435897,-0.020650579895709953
repeat,5,Memory,domain_group_ridge,81,13.920351677533516,11.10957609939338,-0.022035935584722832
repeat,6,Memory,mean_baseline,81,14.07225211410659,11.175326745014244,-0.04446277487670125
repeat,6,Memory,domain_group_ridge,81,14.081996902597032,11.185214963518904,-0.045909820141679436
repeat,7,Memory,mean_baseline,81,13.862336547650333,11.11398148148148,-0.013534714984432927
repeat,7,Memory,domain_group_ridge,81,13.91654835856764,11.13765391564659,-0.02147753049167167
repeat,8,Memory,mean_baseline,81,13.93600658777926,11.151838497150996,-0.024336003570202713
repeat,8,Memory,domain_group_ridge,81,13.938974825490165,11.152718189594301,-0.024772397817186098
repeat,9,Memory,mean_baseline,81,14.076706767308725,11.206529855175688,-0.04512414106451179
repeat,9,Memory,domain_group_ridge,81,14.246093915956756,11.267380980616013,-0.07042774640466076
repeat,10,Memory,mean_baseline,81,13.83507509346177,11.068521486229818,-0.00955223175438058
repeat,10,Memory,domain_group_ridge,81,14.338044935412505,11.563065566733199,-0.08429043326377883
repeat,11,Memory,mean_baseline,81,13.976807068486682,11.150979047958215,-0.030342685672400727
repeat,11,Memory,domain_group_ridge,81,13.98278081115258,11.155117360000169,-0.031223618973955647
repeat,12,Memory,mean_baseline,81,13.91593034321361,11.141544693732195,-0.021386807596305735
repeat,12,Memory,domain_group_ridge,81,13.932594558033994,11.15487572639835,-0.023834477249407904
repeat,13,Memory,mean_baseline,81,14.049452731565532,11.251315586419755,-0.0410811106526201
repeat,13,Memory,domain_group_ridge,81,14.059359416555937,11.262260989287949,-0.042549822501291024
repeat,14,Memory,mean_baseline,81,14.06134848516509,11.173227386039887,-0.04284483591606669
