analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,1,Memory,mean_baseline,81,13.831338996400355,11.018256172839505,-0.009007055696499622
repeat,1,Memory,ridge,81,13.942470951845527,11.116054694797043,-0.025286522153829427
repeat,2,Memory,mean_baseline,81,14.155130204669247,11.219759615384616,-0.056801664917154326
repeat,2,Memory,ridge,81,14.412638483666251,11.43306408463548,-0.09560180278970587
repeat,3,Memory,mean_baseline,81,13.884472662388035,11.130913461538462,-0.016774231488621005
repeat,3,Memory,ridge,81,13.967079633023292,11.007866723470379,-0.028909009980899958
repeat,4,Memory,mean_baseline,81,13.829417767534396,11.007338853276353,-0.00872676485165802
repeat,4,Memory,ridge,81,14.560556108522954,11.569502868315476,-0.11820563420955521
repeat,5,Memory,mean_baseline,81,13.91091405544687,11.101185897435897,-0.020650579895709953
repeat,5,Memory,ridge,81,13.926128367718695,11.120980183166191,-0.022884363859730472
repeat,6,Memory,mean_baseline,81,14.07225211410659,11.175326745014244,-0.04446277487670125
repeat,6,Memory,ridge,81,14.079572876709909,11.190171395342537,-0.045549772587738735
repeat,7,Memory,mean_baseline,81,13.862336547650333,11.11398148148148,-0.013534714984432927
repeat,7,Memory,ridge,81,14.176680427579027,11.35822896563456,-0.06002193167427894
repeat,8,Memory,mean_baseline,81,13.93600658777926,11.151838497150996,-0.024336003570202713
repeat,8,Memory,ridge,81,13.918521302119645,11.117749077237052,-0.021767179952263627
repeat,9,Memory,mean_baseline,81,14.076706767308725,11.206529855175688,-0.04512414106451179
repeat,9,Memory,ridge,81,14.249468833656875,11.167345691022557,-0.07093497785838698
repeat,10,Memory,mean_baseline,81,13.83507509346177,11.068521486229818,-0.00955223175438058
repeat,10,Memory,ridge,81,14.361872708836188,11.57174075267418,-0.08789729806810587
repeat,11,Memory,mean_baseline,81,13.976807068486682,11.150979047958215,-0.030342685672400727
repeat,11,Memory,ridge,81,13.974117242151143,11.15141463210411,-0.02994614643480653
