analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,direction_constrained_ridge,81,8.613828304088774,6.884921377932055,-0.019599969314980425
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,direction_constrained_ridge,81,9.291452718883633,7.368372270892849,-0.18632760008024962
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,direction_constrained_ridge,81,9.040686732378902,7.216788170243391,-0.12315639331946349
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,direction_constrained_ridge,81,8.827962894190504,6.998558271776773,-0.07092335540569006
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,direction_constrained_ridge,81,8.78199610089613,6.945809498363902,-0.05979989420053222
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,direction_constrained_ridge,81,9.294434360039885,7.307616806302402,-0.18708911086895963
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,direction_constrained_ridge,81,9.033735039712989,7.053909988715501,-0.1214297908087183
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,direction_constrained_ridge,81,8.704533322717003,6.8351787346322155,-0.041186135326436
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,direction_constrained_ridge,81,9.012580413116098,7.208676688993263,-0.11618375439820627
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,direction_constrained_ridge,81,9.057454027957649,7.246400638109002,-0.12732637717787054
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,direction_constrained_ridge,81,8.676856342869618,6.817963330612704,-0.03457553980007022
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,direction_constrained_ridge,81,9.676360564606268,7.80392192517613,-0.2866531205294811
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,direction_constrained_ridge,81,8.96003154996645,7.0881549348126445,-0.10320563053959764
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,direction_constrained_ridge,81,8.619616037865121,6.795592617238838,-0.020970592342657746
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,direction_constrained_ridge,81,8.849538057755359,6.915334333866471,-0.07616433366414666
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,direction_constrained_ridge,81,8.819194700593338,7.1351752035268925,-0.06879706643591388
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,direction_constrained_ridge,81,8.90345199857297,7.02194625418782,-0.08931688420486661
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,direction_constrained_ridge,81,9.054841972389728,7.332380180436185,-0.1266762575012197
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,direction_constrained_ridge,81,8.988700363504844,7.391509958306885,-0.11027663128153886
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,direction_constrained_ridge,81,8.531454941248182,6.723141036488484,-0.0001925024986630941
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,direction_constrained_ridge,1620,8.930038158074037,7.075496214357406,-0.09583210809186116
