analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,gradient_weighted_ridge,81,8.546198838611328,6.777042795010741,-0.003652516813962947
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,gradient_weighted_ridge,81,9.082102426892153,7.204055316480034,-0.13347039928831128
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,gradient_weighted_ridge,81,8.802354989843518,7.0535218009663785,-0.06471935848214372
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,gradient_weighted_ridge,81,8.885106643352948,7.076344656089532,-0.08483248489417394
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,gradient_weighted_ridge,81,8.631789910318243,6.976798747014033,-0.023856554513269623
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,gradient_weighted_ridge,81,8.824724204241651,7.0606773821947275,-0.07013772625665626
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,gradient_weighted_ridge,81,8.631120855913496,6.835654719893467,-0.02369784138498776
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,gradient_weighted_ridge,81,8.692128479627812,6.898822692669087,-0.03822065813670994
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,gradient_weighted_ridge,81,8.994630315114982,7.1843467018291385,-0.11174203966425611
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,gradient_weighted_ridge,81,8.989332290125345,7.182227987559597,-0.11043274684743398
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,gradient_weighted_ridge,81,8.654654733860932,6.931410276890809,-0.02928794373118815
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,gradient_weighted_ridge,81,9.090321294416219,7.306679229498063,-0.13552280033201636
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,gradient_weighted_ridge,81,8.866781264989788,7.041295153101906,-0.08036220321918774
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,gradient_weighted_ridge,81,8.695796501549585,6.966181394841021,-0.03909708780842558
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,gradient_weighted_ridge,81,8.724718703727241,6.937649915424036,-0.046020652342225965
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,gradient_weighted_ridge,81,8.63969701311232,7.013326421275782,-0.025733209792248246
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,gradient_weighted_ridge,81,9.027802142774448,7.282151309831667,-0.11995727859528493
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,gradient_weighted_ridge,81,8.919601217630339,7.157346354661271,-0.09327210763109206
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,gradient_weighted_ridge,81,8.670065063384316,6.9722792057353145,-0.03295667191986018
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,gradient_weighted_ridge,81,8.689257222631069,6.824860669443427,-0.03753486386167082
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,gradient_weighted_ridge,1620,8.70619189002522,6.889509827066786,-0.0415829496625848
