analysis_scope,repeat,feature_scope,model,n_predictions,rmse,mae,r2
repeat,1,primary_37,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,primary_37,ridge,81,8.54154248963444,6.772545195441258,-0.0025591457534683837
repeat,1,t1_week_all_available,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,t1_week_all_available,ridge,81,8.606474206008237,6.860263346618133,-0.01785973556898779
repeat,1,primary_plus_adjusted,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,primary_plus_adjusted,ridge,81,8.54154248963444,6.772545195441258,-0.0025591457534683837
repeat,1,all_available,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,all_available,ridge,81,8.606474206008237,6.860263346618133,-0.01785973556898779
repeat,2,primary_37,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,primary_37,ridge,81,9.030918706040945,7.1685567643905825,-0.12073067175067043
repeat,2,t1_week_all_available,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,t1_week_all_available,ridge,81,9.032661313117732,7.185443983302567,-0.12116322610936492
repeat,2,primary_plus_adjusted,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,primary_plus_adjusted,ridge,81,9.030918706040945,7.1685567643905825,-0.12073067175067043
repeat,2,all_available,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,all_available,ridge,81,9.032661313117732,7.185443983302567,-0.12116322610936492
repeat,3,primary_37,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,primary_37,ridge,81,8.756423092850508,7.000022376764338,-0.053636646060290394
repeat,3,t1_week_all_available,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,t1_week_all_available,ridge,81,8.787218269368426,7.056481473136585,-0.061060677978594935
repeat,3,primary_plus_adjusted,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,primary_plus_adjusted,ridge,81,8.756423092850508,7.000022376764338,-0.053636646060290394
repeat,3,all_available,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,all_available,ridge,81,8.787218269368426,7.056481473136585,-0.061060677978594935
repeat,4,primary_37,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,primary_37,ridge,81,8.858321088004029,7.053296832636531,-0.07830154677236245
repeat,4,t1_week_all_available,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,t1_week_all_available,ridge,81,8.960322113347482,7.16236909345575,-0.10327718304557831
repeat,4,primary_plus_adjusted,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,primary_plus_adjusted,ridge,81,8.858321088004029,7.053296832636531,-0.07830154677236245
repeat,4,all_available,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,all_available,ridge,81,8.960322113347482,7.16236909345575,-0.10327718304557831
repeat,5,primary_37,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,primary_37,ridge,81,8.640679338402826,6.943030419058302,-0.025966472823011344
repeat,5,t1_week_all_available,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,t1_week_all_available,ridge,81,8.622169940133897,6.951035092273884,-0.021575687832327217
repeat,5,primary_plus_adjusted,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,primary_plus_adjusted,ridge,81,8.640679338402826,6.943030419058302,-0.025966472823011344
repeat,5,all_available,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,all_available,ridge,81,8.622169940133897,6.951035092273885,-0.021575687832327217
repeat,6,primary_37,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,primary_37,ridge,81,8.834825896879181,7.057993469798925,-0.07258910929783946
repeat,6,t1_week_all_available,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,t1_week_all_available,ridge,81,8.934897321162213,7.123974839622149,-0.09702499787655139
repeat,6,primary_plus_adjusted,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,primary_plus_adjusted,ridge,81,8.834825896879181,7.057993469798925,-0.07258910929783946
repeat,6,all_available,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,all_available,ridge,81,8.934897321162213,7.123974839622149,-0.09702499787655139
repeat,7,primary_37,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,primary_37,ridge,81,8.631010794409224,6.841211787455005,-0.023671733766323033
repeat,7,t1_week_all_available,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,t1_week_all_available,ridge,81,8.924510326770688,7.1473964500895875,-0.09447585405196546
repeat,7,primary_plus_adjusted,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,primary_plus_adjusted,ridge,81,8.631010794409224,6.841211787455005,-0.023671733766323033
repeat,7,all_available,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,all_available,ridge,81,8.924510326770688,7.1473964500895875,-0.09447585405196546
repeat,8,primary_37,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,primary_37,ridge,81,8.671999569680414,6.8875991859579875,-0.0334176797904131
repeat,8,t1_week_all_available,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,t1_week_all_available,ridge,81,8.680868285008225,6.901189212715351,-0.035532480105426645
repeat,8,primary_plus_adjusted,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,primary_plus_adjusted,ridge,81,8.671999569680414,6.8875991859579875,-0.0334176797904131
repeat,8,all_available,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,all_available,ridge,81,8.680868285008225,6.901189212715351,-0.035532480105426645
repeat,9,primary_37,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,primary_37,ridge,81,8.995528485295326,7.183890579254604,-0.11196407956321619
repeat,9,t1_week_all_available,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,t1_week_all_available,ridge,81,8.967424920681967,7.207086940299572,-0.10502700210217442
repeat,9,primary_plus_adjusted,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,primary_plus_adjusted,ridge,81,8.995528485295326,7.183890579254604,-0.11196407956321619
repeat,9,all_available,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,all_available,ridge,81,8.967424920681967,7.207086940299572,-0.10502700210217442
repeat,10,primary_37,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,primary_37,ridge,81,9.002428280235886,7.1799819937010945,-0.1136705421851476
repeat,10,t1_week_all_available,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,t1_week_all_available,ridge,81,8.904543389940041,7.177945045193815,-0.0895839590225751
repeat,10,primary_plus_adjusted,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,primary_plus_adjusted,ridge,81,9.002428280235886,7.1799819937010945,-0.1136705421851476
repeat,10,all_available,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,all_available,ridge,81,8.904543389940041,7.177945045193813,-0.0895839590225751
repeat,11,primary_37,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,primary_37,ridge,81,8.661714050368214,6.933003250567469,-0.03096774100608024
repeat,11,t1_week_all_available,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,t1_week_all_available,ridge,81,8.814658067946596,7.117195074598711,-0.06769776140356765
repeat,11,primary_plus_adjusted,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,primary_plus_adjusted,ridge,81,8.661714050368216,6.933003250567469,-0.030967741006080463
repeat,11,all_available,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,all_available,ridge,81,8.814658067946597,7.117195074598711,-0.06769776140356787
repeat,12,primary_37,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,primary_37,ridge,81,9.066097940993318,7.278430119698838,-0.12947911478768215
repeat,12,t1_week_all_available,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,t1_week_all_available,ridge,81,9.08539592647757,7.374144833520399,-0.13429262326035762
repeat,12,primary_plus_adjusted,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,primary_plus_adjusted,ridge,81,9.066097940993318,7.278430119698838,-0.12947911478768215
repeat,12,all_available,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,all_available,ridge,81,9.08539592647757,7.374144833520399,-0.13429262326035762
repeat,13,primary_37,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,primary_37,ridge,81,8.86465247974677,7.038900678841311,-0.07984350698314935
repeat,13,t1_week_all_available,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,t1_week_all_available,ridge,81,8.837395270158508,7.0536090782094885,-0.0732130678379681
repeat,13,primary_plus_adjusted,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,primary_plus_adjusted,ridge,81,8.86465247974677,7.038900678841311,-0.07984350698314935
repeat,13,all_available,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,all_available,ridge,81,8.837395270158508,7.0536090782094885,-0.0732130678379681
repeat,14,primary_37,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,primary_37,ridge,81,8.642331638450322,6.844624473095498,-0.02635888792528629
repeat,14,t1_week_all_available,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,t1_week_all_available,ridge,81,8.826008061834203,7.070377133055561,-0.0704491250842676
repeat,14,primary_plus_adjusted,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,primary_plus_adjusted,ridge,81,8.642331638450322,6.844624473095498,-0.02635888792528629
repeat,14,all_available,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,all_available,ridge,81,8.826008061834203,7.070377133055561,-0.0704491250842676
repeat,15,primary_37,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,primary_37,ridge,81,8.766772224616496,6.923688014599026,-0.05612868377171365
repeat,15,t1_week_all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,t1_week_all_available,ridge,81,8.813974195848383,6.983228641010996,-0.06753209635378465
repeat,15,primary_plus_adjusted,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,primary_plus_adjusted,ridge,81,8.766772224616496,6.923688014599026,-0.05612868377171365
repeat,15,all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,all_available,ridge,81,8.813974195848383,6.983228641010996,-0.06753209635378465
repeat,16,primary_37,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_37,ridge,81,8.62783588060945,6.971009208264287,-0.02291875782341135
repeat,16,t1_week_all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,t1_week_all_available,ridge,81,8.638943051114826,7.009219187185251,-0.02555419191374253
repeat,16,primary_plus_adjusted,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_plus_adjusted,ridge,81,8.62783588060945,6.971009208264287,-0.02291875782341135
repeat,16,all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,all_available,ridge,81,8.638943051114826,7.009219187185251,-0.02555419191374253
repeat,17,primary_37,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_37,ridge,81,8.870340381773337,7.12651191529132,-0.08122968981922862
repeat,17,t1_week_all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,t1_week_all_available,ridge,81,9.05227665158228,7.283701573745409,-0.12603795224244219
repeat,17,primary_plus_adjusted,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_plus_adjusted,ridge,81,8.870340381773337,7.12651191529132,-0.08122968981922862
repeat,17,all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,all_available,ridge,81,9.052276651582279,7.283701573745409,-0.12603795224244196
repeat,18,primary_37,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
