prediction_bin,feature_scope,n_patients,mean_actual_global_T1,mean_predicted_global_T1,model
"(97.512, 97.809]",all_available,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",all_available,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",all_available,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",all_available,20,89.925,98.11015,mean_baseline
"(94.524, 97.456]",all_available,21,100.9,96.81817288739859,ridge
"(97.456, 97.896]",all_available,20,95.22,97.7168034712928,ridge
"(97.896, 98.283]",all_available,20,97.515,98.06771115833769,ridge
"(98.283, 102.397]",all_available,20,97.935,99.11559061725649,ridge
"(97.512, 97.809]",primary_37,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",primary_37,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",primary_37,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",primary_37,20,89.925,98.11015,mean_baseline
"(94.45299999999999, 97.609]",primary_37,21,100.42857142857143,97.0142023031073,ridge
"(97.609, 97.915]",primary_37,20,95.21000000000001,97.80365250127969,ridge
"(97.915, 98.24]",primary_37,20,98.11,98.0514042078629,ridge
"(98.24, 101.928]",primary_37,20,97.845,98.992149543524,ridge
"(97.512, 97.809]",primary_plus_adjusted,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",primary_plus_adjusted,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",primary_plus_adjusted,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",primary_plus_adjusted,20,89.925,98.11015,mean_baseline
"(94.45299999999999, 97.609]",primary_plus_adjusted,21,100.42857142857143,97.0142023031073,ridge
"(97.609, 97.915]",primary_plus_adjusted,20,95.21000000000001,97.80365250127969,ridge
"(97.915, 98.24]",primary_plus_adjusted,20,98.11,98.0514042078629,ridge
"(98.24, 101.928]",primary_plus_adjusted,20,97.845,98.992149543524,ridge
"(97.512, 97.809]",t1_week_all_available,21,104.83809523809524,97.73566391941392,mean_baseline
"(97.809, 97.938]",t1_week_all_available,20,100.345,97.89235384615384,mean_baseline
"(97.938, 98.022]",t1_week_all_available,20,96.265,97.98385594951924,mean_baseline
"(98.022, 98.331]",t1_week_all_available,20,89.925,98.11015,mean_baseline
"(94.524, 97.456]",t1_week_all_available,21,100.9,96.81817288739859,ridge
"(97.456, 97.896]",t1_week_all_available,20,95.22,97.7168034712928,ridge
"(97.896, 98.283]",t1_week_all_available,20,97.515,98.06771115833769,ridge
"(98.283, 102.397]",t1_week_all_available,20,97.935,99.11559061725649,ridge
