analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,slope_selected_ridge,81,8.489211028529134,6.754896691421673,0.009687978273741904
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,slope_selected_ridge,81,9.132702229013319,7.2128289176042335,-0.14613556068167988
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,slope_selected_ridge,81,8.94976713524637,7.13104553435782,-0.10067946220520385
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,slope_selected_ridge,81,8.818348064560942,6.9777987031605795,-0.06859186886300983
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,slope_selected_ridge,81,8.621039983671118,6.8541167123167295,-0.0213079453917544
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,slope_selected_ridge,81,9.1329651349746,7.237119921095134,-0.1462015499586684
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,slope_selected_ridge,81,8.979578075854397,7.043592375098206,-0.1080242203656594
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,slope_selected_ridge,81,8.696578595669417,6.858433162511687,-0.03928400760760442
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,slope_selected_ridge,81,8.982812886305277,7.190604314553355,-0.10882267523599753
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,slope_selected_ridge,81,8.92406411840035,7.110585687450223,-0.09436641340801044
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,slope_selected_ridge,81,8.69818707627717,6.886119242251413,-0.039668485881665605
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,slope_selected_ridge,81,9.493769466415577,7.696706308586809,-0.2385534555658615
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,slope_selected_ridge,81,8.921756241763864,7.047335338536382,-0.09380045241546586
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,slope_selected_ridge,81,8.614937423000912,6.788250286239318,-0.01986255416659999
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,slope_selected_ridge,81,8.75170468244092,6.839314421480134,-0.05250144493560516
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,slope_selected_ridge,81,8.702707274948153,7.035319506668115,-0.04074933851608198
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,slope_selected_ridge,81,8.824000913534801,7.031539673665673,-0.06996231251352825
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,slope_selected_ridge,81,9.269939866306688,7.366906103956041,-0.18084046123685638
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,slope_selected_ridge,81,9.000445748453568,7.389795766079748,-0.11318008692937864
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,slope_selected_ridge,81,8.66128573868319,6.846296001031912,-0.03086578321571909
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,slope_selected_ridge,1620,8.817121274084053,6.985561950319342,-0.06829456893080499
