analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,elastic_net,81,8.762665094299594,6.959588762705992,-0.05513934768461315
repeat,1,pls,81,8.903041088431735,7.215125935508842,-0.08921633870278911
repeat,1,spline_ridge,81,8.764212302698759,7.0069514085118465,-0.055511988786171695
repeat,1,random_forest,81,8.55164506274805,6.884574140186425,-0.004932116869478698
repeat,1,extra_trees,81,8.561987142374603,6.765586643467113,-0.007364250669663841
repeat,1,hist_gradient_boosting,81,8.741909786019383,7.111183459630227,-0.050146846826766955
repeat,1,xgboost,81,8.557734665226624,6.907514840585215,-0.006363845140000768
repeat,2,elastic_net,81,8.756863142137462,6.987656953123638,-0.0537425485961045
repeat,2,pls,81,9.120361770814734,7.248908038053507,-0.14304024852250108
repeat,2,spline_ridge,81,8.692546814573214,6.879466508645094,-0.03832059555363432
repeat,2,random_forest,81,8.616126136026153,6.903562959733461,-0.02014402052728803
repeat,2,extra_trees,81,8.626485778539582,6.851045734261227,-0.02259864587484217
repeat,2,hist_gradient_boosting,81,9.045435012454128,7.3641244428403745,-0.12433649429550253
repeat,2,xgboost,81,8.78376311857548,7.118935742790316,-0.06022641990807531
repeat,3,elastic_net,81,8.765430866575231,7.088409821522068,-0.055805523025788784
repeat,3,pls,81,9.248546297440246,7.360310738053592,-0.1753963610009155
repeat,3,spline_ridge,81,8.76433619608426,7.040583730403581,-0.055541831029494615
repeat,3,random_forest,81,8.539482297452794,6.91361258625383,-0.0020755760880191154
repeat,3,extra_trees,81,8.584850582557602,6.941448782573691,-0.01275144953378593
repeat,3,hist_gradient_boosting,81,8.69679087146044,6.896139336027311,-0.03933474423348371
repeat,3,xgboost,81,8.517229007923195,6.839734470697096,0.0031402957212783855
repeat,4,elastic_net,81,8.968855504273339,7.13904395951574,-0.10537960267754687
repeat,4,pls,81,9.449738982098449,7.483415713946336,-0.22709169662080342
repeat,4,spline_ridge,81,8.746808917837617,7.054005321996364,-0.051324221011802784
repeat,4,random_forest,81,8.755707803652793,7.025650650830993,-0.05346451547198816
repeat,4,extra_trees,81,8.865472477839837,7.117247273968725,-0.08004329159341284
