feature_name,n_patients,missing_percent
app_foreground_event_count,67,17.28
unique_foreground_apps,67,17.28
app_use_diversity,67,17.28
low_battery_event_count,0,100.0
charging_or_plugged_event_count,0,100.0
unique_bluetooth_addresses,1,98.77
bluetooth_address_diversity_ratio,1,98.77
call_event_count,9,88.89
incoming_call_count,9,88.89
outgoing_call_count,9,88.89
missed_rejected_blocked_call_count,9,88.89
total_call_duration_seconds,9,88.89
unique_gsm_cell_count,71,12.35
unique_gsm_lac_count,71,12.35
gsm_cell_transition_count,71,12.35
keyboard_median_inter_event_interval_ms,57,29.63
keyboard_inter_event_interval_iqr_ms,57,29.63
keyboard_long_pause_count_2s,57,29.63
keyboard_typing_burst_count,57,29.63
keyboard_median_word_completion_time_ms,44,45.68
keyboard_deletion_event_count,57,29.63
location_distinct_observation_count,1,98.77
location_total_distance_km,1,98.77
message_distinct_event_count,58,28.4
outgoing_message_count,58,28.4
activity_transition_count,71,12.35
activity_still_fraction,71,12.35
activity_active_hour_count,71,12.35
activity_unknown_fraction,71,12.35
activity_state_diversity,71,12.35
screen_event_count,72,11.11
screen_unlock_event_count,72,11.11
screen_on_event_count,72,11.11
screen_off_event_count,72,11.11
screen_active_hour_count,72,11.11
night_screen_event_count,72,11.11
screen_transition_count,72,11.11
median_unlocked_session_duration_seconds,70,13.58
telephony_event_count,71,12.35
telephony_mobile_data_enabled_fraction,71,12.35
telephony_network_type_diversity,71,12.35
unique_gsm_neighbor_cell_count,43,46.91
unique_gsm_neighbor_lac_count,43,46.91
gsm_neighbor_cell_transition_count,43,46.91
touch_distinct_event_count,65,19.75
touch_click_event_count,65,19.75
touch_scroll_event_count,65,19.75
touch_scroll_direction_change_count,63,22.22
touch_unique_app_count,65,19.75
touch_app_diversity,65,19.75
touch_active_hour_count,65,19.75
touch_scroll_index_change_median,63,22.22
significant_moving_event_count,0,100.0
significant_moving_fraction,0,100.0
significant_active_hour_count,0,100.0
significant_motion_transition_count,0,100.0
sensor_linear_accelerometer_event_count,0,100.0
sensor_linear_accelerometer_active_hour_count,0,100.0
sensor_linear_accelerometer_resolution,0,100.0
sensor_linear_accelerometer_maximum_range,0,100.0
sensor_linear_accelerometer_power_ma,0,100.0
barometer_pressure_range,0,100.0
barometer_pressure_sd,0,100.0
barometer_large_vertical_shift_count,0,100.0
barometer_estimated_elevation_change_m,0,100.0
barometer_upward_transition_count,0,100.0
barometer_downward_transition_count,0,100.0
