analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
repeat,1,30,Memory,ridge,30,17.126110814134638,13.952016830212006,-0.4282454273329517
repeat,2,30,Memory,ridge,30,14.821839229642801,12.07215796042349,-0.06976784354867704
repeat,3,30,Memory,ridge,30,15.065534891394554,12.104865276038568,-0.10523455328889209
repeat,4,30,Memory,ridge,30,15.828270363439042,12.77509429849778,-0.21997873986856598
repeat,5,30,Memory,ridge,30,16.056401662635015,13.14124441492333,-0.2553990345960986
repeat,6,30,Memory,ridge,30,15.7786699635684,12.727547818856902,-0.21234472543124272
repeat,7,30,Memory,ridge,30,15.638913539239075,12.842089727758351,-0.1909636324853281
repeat,8,30,Memory,ridge,30,15.88743904145322,13.297397817560519,-0.2291167500749114
repeat,9,30,Memory,ridge,30,15.254102164499697,12.356026927848434,-0.13307496552789355
repeat,10,30,Memory,ridge,30,14.889278325628496,12.235843179158952,-0.07952483827801049
repeat,1,30,Memory,domain_group_ridge,30,14.809153270819742,11.942028685443205,-0.06793740632626322
repeat,2,30,Memory,domain_group_ridge,30,15.300212183394512,11.953487243673992,-0.13993542471903608
repeat,3,30,Memory,domain_group_ridge,30,16.222274234851252,12.79764289681128,-0.2814711117923747
repeat,4,30,Memory,domain_group_ridge,30,15.634302115839779,12.534537115005849,-0.19026138065251863
repeat,5,30,Memory,domain_group_ridge,30,17.3746482164779,13.959414440309967,-0.4700001638413107
repeat,6,30,Memory,domain_group_ridge,30,14.979898695471634,11.914311692064222,-0.09270541549633915
repeat,7,30,Memory,domain_group_ridge,30,16.22383289201571,13.040628702893894,-0.28171737443788025
repeat,8,30,Memory,domain_group_ridge,30,14.700531366716625,11.85919762980478,-0.05232868515488742
repeat,9,30,Memory,domain_group_ridge,30,16.53005813994043,13.471408879172468,-0.3305589018951536
repeat,10,30,Memory,domain_group_ridge,30,14.829459546608645,11.974152376921742,-0.07086812071372561
pooled,pooled,30,Memory,mean_baseline,300,14.461352734674119,11.678333333333333,-0.018364335750828964
pooled,pooled,30,Memory,ridge,300,14.77512637406205,11.928754122004959,-0.0630354584936883
pooled,pooled,30,Memory,domain_group_ridge,300,15.417930419982563,12.293743406330112,-0.15754399287602094
repeat,1,30,Executive function,ridge,30,10.693641054347552,8.536998841630208,-0.3292779770527756
repeat,2,30,Executive function,ridge,30,10.03590449005232,8.273273466707662,-0.17078633263213883
repeat,3,30,Executive function,ridge,30,11.031861357735485,9.13549215640253,-0.41469296975808656
repeat,4,30,Executive function,ridge,30,10.458331979681232,8.73985770394376,-0.27142120963531835
repeat,5,30,Executive function,ridge,30,9.676125137616216,7.869076787116002,-0.08834743346352392
repeat,6,30,Executive function,ridge,30,9.571260816153512,7.749763306733841,-0.06488548314093756
repeat,7,30,Executive function,ridge,30,9.797922829996708,8.208420385275168,-0.11591890211773803
repeat,8,30,Executive function,ridge,30,9.985336376335914,8.0956898579736,-0.15901752811186465
repeat,9,30,Executive function,ridge,30,9.40898104493067,7.739673148154867,-0.029081550295032343
repeat,10,30,Executive function,ridge,30,10.351497745490887,8.60005164085562,-0.2455781712435734
repeat,1,30,Executive function,domain_group_ridge,30,10.12296334190474,8.146322109522256,-0.19118696725480322
repeat,2,30,Executive function,domain_group_ridge,30,9.4014779923387,7.649477040719591,-0.027440953006758972
repeat,3,30,Executive function,domain_group_ridge,30,9.620634506026136,7.781793354236697,-0.07590031966258004
repeat,4,30,Executive function,domain_group_ridge,30,11.327510396486472,8.866350440380835,-0.4915353259296158
repeat,5,30,Executive function,domain_group_ridge,30,9.880608678217179,7.850840156902637,-0.13483312390568503
repeat,6,30,Executive function,domain_group_ridge,30,10.105404449800218,8.19146963887684,-0.18705817951519266
repeat,7,30,Executive function,domain_group_ridge,30,10.08427099046632,8.419502644535884,-0.18209837528299588
repeat,8,30,Executive function,domain_group_ridge,30,10.230416114499496,8.203839172678208,-0.21660949677536978
repeat,9,30,Executive function,domain_group_ridge,30,10.532915989551723,8.648194057203174,-0.28962025437015226
repeat,10,30,Executive function,domain_group_ridge,30,10.633515421690426,8.329032888526276,-0.3143721108239035
pooled,pooled,30,Executive function,mean_baseline,300,9.316756782509913,7.615916666666667,-0.009006865535042818
pooled,pooled,30,Executive function,ridge,300,9.626976996788146,7.88609776688703,-0.07731938140722461
pooled,pooled,30,Executive function,domain_group_ridge,300,9.83895362393807,8.00387284627027,-0.1252847464075435
repeat,1,30,Processing speed,ridge,25,14.070181354246168,11.45318177697502,-0.15973614641902945
repeat,2,30,Processing speed,ridge,25,11.92517632144635,10.078499395173612,0.1669147962389569
repeat,3,30,Processing speed,ridge,25,14.322997709048083,12.556728218114849,-0.20178740411979024
repeat,4,30,Processing speed,ridge,25,13.094705306065633,10.069086812752124,-0.00450305352484448
repeat,5,30,Processing speed,ridge,25,12.416852350522094,10.561358390298544,0.0968022712136748
repeat,6,30,Processing speed,ridge,25,21.180536162658207,14.211425834891731,-1.6280504752971585
repeat,7,30,Processing speed,ridge,25,15.12905679877192,12.412872944358119,-0.3408602296615364
repeat,8,30,Processing speed,ridge,25,18.392898905845477,13.685985744325396,-0.9818015812144276
repeat,9,30,Processing speed,ridge,25,17.10690749524684,13.088025928717336,-0.7143631257298804
repeat,10,30,Processing speed,ridge,25,12.345157042379801,10.306044699628291,0.10720234504995307
repeat,1,30,Processing speed,domain_group_ridge,25,14.33174043750177,12.317796861056063,-0.2032549890265507
repeat,2,30,Processing speed,domain_group_ridge,25,13.199725792534865,11.23075272756157,-0.02068003944749064
repeat,3,30,Processing speed,domain_group_ridge,25,14.972843463713414,12.559432323669009,-0.3133133875485443
repeat,4,30,Processing speed,domain_group_ridge,25,12.51437253835001,10.806640710200504,0.08255938685155262
repeat,5,30,Processing speed,domain_group_ridge,25,12.902911750145615,10.714840802933441,0.0247066639582193
repeat,6,30,Processing speed,domain_group_ridge,25,12.190398831405565,10.001586021650349,0.12944616675175313
repeat,7,30,Processing speed,domain_group_ridge,25,14.259823501092043,11.368866895331452,-0.19120937638484659
repeat,8,30,Processing speed,domain_group_ridge,25,13.232462831423812,10.94436061457762,-0.02574915652739307
repeat,9,30,Processing speed,domain_group_ridge,25,15.261472584821512,12.796947568656224,-0.36443447674980445
repeat,10,30,Processing speed,domain_group_ridge,25,12.757515015723591,10.930273471456262,0.04656304887022189
pooled,pooled,30,Processing speed,mean_baseline,250,13.056208446559053,10.796520000000001,0.0013945011179209432
pooled,pooled,30,Processing speed,ridge,250,20.870856436052218,16.240602805270182,-1.5517630494906873
pooled,pooled,30,Processing speed,domain_group_ridge,250,15.554412542057886,12.45998725325597,-0.41731710889533624
repeat,1,30,Attention,ridge,30,11.513175277533907,9.23126859461015,-0.1428681889796828
repeat,2,30,Attention,ridge,30,12.011435077321758,9.565541206838693,-0.24392933055135302
repeat,3,30,Attention,ridge,30,11.1781718336242,9.039278780438018,-0.07732682689547454
repeat,4,30,Attention,ridge,30,11.091810765434548,8.743193605497204,-0.060744564052611194
repeat,5,30,Attention,ridge,30,11.604776067992537,9.13748395044517,-0.1611262426102833
repeat,6,30,Attention,ridge,30,14.211075317162795,11.679746423715272,-0.7412446457933493
repeat,7,30,Attention,ridge,30,11.499413128034321,9.151055594478725,-0.1401375917020673
repeat,8,30,Attention,ridge,30,11.875307026824414,9.403829538660723,-0.2158936916696821
repeat,9,30,Attention,ridge,30,11.147258096826889,8.679878478208176,-0.0713762749916591
repeat,10,30,Attention,ridge,30,10.76431118277082,8.345114668868812,0.0009702987377029348
repeat,1,30,Attention,domain_group_ridge,30,11.55377938942904,9.175596331947354,-0.15094362888673785
repeat,2,30,Attention,domain_group_ridge,30,11.658143249468846,9.0244448530352,-0.17183020052205378
repeat,3,30,Attention,domain_group_ridge,30,11.310883205064586,8.702227291711012,-0.10305952092904569
repeat,4,30,Attention,domain_group_ridge,30,11.106691580204823,8.58908869514383,-0.0635926710291228
repeat,5,30,Attention,domain_group_ridge,30,11.407092717910912,8.823907131471678,-0.12190440899652022
repeat,6,30,Attention,domain_group_ridge,30,11.680576952666682,9.014637088950554,-0.17634443297836944
repeat,7,30,Attention,domain_group_ridge,30,11.448414815730242,8.666888590832635,-0.13004730977401002
repeat,8,30,Attention,domain_group_ridge,30,11.299206218518004,8.845199969468924,-0.1007831712763132
repeat,9,30,Attention,domain_group_ridge,30,11.994469903980463,9.37897584833819,-0.2404179144531584
repeat,10,30,Attention,domain_group_ridge,30,11.02396217557298,8.678685049448795,-0.047807108820007826
