analysis_scope,repeat,model,n_predictions,rmse,mae,r2,cohort_size
repeat,1,elastic_net,30,8.45828349108578,6.596747132316982,-0.31333807881290276,30
repeat,1,pls,30,9.27484799284667,7.716948155383238,-0.5791582862183722,30
repeat,1,spline_ridge,30,8.455885871114996,6.544130305718803,-0.312593615870413,30
repeat,1,random_forest,30,7.9687531580480835,6.196099582143544,-0.1657161431127725,30
repeat,1,extra_trees,30,7.842973686541026,6.044552942250207,-0.12920704279011508,30
repeat,1,hist_gradient_boosting,30,7.947090779363921,6.3134204395048625,-0.15938695683464665,30
repeat,1,xgboost,30,7.876434602155903,6.256710561116536,-0.13886279422301517,30
repeat,2,elastic_net,30,8.450172024877427,6.677196980982944,-0.31082031281112465,30
repeat,2,pls,30,9.3387204933692,7.4537441836799045,-0.6009833550654082,30
repeat,2,spline_ridge,30,7.793794173926123,5.892274442813782,-0.11509001494034954,30
repeat,2,random_forest,30,8.061931319014148,6.126142533508609,-0.19313682580017688,30
repeat,2,extra_trees,30,7.73852226714192,5.836654308006813,-0.0993301409983014,30
repeat,2,hist_gradient_boosting,30,8.100086293231271,6.228188450818451,-0.20445714837631135,30
repeat,2,xgboost,30,7.9334277031611995,6.012823486328126,-0.155403819961613,30
repeat,3,elastic_net,30,7.861188625610776,6.390803981621175,-0.13445819443767615,30
repeat,3,pls,30,8.512867272245796,6.930505820828031,-0.33034348347445497,30
repeat,3,spline_ridge,30,7.444154751870755,5.920332405270644,-0.017285485137511047,30
repeat,3,random_forest,30,7.404282842859726,5.555866973803245,-0.006417229380471179,30
repeat,3,extra_trees,30,7.1852200451311425,5.421154783003855,0.05225345936206005,30
repeat,3,hist_gradient_boosting,30,7.496934025548671,5.870249610321102,-0.031761789913127725,30
repeat,3,xgboost,30,7.3419016021141275,5.7016344706217446,0.01046950734525165,30
repeat,4,elastic_net,30,7.827637226683041,6.2209327600274555,-0.12479516867525087,30
repeat,4,pls,30,7.874129660745819,6.053038286303243,-0.13819634345977239,30
repeat,4,spline_ridge,30,7.872614437506654,6.40072294285834,-0.13775833807004956,30
repeat,4,random_forest,30,7.705625101232679,5.915887833714023,-0.09000330190483719,30
repeat,4,extra_trees,30,7.543062830438653,5.829030902013737,-0.044497759424773076,30
repeat,4,hist_gradient_boosting,30,7.612836981031547,6.01598101956338,-0.06391056684270158,30
repeat,4,xgboost,30,7.537060333167324,5.896293334960936,-0.04283607357301822,30
repeat,5,elastic_net,30,8.002428880384334,6.361292901197542,-0.17558952742954714,30
repeat,5,pls,30,10.44853757639076,8.555114646482062,-1.0041170375730797,30
repeat,5,spline_ridge,30,7.907887016617285,6.241587839985255,-0.14797643640985192,30
repeat,5,random_forest,30,7.990186797678898,6.237078652431439,-0.1719954546091329,30
repeat,5,extra_trees,30,7.68118474936214,5.8382670680862265,-0.08309982139131344,30
repeat,5,hist_gradient_boosting,30,7.770443206515999,6.195033809297665,-0.10841818779702717,30
repeat,5,xgboost,30,7.838906069607101,6.15463383992513,-0.1280360607653772,30
repeat,6,elastic_net,30,8.364614602444048,6.614054001660448,-0.28441075588132914,30
repeat,6,pls,30,8.593219584237055,7.295162210110393,-0.3555760317262162,30
repeat,6,spline_ridge,30,7.268707266692302,5.740486027129017,0.030101204635886725,30
repeat,6,random_forest,30,7.530779342071538,5.825916055909413,-0.041098707923463706,30
repeat,6,extra_trees,30,7.440129418881034,5.7374473494370495,-0.01618561394368001,30
repeat,6,hist_gradient_boosting,30,7.817789913232563,6.204837729860973,-0.12196692223680716,30
repeat,6,xgboost,30,7.579367912283156,5.974728393554687,-0.054576379786274165,30
repeat,7,elastic_net,30,8.016001350944807,6.3937991187554815,-0.17958061194547148,30
repeat,7,pls,30,8.72512441524112,7.112754160062745,-0.3975112710647626,30
repeat,7,spline_ridge,30,7.722196242509145,5.844444920202038,-0.09469650213385039,30
repeat,7,random_forest,30,7.635130628862692,5.83190975140691,-0.07015086239810331,30
repeat,7,extra_trees,30,7.569556722460347,5.910030894749766,-0.051847932638201755,30
repeat,7,hist_gradient_boosting,30,7.577702826567794,5.74931106996405,-0.05411307804248877,30
repeat,7,xgboost,30,7.590740793576072,5.8249207051595056,-0.05774354895640843,30
repeat,8,elastic_net,30,8.743954829746448,7.152982173863796,-0.4035499502448492,30
repeat,8,pls,30,9.196354463010014,7.711612008666217,-0.5525423902483606,30
repeat,8,spline_ridge,30,7.933715584787207,6.098966739482311,-0.1554876741486657,30
repeat,8,random_forest,30,8.013226616028884,6.173875097690068,-0.17876413078757136,30
repeat,8,extra_trees,30,7.65560123837288,5.839998833015206,-0.07589693499893868,30
repeat,8,hist_gradient_boosting,30,8.17312731628275,6.4101404029551645,-0.2262770222063908,30
repeat,8,xgboost,30,8.054531442205972,6.292882080078124,-0.19094752073903232,30
repeat,9,elastic_net,30,7.923209806916562,6.179143902264472,-0.1524295207990154,30
repeat,9,pls,30,8.629090979228108,7.370386849728708,-0.3669170420256067,30
repeat,9,spline_ridge,30,8.576627307003069,6.897227755488441,-0.3503462389568819,30
repeat,9,random_forest,30,7.9380688013352,6.111788190062476,-0.15675605036175622,30
repeat,9,extra_trees,30,7.71770278443213,5.897285596378902,-0.09342288992876902,30
repeat,9,hist_gradient_boosting,30,7.988995969481549,6.2690475680959725,-0.17164614081487017,30
repeat,9,xgboost,30,7.866214755884299,6.107683359781901,-0.13590931277142615,30
repeat,10,elastic_net,30,8.38463505733917,6.707142211667987,-0.29056651134815814,30
repeat,10,pls,30,8.071847472187033,6.768089378225013,-0.1960737408649198,30
repeat,10,spline_ridge,30,7.927516603944403,6.089317195996502,-0.15368270709449217,30
repeat,10,random_forest,30,8.037290134559388,6.444272487830803,-0.18585435895067026,30
repeat,10,extra_trees,30,7.909429846620404,6.288582963741061,-0.1484244208738077,30
repeat,10,hist_gradient_boosting,30,8.066522057254906,6.581795004748126,-0.19449603816229621,30
repeat,10,xgboost,30,7.844823778405233,6.39608891805013,-0.12973984660951232,30
repeat,1,mean_baseline,30,7.731992520258499,6.002777777777781,-0.09747569934188682,30
repeat,2,mean_baseline,30,7.655081373397238,6.006111111111109,-0.07575081920065596,30
repeat,3,mean_baseline,30,7.535998330236899,5.809444444444444,-0.042542214457705896,30
repeat,4,mean_baseline,30,7.698134243654976,5.979166666666669,-0.08788508549976659,30
repeat,5,mean_baseline,30,7.6689281084994745,5.986666666666669,-0.07964603800601489,30
repeat,6,mean_baseline,30,7.516425070027196,5.889166666666665,-0.0371336543845211,30
repeat,7,mean_baseline,30,7.502405169899406,5.9166666666666625,-0.03326826641537384,30
repeat,8,mean_baseline,30,7.535849045285697,5.905555555555556,-0.042500910222950994,30
repeat,9,mean_baseline,30,7.698755310654656,5.991111111111108,-0.08806062849747298,30
repeat,10,mean_baseline,30,7.782497724595446,6.006388888888888,-0.11185989909528327,30
pooled,pooled,mean_baseline,300,7.441823439931313,5.785583333333332,-0.016648411214762904,30
pooled,pooled,elastic_net,300,7.924667525412407,6.272658642207948,-0.15285360962283434,30
pooled,pooled,pls,300,9.707988875295705,7.776668650416041,-0.7300975943103909,30
pooled,pooled,spline_ridge,300,7.929723125421987,6.335629770617294,-0.15432502172331497,30
pooled,pooled,random_forest,300,7.893964230856203,6.124815978189022,-0.14393769384145605,30
pooled,pooled,extra_trees,300,7.724788409385871,6.035316423489191,-0.0954315552687186,30
pooled,pooled,hist_gradient_boosting,300,8.038999186805146,6.286495907785104,-0.18635873355930155,30
pooled,pooled,xgboost,300,7.825550215698337,6.107917470296225,-0.12419546103327228,30
repeat,1,elastic_net,20,9.262141916370238,7.39717652422072,-0.5402743258321956,20
repeat,1,pls,20,11.003560689569023,8.998852719708118,-1.1739107019886252,20
repeat,1,spline_ridge,20,8.441613463624183,6.5617998369483885,-0.27945830801871363,20
repeat,1,random_forest,20,8.114894138288113,6.190166091269847,-0.18233605002186448,20
repeat,1,extra_trees,20,8.250137166967393,6.312512433862386,-0.22207413577928747,20
repeat,1,hist_gradient_boosting,20,8.99577461932764,6.952259329221292,-0.45295561092678605,20
repeat,1,xgboost,20,8.015382530230543,6.151846466064454,-0.15351626246586347,20
repeat,2,elastic_net,20,8.930222717654027,6.668461106099842,-0.4318574870934242,20
repeat,2,pls,20,10.230608199877658,7.999875807868079,-0.8792221383436896,20
repeat,2,spline_ridge,20,8.258720892773917,6.222049371803351,-0.22461843440995666,20
repeat,2,random_forest,20,8.038721199304412,5.932328908730154,-0.16024350933272058,20
repeat,2,extra_trees,20,8.12068527102316,5.918611071428565,-0.18402418250133268,20
repeat,2,hist_gradient_boosting,20,8.113368763711007,6.303402581486891,-0.18189159915975206,20
repeat,2,xgboost,20,8.130927124924536,6.0352204895019534,-0.18701266176327547,20
repeat,3,elastic_net,20,9.189830704813545,6.978944205063252,-0.5163178101004162,20
repeat,3,pls,20,9.688877244495862,7.447132091914009,-0.6854742479080167,20
repeat,3,spline_ridge,20,8.64200511986685,6.628679966573903,-0.3409242746225467,20
repeat,3,random_forest,20,8.334921533937544,6.136585760582028,-0.24732103283525686,20
repeat,3,extra_trees,20,8.477872503312225,6.251476712962969,-0.29047316028263115,20
repeat,3,hist_gradient_boosting,20,8.191646635399495,6.119407439142515,-0.204807420972956,20
repeat,3,xgboost,20,8.283471635936953,6.121458206176758,-0.23196960547277068,20
repeat,4,elastic_net,20,8.89555513973914,7.08982818072594,-0.4207619787406909,20
repeat,4,pls,20,9.556126429854826,8.19080144978908,-0.6396040717998199,20
repeat,4,spline_ridge,20,8.650421113582912,6.802755167014124,-0.3435372574079876,20
repeat,4,random_forest,20,8.265467870010053,6.295236137566134,-0.22662016030150212,20
repeat,4,extra_trees,20,8.587708726146241,6.5098370105819665,-0.3241275630632714,20
repeat,4,hist_gradient_boosting,20,8.32715134348177,6.536826775141316,-0.24499649880782015,20
repeat,4,xgboost,20,8.20914111822286,6.273958358764649,-0.20995900788201083,20
repeat,5,elastic_net,20,11.775452315178185,8.995691726101347,-1.48960478789422,20
repeat,5,pls,20,11.428076342420132,8.535374338453455,-1.3448846308481688,20
repeat,5,spline_ridge,20,8.181491219005432,5.814775342689716,-0.2018220048919579,20
repeat,5,random_forest,20,7.759986161068884,5.730155310846563,-0.08117777043600172,20
repeat,5,extra_trees,20,7.705577533475403,5.688115191798909,-0.06606970908916221,20
repeat,5,hist_gradient_boosting,20,7.698282256216188,5.997297084606903,-0.06405205564434469,20
repeat,5,xgboost,20,7.77270076776995,5.753418045043945,-0.08472365614992028,20
repeat,6,elastic_net,20,7.9547833202836,6.4208919620430915,-0.1361401906536035,20
repeat,6,pls,20,9.343500389694347,7.691120586525651,-0.5674526498662991,20
repeat,6,spline_ridge,20,8.008550003630369,5.854716750310758,-0.1515505243750992,20
repeat,6,random_forest,20,7.541700138036481,5.597902718253968,-0.021206888311021244,20
repeat,6,extra_trees,20,7.861429289262244,5.8175251521164055,-0.10963012616808454,20
repeat,6,hist_gradient_boosting,20,7.943769541901784,6.076149391158397,-0.13299628761881843,20
repeat,6,xgboost,20,7.498760494097101,5.6010564422607425,-0.00961124652949441,20
repeat,7,elastic_net,20,8.183101411571117,6.583648211843299,-0.20229511064611683,20
repeat,7,pls,20,8.790530730387024,7.4301398668753365,-0.387411874832863,20
repeat,7,spline_ridge,20,7.906842553482062,5.811200376276345,-0.12248719686934506,20
repeat,7,random_forest,20,7.5839501157116,5.599459279100539,-0.032680912264987816,20
repeat,7,extra_trees,20,7.57973795826415,5.610110806878318,-0.031534120269648636,20
repeat,7,hist_gradient_boosting,20,7.74165456409568,5.967517182694183,-0.07607562091032327,20
repeat,7,xgboost,20,7.558005354899301,5.599997100830079,-0.025627376866360407,20
repeat,8,elastic_net,20,8.410137536549582,6.421103582936158,-0.26993475995052196,20
repeat,8,pls,20,9.387371610528197,7.905180842199053,-0.5822067569210541,20
repeat,8,spline_ridge,20,8.5069162055328,6.787041784941482,-0.29933017442794996,20
repeat,8,random_forest,20,7.652395143758545,5.763123650793637,-0.051404881782016076,20
repeat,8,extra_trees,20,7.784358557854391,5.908328869047596,-0.0879799152407601,20
repeat,8,hist_gradient_boosting,20,8.09031410136275,6.666706645815749,-0.1751842994160986,20
repeat,8,xgboost,20,7.71905390689669,5.857270202636719,-0.0698018930872546,20
repeat,9,elastic_net,20,9.92685704832934,7.720299031646587,-0.7692888884134776,20
repeat,9,pls,20,10.26717487027681,8.28713292168304,-0.8926797355082956,20
repeat,9,spline_ridge,20,7.891334507126657,5.771996527373071,-0.11808834556401426,20
repeat,9,random_forest,20,7.838209045454699,5.84925534391533,-0.10308479481054955,20
repeat,9,extra_trees,20,7.947533289326078,5.94121611111109,-0.13407016622252144,20
repeat,9,hist_gradient_boosting,20,8.100702895429437,6.225271179012145,-0.1782043518310772,20
repeat,9,xgboost,20,7.847152713095834,5.921507034301758,-0.10560354679496942,20
repeat,10,elastic_net,20,9.315205652433146,6.853414324267175,-0.557973652502104,20
repeat,10,pls,20,9.182019540273032,7.197095109424964,-0.5137412285232859,20
repeat,10,spline_ridge,20,8.064545689394395,6.135458169189963,-0.16771007622310563,20
repeat,10,random_forest,20,7.667638031381385,5.810283749999991,-0.055597662678108284,20
repeat,10,extra_trees,20,7.733808358169016,5.869286990740749,-0.07389551011444118,20
repeat,10,hist_gradient_boosting,20,7.793686181122607,6.258873072418178,-0.0905888256057692,20
repeat,10,xgboost,20,7.710694278813402,5.863933715820313,-0.06748598665482364,20
repeat,1,mean_baseline,20,8.00668958590253,6.143125000000001,-0.15101556706843078,20
repeat,2,mean_baseline,20,8.094595033106968,5.971874999999999,-0.17642830916347818,20
repeat,3,mean_baseline,20,8.285527668772824,6.098125000000002,-0.23258125344503444,20
repeat,4,mean_baseline,20,8.23340281262857,6.265,-0.21712151972938898,20
repeat,5,mean_baseline,20,7.813991857559104,5.74875,-0.09627907070692521,20
repeat,6,mean_baseline,20,7.474536983987704,5.581875000000002,-0.003099016358416584,20
repeat,7,mean_baseline,20,7.595805791685306,5.611250000000002,-0.03591213074165012,20
repeat,8,mean_baseline,20,7.725250804990088,5.823124999999999,-0.07152026802594791,20
repeat,9,mean_baseline,20,7.8330539622167805,5.896250000000001,-0.1016343042870147,20
repeat,10,mean_baseline,20,7.7287177542591134,5.848749999999999,-0.0724822406775345,20
pooled,pooled,mean_baseline,200,7.530718757197086,5.625062500000001,-0.018235118796468885,20
pooled,pooled,elastic_net,200,8.923395465934368,6.568097678878075,-0.42966898295316946,20
pooled,pooled,pls,200,10.332145641541713,7.887114603454891,-0.9167093128249448,20
pooled,pooled,spline_ridge,200,7.80958902477563,5.808348944967829,-0.09504401090733428,20
