analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,elastic_net,81,8.51768876525417,6.7676823218421305,0.0030326724728297894
repeat,1,pls,81,8.791833709374519,6.856138853983023,-0.06217560374516906
repeat,1,spline_ridge,81,8.568214974975866,6.783426164966937,-0.008830260254366618
repeat,2,elastic_net,81,9.183777794227787,7.337086469036042,-0.158991167754712
repeat,2,pls,81,9.38044510556226,7.172763751634314,-0.20916142718708075
repeat,2,spline_ridge,81,8.999324787583635,7.170150593168402,-0.11290282208096825
repeat,3,elastic_net,81,8.855503945067253,7.010446254807704,-0.07761580812656765
repeat,3,pls,81,10.028281682560456,7.778827149872799,-0.3819439867572203
repeat,3,spline_ridge,81,8.577284198106277,6.823682524578974,-0.010967029442392251
repeat,4,elastic_net,81,8.897707351654102,7.037200347280247,-0.08791164900233572
repeat,4,pls,81,9.849337575966713,7.620307742039898,-0.33306534159701995
repeat,4,spline_ridge,81,8.665150441366603,6.821402603779231,-0.03178594188857198
repeat,5,elastic_net,81,8.804889236564428,6.983249104265688,-0.06533252392894773
repeat,5,pls,81,9.805635305705193,7.573637392441752,-0.32126175911084864
repeat,5,spline_ridge,81,8.957276123336817,7.140253513889432,-0.10252720998962062
repeat,6,elastic_net,81,8.559637018100405,6.880145909067846,-0.006811316817115998
repeat,6,pls,81,9.227047977514761,7.323812075509885,-0.1699382755580221
repeat,6,spline_ridge,81,8.565105286547194,6.897826507199337,-0.008098117443138264
repeat,7,elastic_net,81,8.794939846617886,6.960765419434334,-0.06292626535284085
repeat,7,pls,81,9.207832797302691,7.185576811837859,-0.16507059368677202
repeat,7,spline_ridge,81,8.767090592839429,6.895442250366907,-0.05620539248705825
repeat,8,elastic_net,81,9.269021197893073,7.483518555819195,-0.18060642582864372
repeat,8,pls,81,9.23734385693603,7.386792477718388,-0.17255065253383894
repeat,8,spline_ridge,81,8.893487553117007,7.1574702384995135,-0.0868799946217167
repeat,9,elastic_net,81,9.271716780638133,7.369081523000805,-0.18129320493776624
repeat,9,pls,81,9.222246955621191,7.168315830372677,-0.16872110664442297
repeat,9,spline_ridge,81,9.143600014197693,7.413535461234585,-0.14887249242354517
repeat,10,elastic_net,81,9.073238678341047,7.2387371591911345,-0.1312590403952414
repeat,10,pls,81,9.715418524433755,7.680014517332393,-0.29706105625008816
repeat,10,spline_ridge,81,9.0676715488544,7.261037166659101,-0.12987123750111107
repeat,11,elastic_net,81,8.777279021708663,6.945884025828537,-0.05866169797147891
repeat,11,pls,81,8.793134509138117,7.0030598413753395,-0.06248993634819855
repeat,11,spline_ridge,81,8.816214782680717,7.03931989825915,-0.06807491672639565
repeat,12,elastic_net,81,8.925106424191643,7.112736083720099,-0.09462206622461289
repeat,12,pls,81,9.736736554013179,7.527195337719091,-0.302759446334516
repeat,12,spline_ridge,81,8.945014873281723,7.1202155788948325,-0.09951086679307886
repeat,13,elastic_net,81,8.824389878838574,7.101136727361836,-0.0700566432808607
repeat,13,pls,81,9.921008117011224,7.954809226626442,-0.3525365245797143
repeat,13,spline_ridge,81,8.828099464923861,7.137507682821125,-0.07095649055160869
repeat,14,elastic_net,81,9.071401378956045,7.209492472449962,-0.13080093471275145
repeat,14,pls,81,9.219429142010522,7.1254317747833875,-0.16800702142406432
repeat,14,spline_ridge,81,8.708755210462488,6.889736658767788,-0.042196376046920614
repeat,15,elastic_net,81,8.81418273189414,6.969369558151251,-0.06758261194429904
repeat,15,pls,81,9.040849190262026,7.010441820417848,-0.12319675911354522
repeat,15,spline_ridge,81,8.878741015256809,7.031594113227037,-0.08327861127374203
repeat,16,elastic_net,81,8.774708799433666,7.038768846590187,-0.05804177977567715
repeat,16,pls,81,9.21636036287482,7.232611170832731,-0.16722958521229736
repeat,16,spline_ridge,81,8.700521116537042,7.0203148914396785,-0.04022652255253001
repeat,17,elastic_net,81,8.787652496080218,6.891297105885506,-0.061165546722948605
repeat,17,pls,81,9.162447380681876,7.176037224625289,-0.15361363100543057
repeat,17,spline_ridge,81,8.80759057556847,7.0125117443554,-0.06598631199598981
