analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,1,Memory,mean_baseline,81,13.831338996400355,11.018256172839505,-0.009007055696499622
repeat,1,Memory,domain_group_ridge,81,13.891873351345433,10.994694327835274,-0.017858440511049567
repeat,2,Memory,mean_baseline,81,14.155130204669247,11.219759615384616,-0.056801664917154326
repeat,2,Memory,domain_group_ridge,81,14.321208549861021,11.292635943321523,-0.08174548189448672
repeat,3,Memory,mean_baseline,81,13.884472662388035,11.130913461538462,-0.016774231488621005
repeat,3,Memory,domain_group_ridge,81,14.22838795376729,11.145789283235747,-0.06776860694632947
repeat,4,Memory,mean_baseline,81,13.829417767534396,11.007338853276353,-0.00872676485165802
repeat,4,Memory,domain_group_ridge,81,14.081585539383816,11.116710078365621,-0.045848714810793556
repeat,5,Memory,mean_baseline,81,13.91091405544687,11.101185897435897,-0.020650579895709953
repeat,5,Memory,domain_group_ridge,81,13.952509654055097,11.099218960098135,-0.026763484375659674
repeat,6,Memory,mean_baseline,81,14.07225211410659,11.175326745014244,-0.04446277487670125
repeat,6,Memory,domain_group_ridge,81,14.336791111367209,11.301544081184467,-0.0841008049036105
repeat,7,Memory,mean_baseline,81,13.862336547650333,11.11398148148148,-0.013534714984432927
repeat,7,Memory,domain_group_ridge,81,14.065636283131964,11.204080900908268,-0.04348093276434151
repeat,8,Memory,mean_baseline,81,13.93600658777926,11.151838497150996,-0.024336003570202713
repeat,8,Memory,domain_group_ridge,81,13.947271045803951,11.142305727282,-0.02599261203362979
repeat,9,Memory,mean_baseline,81,14.076706767308725,11.206529855175688,-0.04512414106451179
repeat,9,Memory,domain_group_ridge,81,14.28427541327942,11.410443602278212,-0.07617322354530254
repeat,10,Memory,mean_baseline,81,13.83507509346177,11.068521486229818,-0.00955223175438058
repeat,10,Memory,domain_group_ridge,81,14.26650040466734,11.362034662022936,-0.07349656184043929
repeat,11,Memory,mean_baseline,81,13.976807068486682,11.150979047958215,-0.030342685672400727
repeat,11,Memory,domain_group_ridge,81,13.961964956243412,11.136023799521332,-0.028155584984058013
repeat,12,Memory,mean_baseline,81,13.91593034321361,11.141544693732195,-0.021386807596305735
repeat,12,Memory,domain_group_ridge,81,13.817371644653605,11.060785314512536,-0.006970226060032392
repeat,13,Memory,mean_baseline,81,14.049452731565532,11.251315586419755,-0.0410811106526201
repeat,13,Memory,domain_group_ridge,81,14.06661340620081,11.251739479980557,-0.04362591656547288
repeat,14,Memory,mean_baseline,81,14.06134848516509,11.173227386039887,-0.04284483591606669
repeat,14,Memory,domain_group_ridge,81,14.176223864508602,11.241101905525952,-0.05995365630090266
repeat,15,Memory,mean_baseline,81,13.9337833951223,11.17741304605888,-0.024009207709418945
repeat,15,Memory,domain_group_ridge,81,14.117528668317348,11.32735685563417,-0.051194568876467894
repeat,16,Memory,mean_baseline,81,13.84559740660628,11.045186965811967,-0.011088452448392072
repeat,16,Memory,domain_group_ridge,81,14.028484106849035,11.04606751155546,-0.03797582975643765
repeat,17,Memory,mean_baseline,81,13.842135557782042,11.013299501424502,-0.010582905785248009
repeat,17,Memory,domain_group_ridge,81,13.9058216784319,11.015586153018608,-0.019903456277556852
repeat,18,Memory,mean_baseline,81,13.914819028780444,11.091537571225071,-0.021223679936164697
repeat,18,Memory,domain_group_ridge,81,13.971571849284176,11.062635761064634,-0.029570970133569796
repeat,19,Memory,mean_baseline,81,13.853847550944378,11.035890313390313,-0.012293761353296295
repeat,19,Memory,domain_group_ridge,81,13.882793327514289,10.988690252631022,-0.016528287518638995
repeat,20,Memory,mean_baseline,81,13.894283698119297,11.1680116334283,-0.01821168367522885
repeat,20,Memory,domain_group_ridge,81,13.89775645078104,11.13969807023656,-0.018720733196180506
pooled,pooled,Memory,mean_baseline,1620,13.76783551641748,10.991816981244066,0.0002369322291142506
pooled,pooled,Memory,domain_group_ridge,1620,13.798722868340697,11.006677701545037,-0.004253922193482307
repeat,1,Executive function,mean_baseline,81,11.668074246149871,9.416925747863244,-0.046267132570514846
repeat,1,Executive function,domain_group_ridge,81,11.574969542840211,9.336902428351571,-0.029636497432496745
repeat,2,Executive function,mean_baseline,81,11.650463620303357,9.503368352326687,-0.04311125373819924
repeat,2,Executive function,domain_group_ridge,81,11.730377771878791,9.522041538846903,-0.05747038096564272
repeat,3,Executive function,mean_baseline,81,11.49379491509532,9.317170287274452,-0.015245567617790723
repeat,3,Executive function,domain_group_ridge,81,11.460621187314937,9.280462880085816,-0.009393561907315773
repeat,4,Executive function,mean_baseline,81,11.535928749252227,9.360153430674263,-0.022702563839645862
