analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,1,Memory,mean_baseline,81,13.831338996400355,11.018256172839505,-0.009007055696499622
repeat,1,Memory,ridge,81,13.861150699930548,11.004268512918618,-0.013361317603892475
repeat,2,Memory,mean_baseline,81,14.155130204669247,11.219759615384616,-0.056801664917154326
repeat,2,Memory,ridge,81,14.544838200491345,11.494217181540261,-0.11579276388381987
repeat,3,Memory,mean_baseline,81,13.884472662388035,11.130913461538462,-0.016774231488621005
repeat,3,Memory,ridge,81,13.979199789632503,11.24446825524706,-0.030695489247845265
repeat,4,Memory,mean_baseline,81,13.829417767534396,11.007338853276353,-0.00872676485165802
repeat,4,Memory,ridge,81,14.207791607940258,11.109329186248893,-0.06467954103454221
repeat,5,Memory,mean_baseline,81,13.91091405544687,11.101185897435897,-0.020650579895709953
repeat,5,Memory,ridge,81,13.931865055397578,11.069299733244959,-0.02372726528771163
repeat,6,Memory,mean_baseline,81,14.07225211410659,11.175326745014244,-0.04446277487670125
repeat,6,Memory,ridge,81,14.113402859697176,11.2565320148342,-0.050580241259577274
repeat,7,Memory,mean_baseline,81,13.862336547650333,11.11398148148148,-0.013534714984432927
repeat,7,Memory,ridge,81,14.255026945419267,11.351857034552411,-0.0717705931716468
repeat,8,Memory,mean_baseline,81,13.93600658777926,11.151838497150996,-0.024336003570202713
repeat,8,Memory,ridge,81,13.90420255791976,11.09038512056773,-0.019665965749114278
repeat,9,Memory,mean_baseline,81,14.076706767308725,11.206529855175688,-0.04512414106451179
repeat,9,Memory,ridge,81,14.381292096688936,11.29725367767872,-0.09084128496358046
repeat,10,Memory,mean_baseline,81,13.83507509346177,11.068521486229818,-0.00955223175438058
repeat,10,Memory,ridge,81,14.350677142317723,11.441969563551156,-0.08620185352591259
repeat,11,Memory,mean_baseline,81,13.976807068486682,11.150979047958215,-0.030342685672400727
repeat,11,Memory,ridge,81,13.96049077041558,11.120944383147807,-0.02793847909973457
repeat,12,Memory,mean_baseline,81,13.91593034321361,11.141544693732195,-0.021386807596305735
repeat,12,Memory,ridge,81,13.918222242944868,11.088698374148267,-0.021723272189330123
repeat,13,Memory,mean_baseline,81,14.049452731565532,11.251315586419755,-0.0410811106526201
repeat,13,Memory,ridge,81,14.236523971378352,11.436375521989213,-0.0689900900842415
repeat,14,Memory,mean_baseline,81,14.06134848516509,11.173227386039887,-0.04284483591606669
repeat,14,Memory,ridge,81,14.094366470653254,11.14992207229965,-0.04774807289702543
repeat,15,Memory,mean_baseline,81,13.9337833951223,11.17741304605888,-0.024009207709418945
repeat,15,Memory,ridge,81,14.028022835310484,11.24377449950013,-0.03790757137117229
repeat,16,Memory,mean_baseline,81,13.84559740660628,11.045186965811967,-0.011088452448392072
repeat,16,Memory,ridge,81,14.05330026727648,11.066706460466078,-0.041651402650091596
repeat,17,Memory,mean_baseline,81,13.842135557782042,11.013299501424502,-0.010582905785248009
repeat,17,Memory,ridge,81,13.845439724691786,10.98632424978844,-0.011065422823829607
repeat,18,Memory,mean_baseline,81,13.914819028780444,11.091537571225071,-0.021223679936164697
repeat,18,Memory,ridge,81,14.138540859356539,11.063232159830502,-0.05432604311264799
repeat,19,Memory,mean_baseline,81,13.853847550944378,11.035890313390313,-0.012293761353296295
repeat,19,Memory,ridge,81,14.156316001972748,11.133302919588987,-0.05697873217626759
repeat,20,Memory,mean_baseline,81,13.894283698119297,11.1680116334283,-0.01821168367522885
repeat,20,Memory,ridge,81,14.219727292095595,11.339219821123319,-0.06646912478038769
pooled,pooled,Memory,mean_baseline,1620,13.76783551641748,10.991816981244066,0.0002369322291142506
pooled,pooled,Memory,ridge,1620,13.868625450194765,11.064515150734147,-0.014454540711018371
repeat,1,Executive function,mean_baseline,81,11.668074246149871,9.416925747863244,-0.046267132570514846
repeat,1,Executive function,ridge,81,11.9370806936763,9.638489551518886,-0.0950664513402002
repeat,2,Executive function,mean_baseline,81,11.650463620303357,9.503368352326687,-0.04311125373819924
repeat,2,Executive function,ridge,81,11.671377710927207,9.416378026944246,-0.04685965466489184
repeat,3,Executive function,mean_baseline,81,11.49379491509532,9.317170287274452,-0.015245567617790723
repeat,3,Executive function,ridge,81,11.599022803504887,9.438798534969228,-0.033920197267981456
repeat,4,Executive function,mean_baseline,81,11.535928749252227,9.360153430674263,-0.022702563839645862
repeat,4,Executive function,ridge,81,12.134945793673982,9.640374162101299,-0.13167024227491475
repeat,5,Executive function,mean_baseline,81,11.523723843970854,9.36781339031339,-0.020539689002204486
repeat,5,Executive function,ridge,81,12.023350494168598,9.71142206751829,-0.11095183241772033
repeat,6,Executive function,mean_baseline,81,11.445767633517608,9.23266915954416,-0.006778805616602712
repeat,6,Executive function,ridge,81,11.343658147334109,9.24884486382235,0.01110433074133721
repeat,7,Executive function,mean_baseline,81,11.48748279789461,9.266131885090218,-0.014130776654206256
repeat,7,Executive function,ridge,81,11.896663430501391,9.672011352502118,-0.08766352565938806
repeat,8,Executive function,mean_baseline,81,11.62041856006445,9.406554190408357,-0.03773808918381483
repeat,8,Executive function,ridge,81,12.486216455023643,10.212578379894378,-0.1981354923544023
repeat,9,Executive function,mean_baseline,81,11.632150149868421,9.448877018043685,-0.03983447889942804
repeat,9,Executive function,ridge,81,11.54561207266128,9.543493824940239,-0.024420208994399006
repeat,10,Executive function,mean_baseline,81,11.478017645230038,9.264501424501425,-0.012460271763525821
repeat,10,Executive function,ridge,81,12.169671780113433,9.713539515359843,-0.1381564013844081
repeat,11,Executive function,mean_baseline,81,11.65089864577725,9.438596272554605,-0.04318915423285552
repeat,11,Executive function,ridge,81,11.605313896592014,9.41511697744654,-0.03504205938900351
repeat,12,Executive function,mean_baseline,81,11.607083234753535,9.385384615384613,-0.03535768704597997
