analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,1,mean_baseline,81,8.552304229244754,6.807847222222222,-0.005087044513887751
repeat,1,direction_constrained_ridge,81,8.97797714462278,7.092830637129222,-0.10762916562325997
repeat,2,mean_baseline,81,8.808875448372042,6.973691832858501,-0.06629735205034981
repeat,2,direction_constrained_ridge,81,8.899336823940624,6.953317250769451,-0.08831015260218344
repeat,3,mean_baseline,81,8.578530885766583,6.824212962962963,-0.011260934059897476
repeat,3,direction_constrained_ridge,81,9.831851814075492,7.563444534960219,-0.3283362982738727
repeat,4,mean_baseline,81,8.576900288224072,6.8091515313390305,-0.010876531905338993
repeat,4,direction_constrained_ridge,81,9.57728453640364,7.326400005771817,-0.26043998684861247
repeat,5,mean_baseline,81,8.619920108582432,6.868196521842354,-0.021042626348526383
repeat,5,direction_constrained_ridge,81,8.703663065830659,6.888253826413091,-0.04097795550199379
repeat,6,mean_baseline,81,8.557582463436162,6.818741393637226,-0.006328048513209339
repeat,6,direction_constrained_ridge,81,8.873448050529612,7.158800983093066,-0.08198742676652038
repeat,7,mean_baseline,81,8.622377522978496,6.845357015669514,-0.021624878266166547
repeat,7,direction_constrained_ridge,81,8.7498632335927,6.939449796738015,-0.05205857723317742
repeat,8,mean_baseline,81,8.696571993320816,6.909397851377018,-0.03928242958180195
repeat,8,direction_constrained_ridge,81,9.567578357833158,7.442655280443297,-0.25788647469375947
repeat,9,mean_baseline,81,8.88445244372051,7.136941773504272,-0.08467274097340982
repeat,9,direction_constrained_ridge,81,9.633710408092215,7.492298361182192,-0.27533584495158303
repeat,10,mean_baseline,81,8.612100161017636,6.859025403608737,-0.019190897341718083
repeat,10,direction_constrained_ridge,81,10.2688978338173,7.996489010190679,-0.449055628117248
repeat,11,mean_baseline,81,8.703520961993917,6.924192188983854,-0.040943963893465884
repeat,11,direction_constrained_ridge,81,8.625597561952222,6.886422504330119,-0.022388075234073268
repeat,12,mean_baseline,81,8.771698715055036,6.995007716049382,-0.057316000983815396
repeat,12,direction_constrained_ridge,81,8.865862510114754,7.134856507458366,-0.08013832567297663
repeat,13,mean_baseline,81,8.788371186780235,7.023487951092118,-0.06133912686765308
repeat,13,direction_constrained_ridge,81,8.971199688470856,7.216195893665859,-0.10595750295201056
repeat,14,mean_baseline,81,8.676881021659002,6.845670999525166,-0.03458142490572347
repeat,14,direction_constrained_ridge,81,9.615321183657802,7.375599838636148,-0.2704716643608982
repeat,15,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,direction_constrained_ridge,81,9.396246442433014,7.495729497255143,-0.21323851716335018
repeat,16,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,direction_constrained_ridge,81,8.779842201292848,7.087074830931041,-0.059280098333146736
repeat,17,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,direction_constrained_ridge,81,8.942409901450166,7.05176005821993,-0.09887055980177495
repeat,18,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,direction_constrained_ridge,81,9.182109287548593,7.240818245183221,-0.1585700755020285
repeat,19,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,direction_constrained_ridge,81,8.560368081689704,6.975253012441303,-0.006983304139835056
repeat,20,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,direction_constrained_ridge,81,8.587982207254129,6.748146101081933,-0.013490457368246389
pooled,pooled,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,direction_constrained_ridge,1620,9.093933891412894,7.144301821428423,-0.13642551900454025
